Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
47.745	120.914	1981	1002	809961	408.865	182.455	360.000	200	1468	251.705	12.886	3.484	2.370	0.809	2.346	251.439	12.794	3.429	242	0	1	23	31	6
200.041	589.177	8300	4739	4534201	546.289	370.218	429.000	200	3128	290.193	57.551	4.143	7.218	4.091	6.675	291.888	58.684	4.279	264	0	1	46	120	6
5.399	30.335	224	176	123703	552.246	450.585	395.500	200	2838	508.692	4.067	4.268	1.128	0.403	1.084	509.212	3.152	3.791	502	0	1	10	15	6
0.506	6.471	21	21	5142	244.857	39.020	233.000	201	352	253.381	33.143	1.810	0.535	0.281	0.498	253.460	33.148	1.780	251	32	1	6	3	5
2.049	12.116	85	68	35356	415.953	237.769	341.000	201	1250	267.929	41.282	2.106	0.685	0.156	0.674	268.124	41.498	1.894	265	38	1	6	7	4
4.844	26.418	201	151	75447	375.358	198.170	306.000	200	1274	259.403	45.572	2.910	1.056	0.397	1.020	259.128	45.601	2.559	254	41	1	14	10	6
3.037	16.488	126	91	49576	393.460	172.391	338.000	200	936	267.817	53.175	2.659	0.829	0.215	0.827	267.800	53.230	2.425	266	49	1	5	9	6
1.205	8.393	50	42	19225	384.500	154.271	343.000	200	784	276.660	62.080	2.700	0.590	0.172	0.571	276.678	62.083	2.621	275	61	1	4	4	5
2.073	13.156	86	70	26010	302.442	82.907	289.500	202	561	264.616	64.698	3.872	0.794	0.270	0.807	264.607	64.748	3.920	262	63	1	6	6	6
0.699	6.842	29	29	8827	304.379	82.332	285.000	200	474	263.483	71.897	1.759	0.534	0.228	0.499	263.454	71.901	1.653	262	69	1	3	7	4
1.880	12.521	78	63	26440	338.974	118.989	301.500	200	699	277.013	74.244	4.077	0.786	0.264	0.793	276.978	74.324	4.034	275	71	1	6	6	6
1.783	11.498	74	56	32097	433.743	231.903	377.500	201	1230	272.635	92.365	2.311	0.665	0.142	0.659	272.698	92.413	2.052	270	90	1	6	6	5
8.146	40.970	338	238	132816	392.947	166.552	348.500	200	922	288.488	150.559	2.464	1.397	0.614	1.218	288.099	150.188	2.357	283	143	1	16	19	6
1340.947	3202.088	55638	29002	37995940	682.913	454.078	553.000	200	3586	389.703	307.077	4.164	22.498	9.678	22.985	388.505	305.790	4.443	290	149	1	222	269	6
1.253	8.430	52	42	23600	453.846	246.292	370.000	204	1165	296.096	182.423	2.096	0.576	0.123	0.552	296.156	182.410	1.897	293	181	1	6	4	4
0.819	7.070	34	34	15771	463.853	272.065	373.500	204	1219	296.471	197.235	3.088	0.615	0.286	0.538	296.321	197.273	2.653	296	196	1	2	4	6
0.603	7.017	25	25	7174	286.960	61.766	278.000	209	442	316.880	284.840	3.560	0.591	0.281	0.610	316.852	284.861	3.571	316	284	1	3	3	6
3.663	20.950	152	113	53747	353.599	123.344	336.000	202	714	323.987	299.309	4.493	0.931	0.302	0.925	324.053	299.333	4.650	321	294	1	7	11	6
1.253	7.865	52	44	25724	494.692	259.896	417.500	205	1208	365.692	361.442	2.288	0.570	0.119	0.553	365.698	361.492	2.019	364	360	1	4	4	4
0.940	8.393	39	35	10304	264.205	52.206	247.000	200	404	281.590	104.000	4.026	0.596	0.211	0.562	281.500	103.955	3.981	280	103	2	6	3	5
17.522	110.203	727	679	271191	373.027	234.116	296.000	200	1850	316.580	116.406	5.569	2.755	1.335	2.672	316.455	117.190	5.565	302	93	2	30	44	5
0.651	5.943	27	22	6653	246.407	37.261	234.000	200	328	365.037	348.259	4.519	0.467	0.120	0.450	365.053	348.261	4.512	364	346	3	3	5	4
7.230	42.030	300	284	113253	377.510	192.738	316.500	200	1415	308.663	8.360	5.617	1.338	0.514	1.344	308.678	8.481	5.682	302	0	4	16	19	3
0.458	4.162	19	18	5315	279.737	55.573	279.000	202	399	280.053	82.684	5.105	0.394	0.100	0.433	280.086	82.656	5.137	279	82	4	3	3	3
1.904	12.983	79	72	33975	430.063	232.411	340.000	202	1054	478.468	407.772	5.506	0.689	0.258	0.672	478.298	408.003	5.638	475	402	4	7	10	3
0.603	5.451	25	25	8818	352.720	144.765	280.000	204	696	297.840	24.080	5.760	0.411	0.125	0.405	297.845	24.125	5.841	296	22	5	5	5	2
0.241	2.804	10	10	2376	237.600	32.408	228.000	200	283	274.300	81.400	5.700	0.300	0.085	0.310	274.304	81.418	5.735	273	81	5	4	2	2
0.410	3.934	17	17	5396	317.412	120.906	258.000	201	576	273.588	95.588	5.765	0.349	0.095	0.377	273.662	95.580	5.820	272	94	5	4	4	2
0.651	5.664	27	27	7139	264.407	48.467	255.000	208	362	346.815	228.815	6.000	0.492	0.185	0.539	346.815	228.870	6.000	344	226	6	6	6	1
0.482	4.993	20	20	5500	275.000	50.706	264.500	209	393	383.700	248.450	6.000	0.536	0.244	0.585	383.703	248.520	6.000	382	245	6	5	7	1
0.337	3.475	14	14	3174	226.714	26.169	216.000	201	273	439.857	346.929	6.000	0.363	0.152	0.354	439.837	346.887	6.000	438	345	6	4	5	1
10150.881	9238.204	421176	96272	377148736	895.466	476.268	834.000	200	3648	367.080	225.877	17.588	31.070	14.902	31.182	366.183	221.138	17.497	250	0	9	262	418	15
0.362	3.405	15	15	5252	350.133	123.640	338.000	201	598	295.400	162.400	9.000	0.361	0.127	0.379	295.354	162.320	9.000	294	161	9	4	4	1
14.268	80.893	592	467	158411	267.586	62.409	252.000	200	557	246.385	5.929	14.003	1.716	0.601	1.646	246.258	5.862	13.864	241	0	11	16	19	12
109.540	257.068	4545	1843	3714967	817.374	492.157	717.000	200	2808	505.665	20.617	17.242	3.559	1.268	3.305	505.612	23.116	17.619	489	0	11	23	45	13
0.410	3.439	17	17	5360	315.294	86.161	289.000	208	548	254.059	32.059	11.471	0.336	0.067	0.335	254.044	32.082	11.404	253	31	11	3	3	2
0.988	8.061	41	41	11427	278.707	77.547	262.000	201	524	280.610	102.390	11.366	0.575	0.234	0.548	280.633	102.652	11.310	279	98	11	4	9	2
0.916	7.300	38	34	14513	381.921	177.900	319.500	202	878	375.316	375.000	13.263	0.537	0.156	0.535	375.281	375.303	13.149	374	373	12	4	5	4
2.362	15.218	98	75	28405	289.847	74.188	267.000	200	514	394.286	391.704	13.827	0.796	0.225	0.802	394.129	391.635	13.764	390	389	12	8	7	5
1.109	7.901	46	40	17069	371.065	131.808	340.000	213	689	409.913	397.783	12.761	0.538	0.124	0.535	409.868	397.734	12.635	407	396	12	6	5	3
0.940	7.283	39	34	10722	274.923	61.520	255.000	205	427	415.846	402.333	13.000	0.529	0.142	0.512	415.864	402.362	12.919	414	401	12	5	4	4
3.977	24.722	165	139	52799	319.994	105.878	286.000	200	710	419.248	409.085	14.782	1.148	0.542	1.110	419.110	409.113	14.656	415	406	12	10	6	12
0.313	3.914	13	11	3104	238.769	39.379	219.000	203	319	433.923	411.000	13.385	0.391	0.129	0.346	433.900	411.004	13.375	433	410	12	3	3	4
0.337	3.403	14	14	3587	256.214	37.003	270.000	204	301	300.500	202.571	14.286	0.404	0.176	0.336	300.485	202.561	14.293	300	202	13	2	2	4
0.627	7.087	26	26	8484	326.308	92.976	308.000	212	501	301.000	224.692	16.192	0.782	0.403	0.751	301.000	224.868	16.360	301	223	13	1	4	8
0.241	3.139	10	9	2389	238.900	35.476	232.500	200	315	251.000	17.100	16.300	0.331	0.080	0.297	250.992	17.112	16.282	250	16	15	3	3	3
0.627	5.519	26	26	7311	281.192	60.691	268.500	205	435	300.423	217.077	17.231	0.496	0.208	0.495	300.389	217.068	17.235	300	216	15	2	4	5
0.241	3.015	10	10	2672	267.200	47.909	248.000	219	362	412.400	409.700	17.300	0.355	0.166	0.310	412.375	409.746	17.255	412	409	16	2	2	4
