Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
62.591	199.630	2597	1334	923414	355.569	133.831	319.000	200	1108	10.667	17.395	3.833	3.010	1.234	2.904	10.761	17.295	3.600	0	0	1	29	41	13
34641.332	48268.270	1437324	338942	746188224	519.151	322.233	415.000	200	3466	271.749	111.044	13.943	35.869	15.564	35.866	274.866	96.585	14.239	0	0	1	512	255	27
1.060	7.654	44	40	13729	312.023	82.118	298.500	202	548	67.523	3.477	1.841	0.535	0.144	0.517	67.509	3.429	1.737	66	1	1	4	6	3
1.301	9.169	54	46	17447	323.093	96.262	306.500	202	564	509.611	6.963	2.759	0.623	0.192	0.624	509.603	6.939	2.812	508	5	1	4	5	5
0.265	3.473	11	11	2480	225.455	22.309	215.000	200	266	29.727	16.273	3.000	0.418	0.218	0.435	29.734	16.251	3.021	29	16	1	2	2	5
0.362	3.686	15	15	3621	241.400	34.369	231.000	204	329	60.000	27.267	1.267	0.340	0.098	0.332	59.980	27.227	1.247	59	26	1	3	4	2
0.241	2.787	10	10	2063	206.300	5.293	206.000	200	219	67.000	28.900	1.000	0.356	0.174	0.352	67.003	28.905	1.000	65	28	1	5	3	1
0.506	4.409	21	20	5325	253.571	49.178	228.000	203	367	505.810	33.714	1.762	0.398	0.100	0.395	505.816	33.683	1.691	505	32	1	3	4	3
0.410	3.951	17	17	4747	279.235	67.334	267.000	206	420	74.529	42.882	1.471	0.355	0.101	0.353	74.499	42.851	1.428	73	42	1	4	3	3
0.265	3.209	11	11	2380	216.364	16.083	217.000	200	245	459.545	52.273	2.545	0.385	0.174	0.287	459.562	52.256	2.540	459	52	1	2	2	4
4.531	28.743	188	141	50927	270.888	55.717	262.000	200	473	445.021	80.968	3.606	1.139	0.405	1.129	445.102	80.974	3.575	440	75	1	10	12	8
2.241	15.076	93	72	28414	305.527	104.507	272.000	200	654	115.989	81.914	4.118	0.804	0.269	0.795	115.879	81.763	4.214	114	80	1	5	7	7
0.578	5.201	24	24	5499	229.125	21.539	230.000	200	276	171.125	93.583	2.708	0.493	0.215	0.467	171.122	93.603	2.700	170	93	1	3	2	5
0.795	6.508	33	29	8420	255.152	48.869	238.000	202	353	50.424	98.636	1.758	0.486	0.121	0.472	50.444	98.643	1.716	49	97	1	4	5	4
0.603	5.662	25	25	5563	222.520	19.285	219.000	200	264	141.120	103.840	1.480	0.465	0.180	0.408	141.112	103.838	1.465	139	102	1	6	4	3
1.952	13.100	81	59	26501	327.173	118.874	281.000	201	696	388.926	104.580	4.630	0.814	0.309	0.750	388.934	104.630	4.589	387	102	1	5	5	8
0.554	5.325	23	21	5831	253.522	46.552	244.000	201	367	223.000	105.217	2.435	0.459	0.149	0.385	222.981	105.199	2.388	222	104	1	3	3	4
0.603	5.378	25	25	6508	260.320	52.484	236.000	200	376	204.600	108.960	2.120	0.454	0.170	0.448	204.587	108.924	2.035	203	108	1	4	3	4
0.313	3.192	13	13	3401	261.615	49.864	263.000	205	381	385.077	108.769	1.462	0.312	0.059	0.328	385.094	108.766	1.411	384	108	1	3	3	2
3.157	19.133	131	103	41284	315.145	97.590	285.000	201	649	241.046	115.000	3.130	0.942	0.376	0.899	241.109	114.839	2.885	239	110	1	6	11	8
2.796	15.150	116	90	40587	349.888	145.286	302.000	200	781	318.759	116.784	2.078	0.783	0.205	0.777	318.875	116.745	1.895	314	114	1	9	6	4
0.506	4.867	21	19	5414	257.810	47.255	262.000	201	377	302.048	117.048	1.952	0.426	0.131	0.454	302.049	117.031	1.893	301	116	1	3	3	4
