Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
7766.155	23048.066	322230	152350	204938288	636.000	499.375	484.000	200	4095	182.358	102.202	13.837	31.763	18.008	29.605	198.886	107.527	12.921	0	0	1	512	221	30
46.130	182.700	1914	976	1458812	762.180	710.672	519.000	200	4095	123.764	4.214	8.045	2.472	0.779	2.352	122.559	4.382	7.822	113	0	1	28	14	18
93.778	542.661	3891	3816	3310067	850.698	819.908	512.000	200	4095	320.097	191.514	3.226	7.290	4.333	6.399	323.178	190.392	3.251	253	159	1	150	62	4
19.426	110.127	806	804	604343	749.805	563.111	641.500	200	4095	371.244	191.370	2.665	1.830	0.770	1.784	371.674	191.686	2.472	361	176	1	22	27	4
82.475	370.796	3422	3420	4028589	1177.262	920.810	861.000	201	4095	490.809	198.420	2.801	3.806	1.579	3.825	492.977	200.656	2.805	457	177	1	55	39	4
16.943	114.228	703	703	925250	1316.145	1067.000	969.000	200	4095	336.162	195.016	1.000	2.668	1.154	2.671	337.518	193.709	1.000	311	180	1	46	30	1
2.507	24.682	104	104	76410	734.712	948.320	381.500	205	4095	266.279	186.663	1.000	1.578	0.753	1.622	264.557	187.096	1.000	254	182	1	24	11	1
0.241	2.787	10	10	2752	275.200	41.209	266.500	202	328	316.000	194.100	1.000	0.313	0.145	0.304	316.066	194.153	1.000	314	193	1	4	4	1
1.109	11.502	46	46	22358	486.043	742.393	288.500	200	4092	367.087	210.500	1.000	0.768	0.352	0.756	366.774	209.043	1.000	363	206	1	10	11	1
0.530	6.597	22	22	6196	281.636	62.503	258.000	210	446	358.227	211.591	1.000	0.577	0.258	0.563	358.184	211.666	1.000	355	209	1	8	6	1
0.627	6.898	26	26	15791	607.346	802.924	352.000	208	4095	385.154	210.808	1.000	0.674	0.346	0.635	384.600	210.496	1.000	380	209	1	11	5	1
0.410	4.428	17	17	25000	1470.588	1354.073	1126.000	202	4095	466.824	212.000	1.000	0.510	0.241	0.538	467.221	212.071	1.000	464	210	1	7	5	1
2.073	20.906	86	86	69469	807.779	941.464	382.000	200	4095	388.256	216.965	1.000	1.705	0.812	1.685	392.348	216.932	1.000	374	214	1	26	7	1
0.988	7.690	41	41	27026	659.171	461.390	415.000	222	2074	19.049	48.317	2.537	0.533	0.214	0.513	18.675	48.311	2.619	15	47	2	9	5	2
9.785	54.972	406	406	305800	753.202	775.629	473.500	200	4095	55.325	68.308	2.537	1.510	0.600	1.496	56.961	67.881	2.564	46	58	2	20	23	2
0.265	2.928	11	11	5230	475.455	354.565	439.000	207	1492	62.000	82.818	2.727	0.300	0.079	0.312	61.965	82.778	2.786	61	82	2	3	3	2
0.362	5.819	15	15	3917	261.133	55.786	245.000	200	398	80.333	96.467	2.600	0.509	0.177	0.444	80.372	96.646	2.613	78	93	2	4	7	2
0.313	3.456	13	13	9853	757.923	533.204	625.000	236	1740	229.231	119.385	3.077	0.367	0.125	0.419	229.047	119.396	3.243	228	119	2	3	2	3
0.458	4.144	19	19	14990	788.947	885.969	393.000	212	3913	210.105	129.053	3.474	0.363	0.100	0.343	210.163	129.044	3.750	209	128	2	3	4	3
0.482	4.973	20	20	8011	400.550	245.928	296.000	204	1075	223.900	139.550	2.500	0.393	0.112	0.387	223.917	139.609	2.334	222	138	2	4	4	3
0.241	3.316	10	10	2406	240.600	33.824	238.500	200	300	196.600	140.500	2.900	0.398	0.170	0.428	196.608	140.477	2.882	195	140	2	4	2	3
0.410	4.215	17	17	13434	790.235	944.201	539.000	214	4095	237.059	153.647	2.824	0.369	0.127	0.360	237.128	153.841	2.495	236	152	2	3	4	3
0.362	3.580	15	15	13782	918.800	571.025	877.000	213	2368	232.267	158.600	3.200	0.377	0.127	0.391	232.287	158.596	2.978	231	158	2	3	3	3
2.266	20.671	94	93	43688	464.766	518.046	308.500	200	3412	315.521	162.404	3.543	0.813	0.319	0.772	316.525	162.489	3.668	310	157	2	11	10	3
0.916	9.171	38	38	13329	350.763	156.593	305.000	210	780	368.579	169.947	3.500	0.573	0.201	0.549	368.667	169.852	3.612	364	168	2	9	5	3
0.940	8.800	39	38	22227	569.923	419.956	412.000	200	1851	274.667	174.436	3.359	0.534	0.204	0.493	274.563	174.253	3.533	272	171	2	7	8	3
0.241	2.557	10	10	4134	413.400	286.780	306.000	205	1186	298.800	174.600	2.500	0.291	0.054	0.296	298.792	174.677	2.375	298	174	2	3	2	2
1.808	15.596	75	75	24491	326.547	111.461	300.000	200	617	311.133	151.240	3.867	0.767	0.302	0.783	311.025	151.201	3.903	307	146	3	10	12	2
1.181	13.953	49	49	13849	282.633	97.335	252.000	201	671	410.061	176.000	3.959	0.839	0.339	0.888	409.854	175.735	3.968	406	172	3	11	9	2
0.530	6.049	22	22	9103	413.773	243.344	322.000	203	1098	416.818	199.091	3.455	0.452	0.169	0.414	416.704	199.195	3.335	414	197	3	6	5	2
1.253	12.276	52	52	21829	419.788	275.549	328.500	200	1635	384.750	209.808	3.538	0.653	0.301	0.601	384.553	209.627	3.465	381	207	3	11	7	2
0.458	4.973	19	19	12173	640.684	632.808	454.000	212	2955	447.421	211.105	3.632	0.419	0.178	0.382	447.533	211.013	3.804	444	210	3	6	3	2
0.699	6.878	29	29	9898	341.310	116.720	289.000	228	634	359.172	212.069	3.586	0.644	0.252	0.609	359.397	211.985	3.549	355	211	3	9	3	2
0.265	2.681	11	11	10727	975.182	1044.336	504.000	233	3085	408.545	212.909	3.545	0.298	0.055	0.318	408.523	212.905	3.727	408	212	3	2	3	2
0.506	6.314	21	21	8301	395.286	197.676	315.000	200	1073	422.571	217.095	3.667	0.523	0.203	0.494	422.305	217.127	3.716	419	216	3	8	3	2
0.386	4.886	16	16	5690	355.625	205.813	267.000	202	942	212.312	117.125	4.000	0.530	0.276	0.530	212.836	116.616	4.000	210	115	4	6	7	1
0.362	5.150	15	15	4683	312.200	104.348	277.000	200	509	208.467	137.267	6.067	0.423	0.157	0.423	208.729	137.152	6.059	206	135	6	5	5	2
0.699	8.817	29	29	10239	353.069	288.298	248.000	204	1339	193.828	161.310	7.690	0.581	0.267	0.555	193.397	161.500	7.384	191	160	6	7	4	5
0.265	4.549	11	11	2880	261.818	40.122	258.000	218	357	220.364	171.727	9.182	0.572	0.348	0.475	220.407	171.742	9.228	219	170	6	4	4	6
0.289	3.386	12	12	9043	753.583	741.530	408.000	265	2773	298.917	178.333	6.667	0.329	0.109	0.310	299.014	178.291	6.371	298	177	6	3	3	3
0.964	8.430	40	37	20094	502.350	318.134	403.500	202	1658	417.100	190.400	7.050	0.545	0.166	0.496	417.062	190.607	6.851	416	188	6	4	7	4
0.337	4.920	14	14	4775	341.071	164.434	272.500	201	684	423.857	194.357	6.857	0.515	0.271	0.452	424.016	194.264	6.786	421	193	6	6	4	4
0.265	3.139	11	11	5156	468.727	265.786	378.000	206	1008	429.273	190.545	10.000	0.365	0.133	0.418	429.193	190.656	10.078	428	190	9	3	2	3
0.434	6.418	18	18	5508	306.000	128.744	265.000	205	719	432.056	216.389	12.167	0.718	0.398	0.628	432.250	216.380	11.917	429	216	9	5	2	8
0.988	11.408	41	40	15510	378.293	170.745	323.000	207	946	225.951	123.098	13.146	0.737	0.360	0.699	225.969	122.979	13.254	223	120	10	6	7	7
0.265	3.139	11	11	4395	399.545	196.135	347.000	201	796	303.273	183.455	11.091	0.344	0.133	0.386	303.228	183.364	11.058	302	183	10	3	2	3
0.313	3.968	13	13	4512	347.077	185.730	271.000	206	791	247.231	129.308	13.538	0.440	0.188	0.395	247.258	129.464	13.523	246	129	12	4	2	4
