Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
28966.182	30434.988	1201853	221180	761921024	633.955	432.692	514.000	200	4086	255.985	173.818	15.675	36.504	18.277	35.667	263.308	181.856	14.308	0	0	1	512	298	30
53.915	143.116	2237	914	1423888	636.517	404.733	532.000	200	2421	123.619	4.348	7.742	2.560	0.743	2.482	122.458	4.385	7.773	113	0	1	28	14	17
1.350	11.656	56	51	15420	275.357	88.608	236.000	200	541	6.304	37.607	4.179	0.829	0.397	0.794	6.419	37.816	4.469	4	32	1	5	9	7
1.711	10.000	71	59	34038	479.408	282.600	381.000	200	1348	1.789	42.577	1.972	0.614	0.123	0.605	1.617	42.639	1.757	0	40	1	5	6	4
3.230	19.894	134	112	56072	418.448	189.778	358.000	200	1105	7.918	62.567	2.410	0.990	0.370	0.991	8.153	62.851	2.356	2	57	1	10	11	6
0.819	5.996	34	30	12883	378.912	175.545	317.000	200	890	223.647	139.676	1.794	0.471	0.081	0.478	223.708	139.707	1.617	222	138	1	4	4	3
0.819	6.401	34	30	14897	438.147	180.647	407.500	216	950	237.206	153.912	2.147	0.494	0.133	0.496	237.153	153.927	1.948	236	152	1	4	4	4
0.651	5.572	27	24	8475	313.889	89.009	284.000	210	515	232.111	158.667	2.704	0.479	0.141	0.431	232.168	158.637	2.726	231	157	1	3	4	4
1.735	9.876	72	59	33136	460.222	274.233	371.500	207	1417	199.292	170.889	2.042	0.618	0.108	0.625	199.316	170.922	1.803	197	169	1	6	5	4
0.554	5.097	23	21	6349	276.043	70.750	258.000	200	445	111.522	178.913	1.522	0.408	0.102	0.413	111.532	178.939	1.464	110	177	1	4	4	3
2.940	14.392	122	91	50566	414.475	195.863	334.500	204	1132	365.820	179.115	2.221	0.779	0.166	0.760	365.615	179.086	2.013	362	177	1	9	5	4
0.265	2.945	11	11	2535	230.455	22.403	225.000	203	264	116.727	180.455	1.727	0.333	0.120	0.322	116.750	180.467	1.736	116	180	1	3	2	3
0.988	7.230	41	33	12621	307.829	85.347	276.000	200	496	416.585	199.561	2.341	0.543	0.113	0.519	416.562	199.588	2.282	415	198	1	4	4	4
1.832	10.158	76	59	45511	598.829	398.471	470.500	203	1728	464.316	231.645	2.395	0.654	0.104	0.651	464.379	231.534	2.084	462	229	1	5	6	4
0.868	6.755	36	32	10144	281.778	67.698	248.000	200	430	387.528	297.000	1.667	0.483	0.111	0.518	387.531	297.050	1.598	386	295	1	4	6	3
0.458	4.549	19	18	5253	276.474	59.421	263.000	200	397	229.000	119.368	3.684	0.415	0.141	0.376	228.995	119.384	3.640	228	118	2	3	3	4
0.241	2.627	10	10	2469	246.900	31.182	232.000	217	301	146.400	155.500	3.200	0.320	0.121	0.350	146.363	155.516	3.219	146	155	2	2	2	3
3.446	17.245	143	91	75883	530.650	330.767	424.000	200	1718	90.643	146.825	6.531	0.907	0.259	0.854	90.682	146.831	6.413	88	145	3	6	5	8
1.518	10.175	63	51	17196	272.952	59.944	261.000	201	443	369.349	169.381	4.952	0.642	0.166	0.596	369.426	169.351	4.951	366	168	3	6	4	5
0.651	5.696	27	23	8408	311.407	88.053	286.000	200	531	299.000	178.333	5.815	0.460	0.121	0.436	299.016	178.355	5.815	298	177	4	3	4	4
