Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
4.362	28.704	181	148	45229	249.884	40.873	240.000	200	361	59.050	1.558	6.569	1.204	0.516	1.133	59.060	1.586	6.517	55	0	1	11	6	12
5.182	24.862	215	142	62444	290.437	73.799	273.000	200	501	136.423	2.274	4.772	1.147	0.406	1.094	136.316	2.283	4.657	133	0	1	7	6	10
1055.371	2807.826	43789	17480	14719546	336.147	134.844	296.000	200	1737	183.060	32.396	11.192	10.253	4.922	9.312	182.367	33.484	11.374	87	0	1	152	98	29
1.952	15.764	81	73	19687	243.049	44.125	224.000	201	407	26.346	2.679	3.580	0.936	0.425	0.959	26.429	2.722	3.697	20	0	1	10	6	7
28.415	97.147	1179	632	374965	318.036	112.160	286.000	200	922	43.246	3.546	6.350	2.064	0.645	2.181	43.046	3.269	6.426	32	0	1	22	12	15
0.241	3.015	10	10	2256	225.600	14.120	224.500	200	250	124.300	1.800	1.900	0.352	0.136	0.403	124.295	1.792	1.897	124	1	1	2	3	3
0.386	4.144	16	16	3596	224.750	17.012	223.000	204	258	42.625	14.000	1.438	0.390	0.142	0.363	42.611	14.016	1.422	40	13	1	5	3	3
3.687	25.429	153	130	35242	230.340	25.294	225.000	200	315	192.307	36.856	3.261	1.142	0.493	1.046	192.286	36.850	3.174	190	31	1	8	12	9
0.506	4.728	21	21	7774	370.190	152.801	288.000	203	740	226.619	44.810	1.000	0.459	0.197	0.453	226.821	44.566	1.000	224	43	1	6	5	1
0.265	2.681	11	11	2546	231.455	23.859	229.000	202	273	211.455	52.909	1.455	0.298	0.055	0.318	211.459	52.920	1.427	211	52	1	2	3	2
2.844	21.565	118	118	42281	358.314	113.759	344.000	200	736	259.534	95.839	1.000	1.132	0.481	1.147	259.648	95.854	1.000	252	87	1	15	16	1
0.723	6.229	30	30	8633	287.767	64.660	275.500	206	428	227.167	92.433	1.000	0.529	0.204	0.553	227.307	92.564	1.000	224	90	1	7	6	1
0.241	2.593	10	10	2676	267.600	35.347	259.000	211	329	243.500	91.000	1.000	0.300	0.115	0.278	243.460	90.979	1.000	242	90	1	4	3	1
1.494	9.646	62	50	35807	577.532	348.521	461.500	203	1623	209.290	93.871	2.242	0.615	0.134	0.580	209.356	93.901	1.988	207	92	1	5	5	5
0.892	8.257	37	37	9221	249.216	40.022	244.000	200	329	237.946	109.189	1.000	0.688	0.343	0.681	238.027	109.233	1.000	232	106	1	11	7	1
1.591	13.005	66	66	17957	272.076	66.460	250.000	200	476	256.758	114.697	1.000	0.876	0.391	0.856	256.909	114.803	1.000	251	109	1	13	10	1
2136.892	5421.906	88663	38011	33452576	377.300	172.856	325.000	200	1895	334.624	261.987	10.602	20.071	11.354	19.267	334.416	264.624	10.747	212	98	1	190	326	23
0.578	5.293	24	24	7216	300.667	79.016	286.500	200	461	235.958	116.708	1.000	0.466	0.178	0.495	235.944	116.653	1.000	233	115	1	7	5	1
0.651	6.633	27	27	7507	278.037	76.808	245.000	200	458	267.370	121.704	1.000	0.641	0.310	0.615	266.991	121.801	1.000	263	119	1	10	6	1
0.554	5.363	23	23	5520	240.000	37.002	231.000	200	319	280.348	124.870	1.000	0.504	0.233	0.473	280.180	124.895	1.000	278	123	1	7	5	1
2.772	21.970	115	115	28885	251.174	52.909	235.000	200	488	278.557	135.896	1.000	1.187	0.497	1.222	278.829	135.814	1.000	272	129	1	13	17	1
15.039	105.628	624	624	192297	308.168	116.462	284.000	200	1231	309.391	170.571	1.000	3.530	1.943	3.348	309.791	172.454	1.000	291	134	1	39	62	1
0.434	4.164	18	18	4234	235.222	29.501	232.500	200	306	275.056	146.167	1.000	0.440	0.202	0.424	275.043	146.257	1.000	274	143	1	3	7	1
