Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2.892	15.657	120	82	61773	514.775	315.023	421.000	201	1557	209.133	129.242	4.600	0.897	0.308	0.811	209.145	129.286	4.474	207	127	1	5	5	8
2.410	13.878	100	68	28450	284.500	69.265	275.000	201	489	136.920	156.770	2.980	0.771	0.184	0.768	136.938	156.723	3.021	134	155	1	7	5	6
80.522	308.042	3341	1797	994122	297.552	92.224	269.000	200	723	123.798	164.890	7.019	3.584	1.274	3.527	124.526	164.910	6.615	102	150	1	41	29	20
456.068	1148.143	18923	6838	6398607	338.139	144.603	296.000	200	1565	159.062	133.231	14.944	5.602	1.973	5.467	158.329	133.343	14.676	132	100	1	50	75	28
5583.541	10450.223	231670	67692	87978032	379.756	170.032	333.000	200	2188	192.478	291.777	17.416	30.879	12.382	27.449	187.453	296.368	16.964	94	96	1	248	416	28
0.458	4.726	19	19	4574	240.737	37.357	236.000	203	329	85.737	184.737	1.789	0.423	0.207	0.373	85.750	184.741	1.712	84	183	1	4	4	4
596.241	1509.272	24739	8934	8336460	336.976	136.946	294.000	200	1448	83.247	210.996	14.839	6.108	2.107	5.699	83.236	211.050	14.479	55	166	1	60	88	28
2.386	18.268	99	77	31570	318.889	107.644	288.000	203	641	75.343	187.394	5.152	1.067	0.411	1.025	75.591	187.444	4.951	71	185	1	9	5	9
1.735	11.355	72	56	29327	407.319	182.758	373.500	200	959	112.708	190.931	3.250	0.719	0.227	0.687	112.756	190.937	3.118	111	189	1	5	5	6
0.868	7.601	36	35	8304	230.667	28.164	222.500	200	320	117.278	204.861	2.556	0.612	0.247	0.634	117.230	204.924	2.619	116	202	1	4	6	5
10.556	45.760	438	271	156577	357.482	164.490	300.500	200	1251	117.299	211.532	4.977	1.458	0.449	1.530	117.241	211.529	4.732	111	207	1	12	10	10
0.241	2.627	10	10	2211	221.100	12.784	221.500	201	240	75.600	246.500	1.800	0.320	0.121	0.350	75.604	246.517	1.799	75	246	1	2	2	3
6.363	39.938	264	196	60865	230.549	23.627	224.000	200	300	85.928	257.182	8.708	1.755	0.825	1.749	85.894	257.217	8.670	81	252	1	13	11	16
0.313	3.720	13	13	3190	245.385	37.010	231.000	202	310	68.077	273.615	2.538	0.383	0.156	0.329	68.074	273.617	2.549	67	273	1	3	2	4
829.373	2808.385	34412	16626	10747891	312.330	148.636	267.500	200	2002	360.762	301.087	18.538	10.416	4.500	9.861	361.504	302.056	17.745	318	215	1	78	162	28
188.448	532.237	7819	3182	2792364	357.125	174.589	296.000	200	1567	83.558	297.262	10.215	3.671	1.235	3.675	83.684	298.382	9.336	68	276	1	35	42	26
6.507	33.784	270	178	88874	329.163	127.050	291.500	200	999	117.178	321.756	6.763	1.437	0.636	1.347	117.285	321.916	6.303	112	319	1	9	8	14
2.675	14.353	111	79	54736	493.117	295.214	371.000	200	1377	94.000	329.207	3.360	0.808	0.206	0.787	94.061	329.219	3.044	91	327	1	6	5	6
144.439	497.972	5993	2856	1729230	288.542	102.131	258.000	200	1213	104.409	343.385	14.774	3.700	1.265	3.647	103.720	343.113	14.233	88	332	1	40	32	28
0.988	7.882	41	36	10540	257.073	42.483	259.000	201	352	104.683	346.683	3.024	0.565	0.191	0.526	104.720	346.717	3.004	103	345	1	4	4	5
35.043	117.184	1454	680	392704	270.085	57.555	258.500	200	568	130.607	362.490	8.043	2.125	0.642	2.076	130.582	362.482	8.008	123	353	1	18	23	17
9.134	40.914	379	236	121082	319.478	120.482	271.000	200	707	103.079	368.095	4.404	1.358	0.462	1.318	102.932	367.559	4.051	100	362	1	8	16	11
