Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
8280	3124	8280	1706	57960	7	0	7	7	7	423.668	207.194	12.209	12.249	0.982	12.235	423.689	207.194	12.209	411	195	1	26	26	24
1592	1636	1592	903	3184	2	0	2	2	2	255.872	260.724	4.439	8.235	2.816	8.172	255.872	260.724	4.439	244	252	1	26	21	13
17966	6036	17966	3689	215592	12	0	12	12	12	18.393	265.362	17.990	17.201	3.958	17.277	18.393	265.362	17.990	0	249	1	40	33	29
9180	3454	9180	1936	82620	9	0	9	9	9	174.868	261.048	12.913	12.734	1.181	12.653	174.868	261.047	12.913	162	248	1	27	27	25
12594	4348	12594	2497	125940	10	0	10	10	10	195.408	277.647	13.972	14.201	1.394	14.115	195.408	277.647	13.972	181	264	1	30	29	28
4287	2874	4287	1493	17148	4	0	4	4	4	290.606	248.133	13.594	10.276	2.699	10.621	290.606	248.133	13.594	278	236	6	27	28	18
1588	1186	1588	614	7940	5	0	5	5	5	340.326	244.418	12.273	7.188	1.558	7.138	340.326	244.418	12.273	330	236	7	19	18	12
13032	4280	13032	2531	143352	11	0	11	11	11	221.141	266.984	19.448	13.991	2.071	14.507	221.160	266.984	19.448	205	251	7	31	33	23
8580	3106	8580	1879	111540	13	0	13	13	13	461.578	171.026	21.744	12.521	1.823	12.674	461.556	171.026	21.744	448	156	10	28	30	20
10133	3552	10133	2302	141862	14	0	14	14	14	168.221	282.543	22.138	13.343	2.246	13.549	168.221	282.543	22.138	153	266	11	31	32	19
7595	2946	7595	1864	113925	15	0	15	15	15	315.174	228.350	23.611	12.108	2.574	12.671	315.191	228.351	23.611	301	213	14	29	32	16
