Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
30066.660	17068.199	1247513	163000	452674144	362.861	439.399	169	1	3267	367.957	228.105	15.087	32.022	14.967	32.215	366.071	224.321	16.465	238	0	1	274	421	28
507.983	931.711	21077	6831	3910701	185.544	348.191	22	1	2125	501.748	19.504	16.335	5.624	1.594	5.625	505.386	23.085	17.936	470	0	1	42	56	28
0.337	3.475	14	14	14	1.000	0.000	1	1	1	487.571	22.286	1.000	0.364	0.142	0.380	487.571	22.286	1.000	486	20	1	4	5	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	347.000	48.000	1.100	0.281	0.099	0.301	347.000	48.000	1.100	346	47	1	3	3	2
0.723	6.895	30	30	30	1.000	0.000	1	1	1	357.533	82.033	2.000	0.515	0.191	0.513	357.533	82.033	2.000	356	79	1	4	7	3
0.265	2.911	11	11	11	1.000	0.000	1	1	1	364.545	110.818	1.000	0.318	0.121	0.324	364.545	110.818	1.000	363	109	1	4	4	1
0.747	6.701	31	29	32	1.032	0.180	1	1	2	365.387	183.484	1.710	0.470	0.149	0.460	365.375	183.469	1.688	363	181	1	5	5	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	415.000	252.000	1.100	0.281	0.099	0.301	415.000	252.000	1.100	414	251	1	3	3	2
0.289	3.034	12	12	12	1.000	0.000	1	1	1	507.500	259.500	1.000	0.321	0.107	0.393	507.500	259.500	1.000	506	258	1	4	4	1
0.627	5.204	26	26	28	1.077	0.272	1	1	2	504.000	278.231	1.346	0.403	0.110	0.404	504.000	278.250	1.321	502	276	1	5	5	2
13.135	66.770	545	412	581	1.066	0.256	1	1	3	508.538	287.308	3.872	1.780	0.764	1.647	508.621	287.324	3.797	504	274	1	8	28	7
0.241	2.945	10	10	10	1.000	0.000	1	1	1	442.000	296.000	1.500	0.292	0.051	0.316	442.000	296.000	1.500	441	295	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	478.000	314.000	1.100	0.281	0.099	0.301	478.000	314.000	1.100	477	313	1	3	3	2
0.241	2.557	10	10	10	1.000	0.000	1	1	1	510.600	64.800	2.500	0.291	0.054	0.296	510.600	64.800	2.500	510	64	2	2	3	2
1.350	9.700	56	48	56	1.000	0.000	1	1	1	441.357	292.768	5.107	0.611	0.168	0.577	441.357	292.768	5.107	439	291	3	7	5	4
0.241	3.015	10	10	10	1.000	0.000	1	1	1	422.400	284.900	4.800	0.340	0.129	0.338	422.400	284.900	4.800	422	284	4	2	3	3
0.289	3.068	12	12	12	1.000	0.000	1	1	1	505.167	270.167	5.500	0.306	0.056	0.320	505.167	270.167	5.500	504	269	5	3	3	2
0.241	2.627	10	10	10	1.000	0.000	1	1	1	510.600	232.500	13.200	0.320	0.121	0.350	510.600	232.500	13.200	510	232	12	2	2	3
4.121	18.922	171	90	413	2.415	2.089	1	1	11	451.000	127.000	17.000	0.930	0.154	0.878	451.000	127.000	17.000	448	124	14	7	7	7
4.724	23.335	196	155	470	2.398	2.337	1	1	14	457.546	1.490	26.837	1.121	0.493	0.990	458.155	1.089	26.919	448	0	25	18	6	4
0.506	4.709	21	17	21	1.000	0.000	1	1	1	433.571	8.429	27.000	0.416	0.031	0.418	433.571	8.429	27.000	432	7	26	4	4	3
