Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
73668.586	31385.871	3056627	337526	875184960	286.324	314.105	184.000	1	3466	264.422	122.677	14.174	38.960	16.033	38.372	273.355	101.979	14.247	0	0	1	512	273	27
0.241	2.804	10	10	11	1.100	0.316	1.000	1	2	398.200	0.300	1.300	0.310	0.095	0.309	398.182	0.273	1.273	397	0	1	4	2	2
0.434	4.903	18	18	19	1.056	0.236	1.000	1	2	328.611	2.111	1.278	0.404	0.186	0.367	328.632	2.105	1.263	325	1	1	7	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	287.000	31.000	1.100	0.281	0.099	0.301	287.000	31.000	1.100	286	30	1	3	3	2
0.482	4.850	20	19	20	1.000	0.000	1.000	1	1	202.600	33.600	1.950	0.442	0.172	0.447	202.600	33.600	1.950	201	32	1	4	4	4
0.916	7.390	38	35	42	1.105	0.388	1.000	1	3	213.500	38.316	1.789	0.511	0.150	0.513	213.476	38.286	1.738	211	37	1	6	4	4
0.265	3.262	11	11	11	1.000	0.000	1.000	1	1	273.091	51.909	1.545	0.330	0.112	0.311	273.091	51.909	1.545	272	51	1	3	3	3
0.386	3.439	16	16	18	1.125	0.342	1.000	1	2	264.000	253.875	1.438	0.331	0.067	0.333	264.000	253.833	1.389	263	253	1	3	3	2
9.906	36.147	411	210	2845	6.922	9.255	3.000	1	50	158.049	258.978	5.842	1.344	0.395	1.320	157.824	258.831	6.024	154	255	1	9	9	11
0.241	3.456	10	10	10	1.000	0.000	1.000	1	1	334.100	2.900	3.200	0.378	0.155	0.373	334.100	2.900	3.200	333	2	2	3	4	3
0.554	5.449	23	20	24	1.043	0.209	1.000	1	2	298.348	23.000	3.609	0.460	0.147	0.395	298.375	23.000	3.583	297	22	2	4	3	4
0.265	3.844	11	10	11	1.000	0.000	1.000	1	1	267.727	34.273	6.636	0.429	0.240	0.361	267.727	34.273	6.636	267	33	5	3	3	5
0.386	4.496	16	14	16	1.000	0.000	1.000	1	1	192.000	249.000	6.875	0.421	0.135	0.422	192.000	249.000	6.875	191	248	5	3	3	4
7.062	28.583	293	152	3029	10.338	15.632	3.000	1	94	280.918	256.836	9.795	1.181	0.338	1.116	280.828	256.976	9.940	278	254	5	7	7	11
0.651	4.603	27	26	35	1.296	0.542	1.000	1	3	173.000	313.000	6.000	0.426	0.098	0.462	173.000	313.000	6.000	172	312	5	3	3	3
0.530	6.030	22	20	22	1.000	0.000	1.000	1	1	277.000	30.318	9.364	0.518	0.228	0.474	277.000	30.318	9.364	276	29	7	3	4	5
1.133	10.228	47	43	48	1.021	0.146	1.000	1	2	289.511	22.170	12.447	0.617	0.235	0.644	289.542	22.167	12.438	286	20	11	7	6	4
4.724	21.988	196	117	1024	5.224	6.217	2.500	1	33	447.403	256.107	15.276	1.038	0.329	0.941	447.349	256.084	15.295	445	254	11	6	6	9
0.313	3.456	13	13	13	1.000	0.000	1.000	1	1	448.308	244.692	13.385	0.338	0.102	0.305	448.308	244.692	13.385	447	244	12	3	3	3
0.362	3.580	15	15	15	1.000	0.000	1.000	1	1	333.133	264.267	17.400	0.343	0.093	0.329	333.133	264.267	17.400	332	263	16	3	3	3
12.750	42.448	529	269	30656	57.951	143.779	5.000	1	1184	78.943	385.507	24.091	1.388	0.248	1.358	79.050	385.769	25.908	72	381	19	13	10	9
9.809	40.846	407	259	7873	19.344	39.388	4.000	1	289	423.012	273.066	25.152	1.331	0.418	1.319	421.497	272.721	26.087	416	269	20	17	9	8
5.808	33.311	241	183	3090	12.822	31.296	2.000	1	234	295.307	3.954	25.174	1.204	0.386	1.185	296.574	0.987	26.183	291	0	21	11	13	7
7.978	29.416	331	192	9459	28.577	60.835	5.000	1	421	93.438	262.048	24.610	1.152	0.199	1.130	93.522	262.007	26.049	89	258	21	10	9	7
5.712	23.844	237	146	5031	21.228	38.883	5.000	1	244	487.287	273.684	25.122	1.008	0.168	0.986	487.217	273.730	26.121	483	270	21	9	9	7
6.917	26.966	287	172	7559	26.338	52.845	5.000	1	345	398.286	292.345	25.017	1.078	0.173	1.047	398.016	292.415	26.114	394	289	21	11	8	7
3.687	18.500	153	105	1601	10.464	16.569	3.000	1	95	445.007	366.634	25.327	0.879	0.194	0.826	445.021	366.659	26.247	442	363	21	7	8	7
6.098	24.937	253	156	5620	22.213	42.300	5.000	1	274	438.257	394.937	24.960	1.047	0.197	1.021	438.336	394.906	26.109	434	391	21	9	9	7
6.628	28.820	275	183	2712	9.862	14.404	4.000	1	84	114.178	237.269	25.476	1.093	0.298	1.104	114.319	237.296	26.247	108	234	22	13	8	6
4.290	19.418	178	120	2837	15.938	27.143	4.000	1	157	461.208	264.258	25.478	0.895	0.149	0.874	461.122	264.308	26.294	458	261	22	8	8	6
5.061	21.551	210	136	3193	15.205	27.279	3.500	1	170	111.271	288.776	25.138	0.966	0.173	0.939	111.248	288.745	26.172	108	285	22	8	8	6
4.868	22.293	202	132	3948	19.545	34.613	5.000	1	208	235.139	325.772	25.361	0.946	0.167	0.922	235.172	325.764	26.265	231	322	22	9	9	6
8.122	32.666	337	218	4561	13.534	24.941	4.000	1	180	460.059	360.540	25.493	1.166	0.288	1.154	459.638	360.731	26.260	455	354	22	12	13	6
4.700	20.688	195	130	3102	15.908	27.341	4.000	1	168	190.964	406.138	25.451	0.925	0.150	0.926	190.986	406.138	26.235	187	403	22	9	8	6
4.001	19.171	166	114	1409	8.488	13.249	3.000	1	74	109.940	409.289	25.488	0.886	0.175	0.853	110.175	409.432	26.208	105	406	22	10	8	6
4.868	21.164	202	131	3332	16.495	29.155	4.000	1	166	158.584	438.431	25.307	0.942	0.155	0.924	158.434	438.419	26.218	155	435	22	8	8	6
4.025	19.435	167	114	2288	13.701	22.548	4.000	1	129	481.078	451.539	25.419	0.883	0.159	0.858	481.115	451.561	26.240	477	448	22	9	8	6
4.748	20.335	197	126	2895	14.695	24.528	4.000	1	142	284.508	484.345	25.325	0.929	0.142	0.916	284.388	484.297	26.144	281	481	22	8	8	6
3.904	23.689	162	131	580	3.580	5.337	1.000	1	34	211.000	30.549	26.068	1.008	0.394	1.001	209.684	31.322	26.390	206	25	23	13	11	5
2.025	11.886	84	68	811	9.655	13.624	4.000	1	67	1.119	262.595	25.536	0.713	0.185	0.693	0.580	262.592	26.173	0	260	23	4	7	5
3.953	19.772	164	120	2231	13.604	23.308	3.000	1	133	265.567	268.299	25.732	0.879	0.208	0.848	265.357	268.659	26.355	262	263	23	8	10	5
2.458	13.527	102	75	490	4.804	5.979	2.000	1	31	299.363	268.618	25.588	0.746	0.155	0.714	299.398	268.804	26.233	297	266	23	6	6	5
3.037	15.398	126	92	1100	8.730	13.281	2.500	1	76	377.897	272.936	25.746	0.792	0.158	0.768	377.955	273.018	26.415	375	270	23	7	7	5
