Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
28720.387	13153.833	1191654	129641	335220352	281.307	288.467	199	1	3502	259.725	179.065	16.091	34.614	17.311	33.856	250.775	186.715	15.665	0	0	1	483	287	30
0.554	5.010	23	23	24	1.043	0.209	1	1	2	209.348	6.304	1.261	0.401	0.121	0.391	209.333	6.333	1.250	208	4	1	4	5	2
0.386	4.074	16	16	18	1.125	0.500	1	1	3	380.125	11.125	1.312	0.340	0.090	0.347	380.111	11.111	1.278	379	10	1	4	4	2
0.386	4.920	16	16	16	1.000	0.000	1	1	1	359.625	49.875	2.438	0.561	0.202	0.639	359.625	49.875	2.438	359	48	1	3	5	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	337.000	118.000	1.100	0.281	0.099	0.301	337.000	118.000	1.100	336	117	1	3	3	2
0.795	7.479	33	33	34	1.030	0.174	1	1	2	321.182	127.667	1.212	0.554	0.207	0.567	321.147	127.618	1.206	319	125	1	6	7	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	310.000	134.000	1.100	0.281	0.099	0.301	310.000	134.000	1.100	309	133	1	3	3	2
0.313	3.299	13	13	13	1.000	0.000	1	1	1	300.077	138.385	1.154	0.324	0.104	0.344	300.077	138.385	1.154	299	137	1	3	4	2
0.362	3.439	15	15	16	1.067	0.258	1	1	2	304.933	146.067	1.400	0.325	0.068	0.330	304.938	146.062	1.375	304	145	1	3	3	2
0.313	3.228	13	13	13	1.000	0.000	1	1	1	285.000	148.462	1.077	0.331	0.114	0.365	285.000	148.462	1.077	284	147	1	3	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	256.000	164.000	1.100	0.281	0.099	0.301	256.000	164.000	1.100	255	163	1	3	3	2
0.265	3.105	11	11	11	1.000	0.000	1	1	1	270.636	165.000	1.000	0.330	0.140	0.295	270.636	165.000	1.000	269	163	1	4	5	1
2.314	12.559	96	78	458	4.771	5.596	2	1	26	22.250	175.792	1.750	0.685	0.149	0.697	22.286	175.679	1.391	19	173	1	7	7	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	257.000	175.000	1.100	0.281	0.099	0.301	257.000	175.000	1.100	256	174	1	3	3	2
4.483	20.269	186	139	2413	12.973	20.938	4	1	115	194.860	187.828	1.941	0.889	0.204	0.907	195.066	187.566	1.408	190	184	1	10	9	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	196.000	198.000	1.100	0.281	0.099	0.301	196.000	198.000	1.100	195	197	1	3	3	2
1.446	9.297	60	60	111	1.850	1.147	1	1	6	148.317	202.567	1.400	0.568	0.182	0.595	148.216	202.514	1.306	145	200	1	8	6	2
0.362	3.757	15	15	17	1.133	0.516	1	1	3	132.000	226.133	1.333	0.330	0.081	0.354	132.000	226.118	1.294	131	225	1	3	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	105.000	232.000	1.100	0.281	0.099	0.301	105.000	232.000	1.100	104	231	1	3	3	2
0.458	4.552	19	19	19	1.000	0.000	1	1	1	97.263	238.105	1.053	0.431	0.173	0.476	97.263	238.105	1.053	95	236	1	5	5	2
0.482	4.603	20	18	21	1.050	0.224	1	1	2	295.800	146.500	3.050	0.403	0.097	0.431	295.810	146.476	3.048	294	145	2	4	4	3
0.265	3.068	11	11	11	1.000	0.000	1	1	1	195.091	203.455	3.909	0.315	0.114	0.305	195.091	203.455	3.909	194	203	3	3	2	3
0.265	3.333	11	11	11	1.000	0.000	1	1	1	18.000	213.909	3.636	0.320	0.106	0.306	18.000	213.909	3.636	17	213	3	3	3	3
0.265	2.945	11	11	11	1.000	0.000	1	1	1	281.545	157.818	4.636	0.317	0.100	0.286	281.545	157.818	4.636	281	157	4	2	3	3
0.458	4.797	19	18	19	1.000	0.000	1	1	1	296.316	147.158	7.737	0.413	0.142	0.379	296.316	147.158	7.737	295	146	6	4	3	4
0.458	4.603	19	18	20	1.053	0.229	1	1	2	22.000	211.000	13.000	0.382	0.086	0.390	22.000	211.000	13.000	21	210	12	3	3	3
