Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
72499.820	34832.102	3008133	328355	1098336512	365.122	438.323	228	1	4089	261.207	216.680	16.208	42.055	18.283	41.147	276.394	225.035	15.788	0	0	1	420	512	30
0.241	2.664	10	10	10	1.000	0.000	1	1	1	17.000	3.000	1.100	0.281	0.099	0.301	17.000	3.000	1.100	16	2	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	288.000	4.000	1.100	0.281	0.099	0.301	288.000	4.000	1.100	287	3	1	3	3	2
0.651	7.143	27	26	27	1.000	0.000	1	1	1	352.111	35.000	1.778	0.532	0.164	0.555	352.111	35.000	1.778	349	34	1	7	3	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	128.000	39.000	1.100	0.281	0.099	0.301	128.000	39.000	1.100	127	38	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	120.000	41.000	1.100	0.281	0.099	0.301	120.000	41.000	1.100	119	40	1	3	3	2
0.627	6.032	26	26	28	1.077	0.392	1	1	3	103.192	92.500	1.269	0.467	0.168	0.478	103.107	92.464	1.250	101	91	1	6	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	110.000	95.000	1.100	0.281	0.099	0.301	110.000	95.000	1.100	109	94	1	3	3	2
0.362	3.650	15	15	15	1.000	0.000	1	1	1	349.533	210.067	2.400	0.364	0.134	0.335	349.533	210.067	2.400	349	209	1	2	3	4
0.289	3.439	12	12	12	1.000	0.000	1	1	1	210.000	214.000	1.500	0.402	0.208	0.359	210.000	214.000	1.500	209	213	1	3	3	4
0.362	3.439	15	15	16	1.067	0.258	1	1	2	338.067	230.067	1.400	0.325	0.068	0.330	338.062	230.062	1.375	337	229	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	335.000	234.000	1.100	0.281	0.099	0.301	335.000	234.000	1.100	334	233	1	3	3	2
0.289	3.422	12	12	12	1.000	0.000	1	1	1	382.500	235.500	1.000	0.383	0.176	0.393	382.500	235.500	1.000	380	234	1	6	4	1
0.241	2.787	10	10	10	1.000	0.000	1	1	1	320.300	236.700	1.000	0.299	0.110	0.332	320.300	236.700	1.000	319	235	1	4	4	1
0.337	4.251	14	14	14	1.000	0.000	1	1	1	372.071	247.214	1.000	0.500	0.202	0.509	372.071	247.214	1.000	369	245	1	7	5	1
0.265	3.051	11	11	11	1.000	0.000	1	1	1	379.909	249.091	1.182	0.302	0.099	0.321	379.909	249.091	1.182	379	248	1	3	3	2
9.882	34.733	410	262	4141	10.100	15.141	3	1	90	25.566	265.907	2.356	1.197	0.258	1.214	25.579	265.859	1.617	20	260	1	13	13	5
0.410	4.726	17	17	17	1.000	0.000	1	1	1	414.588	277.588	1.647	0.409	0.160	0.444	414.588	277.588	1.647	413	276	1	4	4	3
0.651	5.521	27	27	30	1.111	0.424	1	1	3	101.111	366.741	1.333	0.417	0.124	0.408	101.100	366.733	1.300	99	365	1	5	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	370.000	394.000	1.100	0.281	0.099	0.301	370.000	394.000	1.100	369	393	1	3	3	2
0.337	3.616	14	14	14	1.000	0.000	1	1	1	216.214	407.500	1.143	0.345	0.122	0.361	216.214	407.500	1.143	215	406	1	4	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	183.000	424.000	1.100	0.281	0.099	0.301	183.000	424.000	1.100	182	423	1	3	3	2
0.386	4.074	16	16	17	1.062	0.250	1	1	2	201.000	454.000	1.312	0.342	0.095	0.366	201.000	454.000	1.294	200	452	1	3	5	2
0.289	3.369	12	12	12	1.000	0.000	1	1	1	270.833	477.333	1.333	0.360	0.161	0.343	270.833	477.333	1.333	270	476	1	3	4	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	197.000	482.000	1.100	0.281	0.099	0.301	197.000	482.000	1.100	196	481	1	3	3	2
0.506	4.779	21	20	22	1.048	0.218	1	1	2	265.952	482.143	1.524	0.400	0.112	0.381	265.955	482.136	1.500	264	481	1	4	4	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	179.000	483.000	1.100	0.281	0.099	0.301	179.000	483.000	1.100	178	482	1	3	3	2
0.386	4.462	16	15	16	1.000	0.000	1	1	1	261.375	508.000	1.625	0.410	0.141	0.381	261.375	508.000	1.625	260	506	1	4	5	3
0.313	3.914	13	12	13	1.000	0.000	1	1	1	124.154	38.077	3.462	0.427	0.169	0.349	124.154	38.077	3.462	123	37	2	3	3	4
0.627	5.766	26	24	27	1.038	0.196	1	1	2	236.846	233.385	4.269	0.484	0.194	0.471	236.852	233.370	4.296	236	232	2	3	4	5
0.627	7.123	26	25	26	1.000	0.000	1	1	1	323.192	241.385	6.154	0.789	0.378	0.763	323.192	241.385	6.154	322	240	2	3	3	8
0.458	4.867	19	18	19	1.000	0.000	1	1	1	407.947	242.316	4.316	0.422	0.153	0.373	407.947	242.316	4.316	407	241	3	3	3	4
0.265	3.333	11	10	11	1.000	0.000	1	1	1	28.000	274.000	4.364	0.333	0.079	0.319	28.000	274.000	4.364	27	273	3	3	3	3
0.386	4.937	16	15	16	1.000	0.000	1	1	1	277.312	489.250	5.062	0.516	0.264	0.485	277.312	489.250	5.062	276	488	3	3	4	5
0.241	3.650	10	9	10	1.000	0.000	1	1	1	24.100	58.600	5.500	0.413	0.188	0.350	24.100	58.600	5.500	23	57	4	3	4	4
0.337	4.409	14	13	14	1.000	0.000	1	1	1	165.357	131.786	5.214	0.430	0.166	0.460	165.357	131.786	5.214	164	130	4	4	5	3
