Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
20507.996	11520.154	850909	104662	100594144	118.220	126.747	81	1	1306	307.707	241.280	13.085	43.149	22.304	42.529	306.789	238.038	11.746	0	0	1	454	512	30
0.241	2.664	10	10	10	1.000	0.000	1	1	1	115.000	30.000	1.100	0.281	0.099	0.301	115.000	30.000	1.100	114	29	1	3	3	2
0.410	4.004	17	17	17	1.000	0.000	1	1	1	69.000	86.353	1.294	0.352	0.097	0.355	69.000	86.353	1.294	68	85	1	3	4	2
1.470	9.755	61	55	95	1.557	0.786	1	1	4	85.115	144.672	1.525	0.584	0.151	0.600	85.095	144.684	1.411	82	142	1	7	6	3
0.386	3.987	16	16	16	1.000	0.000	1	1	1	42.625	155.062	1.062	0.367	0.130	0.391	42.625	155.062	1.062	41	153	1	4	5	2
4.194	19.721	174	124	564	3.241	3.060	2	1	15	103.310	157.092	2.023	0.878	0.181	0.877	103.245	157.012	1.727	99	153	1	9	9	4
2.699	14.976	112	86	309	2.759	2.211	2	1	11	158.964	156.938	1.839	0.741	0.160	0.749	158.994	156.968	1.595	156	153	1	7	9	4
22.920	63.157	951	494	7038	7.401	7.729	4	1	33	129.122	243.251	2.705	1.663	0.387	1.669	129.117	242.968	1.958	121	236	1	18	17	7
1.060	7.673	44	42	58	1.318	0.561	1	1	3	90.500	242.000	1.455	0.500	0.132	0.496	90.552	242.000	1.379	88	240	1	6	5	3
11.761	40.889	488	288	3645	7.469	11.659	3	1	72	24.262	329.197	2.533	1.308	0.296	1.334	23.479	329.888	1.976	19	322	1	14	14	6
0.362	3.405	15	15	15	1.000	0.000	1	1	1	298.400	334.600	1.000	0.361	0.127	0.379	298.400	334.600	1.000	297	333	1	4	4	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	329.000	354.000	1.100	0.281	0.099	0.301	329.000	354.000	1.100	328	353	1	3	3	2
0.603	5.133	25	25	25	1.000	0.000	1	1	1	288.760	363.320	1.280	0.415	0.131	0.424	288.760	363.320	1.280	287	361	1	4	5	2
0.337	3.880	14	14	14	1.000	0.000	1	1	1	121.429	414.357	1.286	0.402	0.170	0.394	121.429	414.357	1.286	119	413	1	5	3	3
1.422	8.890	59	50	88	1.492	0.751	1	1	4	305.136	420.102	1.678	0.572	0.117	0.583	305.125	420.170	1.534	303	418	1	6	6	3
0.434	3.810	18	18	18	1.000	0.000	1	1	1	225.500	421.000	1.333	0.352	0.089	0.381	225.500	421.000	1.333	224	420	1	4	3	2
0.578	5.080	24	24	25	1.042	0.204	1	1	2	319.250	423.750	1.333	0.397	0.115	0.397	319.240	423.760	1.320	317	422	1	5	5	2
1.759	10.337	73	61	133	1.822	1.072	1	1	5	68.479	447.959	1.685	0.620	0.133	0.637	68.489	447.977	1.511	66	445	1	6	7	3
3.495	23.906	145	144	168	1.159	0.367	1	1	2	12.110	482.855	1.303	1.148	0.556	1.058	11.935	482.940	1.262	6	479	1	18	11	3
0.289	3.245	12	12	12	1.000	0.000	1	1	1	51.000	481.833	1.333	0.337	0.131	0.325	51.000	481.833	1.333	50	481	1	3	3	3
0.530	4.569	22	22	24	1.091	0.294	1	1	2	24.273	486.636	1.318	0.381	0.102	0.389	24.250	486.625	1.292	23	485	1	4	4	2
0.651	4.603	27	26	27	1.000	0.000	1	1	1	248.000	65.000	21.000	0.426	0.098	0.462	248.000	65.000	21.000	247	64	20	3	3	3
2.820	14.072	117	82	181	1.547	0.804	1	1	4	244.897	54.547	28.154	0.790	0.157	0.778	244.895	54.547	28.188	243	52	25	5	6	6
0.289	3.299	12	12	12	1.000	0.000	1	1	1	200.833	19.000	29.917	0.339	0.141	0.325	200.833	19.000	29.917	200	17	29	3	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	152.000	28.000	29.900	0.281	0.099	0.301	152.000	28.000	29.900	151	27	29	3	3	2
0.265	2.717	11	11	11	1.000	0.000	1	1	1	225.091	39.364	30.000	0.311	0.116	0.314	225.091	39.364	30.000	224	38	30	3	4	1
