Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
30132.732	17366.447	1250255	149861	167947712	134.331	155.145	84	1	2178	125.025	287.384	16.666	40.158	19.656	38.819	113.358	262.317	17.965	0	0	1	382	512	29
0.241	2.664	10	10	10	1.000	0.000	1	1	1	46.000	34.000	1.100	0.281	0.099	0.301	46.000	34.000	1.100	45	33	1	3	3	2
0.265	2.857	11	11	11	1.000	0.000	1	1	1	87.909	188.000	1.182	0.296	0.091	0.320	87.909	188.000	1.182	87	187	1	3	3	2
0.651	4.603	27	26	35	1.296	0.542	1	1	3	247.000	202.000	2.000	0.426	0.098	0.462	247.000	202.000	2.000	246	201	1	3	3	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	92.000	228.000	1.100	0.281	0.099	0.301	92.000	228.000	1.100	91	227	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	124.000	273.000	1.100	0.281	0.099	0.301	124.000	273.000	1.100	123	272	1	3	3	2
0.241	3.175	10	10	10	1.000	0.000	1	1	1	122.600	327.300	1.000	0.384	0.179	0.395	122.600	327.300	1.000	122	325	1	3	6	1
0.458	4.603	19	18	20	1.053	0.229	1	1	2	87.000	353.000	2.000	0.382	0.086	0.390	87.000	353.000	2.000	86	352	1	3	3	3
0.530	5.642	22	22	22	1.000	0.000	1	1	1	152.591	359.500	2.636	0.480	0.183	0.501	152.591	359.500	2.636	151	358	1	4	4	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	159.000	392.000	1.100	0.281	0.099	0.301	159.000	392.000	1.100	158	391	1	3	3	2
0.265	3.051	11	11	11	1.000	0.000	1	1	1	156.091	395.909	1.182	0.302	0.099	0.321	156.091	395.909	1.182	155	395	1	3	3	2
0.313	3.051	13	13	13	1.000	0.000	1	1	1	123.846	396.846	1.308	0.316	0.078	0.321	123.846	396.846	1.308	123	396	1	3	3	2
0.265	2.857	11	11	11	1.000	0.000	1	1	1	174.909	397.000	1.182	0.296	0.091	0.320	174.909	397.000	1.182	174	396	1	3	3	2
0.289	3.051	12	12	12	1.000	0.000	1	1	1	210.750	403.000	1.250	0.323	0.094	0.326	210.750	403.000	1.250	210	402	1	3	3	2
1.952	10.739	81	54	241	2.975	3.170	1	1	17	12.000	415.000	3.000	0.691	0.114	0.679	12.000	415.000	3.000	10	413	1	5	5	5
0.241	2.664	10	10	10	1.000	0.000	1	1	1	218.000	426.000	1.100	0.281	0.099	0.301	218.000	426.000	1.100	217	425	1	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	158.000	432.000	1.357	0.318	0.068	0.353	158.000	432.000	1.333	157	431	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	250.000	433.000	1.100	0.281	0.099	0.301	250.000	433.000	1.100	249	432	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	178.000	458.000	1.100	0.281	0.099	0.301	178.000	458.000	1.100	177	457	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	226.000	478.000	1.100	0.281	0.099	0.301	226.000	478.000	1.100	225	477	1	3	3	2
0.289	3.175	12	12	12	1.000	0.000	1	1	1	239.000	487.750	1.167	0.310	0.097	0.317	239.000	487.750	1.167	238	486	1	3	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	344.000	496.000	1.100	0.281	0.099	0.301	344.000	496.000	1.100	343	495	1	3	3	2
0.482	4.745	20	20	20	1.000	0.000	1	1	1	252.500	499.000	1.100	0.444	0.176	0.450	252.500	499.000	1.100	250	498	1	6	3	2
0.386	3.703	16	15	16	1.000	0.000	1	1	1	137.812	362.875	3.375	0.355	0.077	0.331	137.812	362.875	3.375	137	362	2	3	3	3
54.035	154.969	2242	962	74293	33.137	73.354	5	1	700	3.682	408.456	13.878	2.603	0.816	2.552	2.146	407.943	12.335	0	398	2	13	24	26
0.410	4.673	17	16	18	1.059	0.243	1	1	2	221.059	418.118	3.588	0.444	0.164	0.386	221.056	418.111	3.556	220	417	2	3	4	4
0.916	7.247	38	32	46	1.211	0.413	1	1	2	3.368	120.000	5.158	0.558	0.189	0.529	3.370	120.000	5.130	2	119	3	4	3	5
3.880	19.237	161	99	581	3.609	3.940	2	1	20	16.199	12.410	7.460	0.970	0.308	0.882	16.138	12.379	7.310	14	10	4	6	6	9
77.678	184.380	3223	1364	177938	55.209	75.593	19	1	480	3.315	307.812	22.890	3.038	1.024	3.067	2.100	308.886	23.706	0	290	4	13	35	26
