Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
5.640	46.066	234	234	92140	393.761	228.747	305.500	200	1370	191.321	0.188	9.423	2.284	1.238	2.196	191.772	0.160	7.677	183	0	1	17	2	22
0.578	6.488	24	24	5812	242.167	21.489	244.500	211	283	207.208	0.000	3.042	0.584	0.226	0.592	207.267	0.000	3.031	204	0	1	7	1	5
0.554	6.101	23	23	5570	242.174	34.740	233.000	201	313	219.130	0.000	2.304	0.583	0.227	0.581	219.227	0.000	2.309	216	0	1	7	1	4
2.796	27.485	116	116	34074	293.741	80.090	278.000	202	591	262.647	0.034	7.595	1.449	0.610	1.456	262.799	0.029	7.234	255	0	1	15	2	14
9760.439	9087.125	404976	75529	246691696	609.151	367.503	508.000	200	3834	390.609	156.370	12.094	24.257	11.150	24.296	392.952	160.740	11.113	276	0	1	236	315	22
1.374	11.442	57	57	24325	426.754	204.979	359.000	201	953	510.702	332.596	3.860	0.717	0.304	0.736	510.790	332.565	3.820	510	330	1	2	7	7
2.097	18.777	87	87	34322	394.506	252.573	275.000	205	1309	510.793	344.494	6.437	1.230	0.611	1.177	510.818	344.391	5.550	510	341	1	2	9	12
12.195	94.582	506	506	195793	386.943	192.245	322.500	200	1146	510.810	382.468	11.834	2.575	1.051	2.580	510.849	382.330	10.970	510	368	1	2	31	22
0.096	1.411	4	4	859	214.750	13.913	214.000	200	231	226.500	0.000	2.500	0.231	0.000	0.231	226.526	0.000	2.490	226	0	2	2	1	2
0.506	5.783	21	21	6587	313.667	92.681	292.000	202	479	240.667	0.095	5.857	0.541	0.266	0.476	240.609	0.062	5.814	239	0	3	4	2	6
0.434	5.342	18	18	4320	240.000	34.898	231.500	200	309	511.000	319.333	8.611	0.700	0.369	0.642	511.000	319.325	8.507	511	318	6	1	4	7
1.205	11.585	50	50	13901	278.020	84.404	247.500	200	517	302.940	0.780	12.440	0.716	0.346	0.644	303.056	0.618	12.393	299	0	10	9	5	7
1.759	18.423	73	73	18379	251.767	43.981	238.000	200	356	511.000	333.123	17.110	1.352	0.637	1.369	511.000	333.237	17.128	511	327	10	1	11	13
0.169	2.380	7	7	1532	218.857	9.890	217.000	202	230	511.000	326.571	15.286	0.379	0.195	0.313	511.000	326.563	15.254	511	326	14	1	2	4
0.048	0.829	2	2	401	200.500	0.707	200.500	200	201	432.500	261.000	15.000	0.124	0.000	0.124	432.499	261.000	15.000	432	261	15	2	1	1
0.024	0.511	1	1	203	203.000	0.000	203.000	203	203	511.000	282.000	17.000	0.000	0.000	0.000	511.000	282.000	17.000	511	282	17	1	1	1
0.362	3.774	15	14	3233	215.533	18.700	208.000	200	254	338.467	160.333	19.000	0.366	0.100	0.415	338.459	160.335	18.993	337	159	18	4	3	3
23.523	85.721	976	670	413919	424.097	178.971	384.000	200	1270	412.936	17.280	20.915	2.302	0.973	2.362	412.867	17.378	21.109	399	2	19	30	27	4
0.096	1.411	4	4	824	206.000	3.464	206.000	203	209	288.500	17.000	19.500	0.231	0.000	0.231	288.500	17.000	19.500	288	17	19	2	1	2
1.181	9.418	49	47	10839	221.204	17.718	219.000	200	265	307.490	19.898	21.306	0.616	0.246	0.601	307.520	19.874	21.331	305	17	19	7	6	4
0.217	2.804	9	9	1872	208.000	5.852	208.000	200	220	310.778	33.556	19.222	0.292	0.095	0.328	310.783	33.560	19.221	310	32	19	3	4	2
0.048	0.829	2	2	400	200.000	0.000	200.000	200	200	316.500	72.000	19.000	0.124	0.000	0.124	316.500	72.000	19.000	316	72	19	2	1	1
0.651	7.000	27	27	7492	277.481	49.418	271.000	202	371	511.000	349.630	20.741	0.619	0.233	0.656	511.000	349.514	20.780	511	346	19	1	8	4
3.205	18.400	133	123	43704	328.602	103.559	308.000	202	663	445.737	42.195	21.466	0.832	0.285	0.835	445.644	42.137	21.538	441	37	20	12	11	3
0.241	3.015	10	10	2307	230.700	23.935	228.000	201	273	511.000	359.500	21.200	0.367	0.131	0.381	511.000	359.452	21.233	511	358	20	1	4	3
0.048	0.899	2	2	414	207.000	5.657	207.000	203	211	266.000	0.000	21.500	0.195	0.000	0.195	266.000	0.000	21.510	266	0	21	1	1	2
0.554	4.515	23	23	5914	257.130	40.148	251.000	205	354	335.565	4.304	21.565	0.379	0.091	0.407	335.578	4.292	21.596	334	3	21	4	4	2
0.627	5.962	26	26	6302	242.385	33.069	232.000	201	312	438.692	51.000	21.769	0.457	0.166	0.436	438.712	51.019	21.796	436	49	21	6	5	2
0.121	1.728	5	5	1118	223.600	22.131	213.000	202	253	511.000	368.800	21.600	0.260	0.067	0.253	511.000	368.794	21.632	511	368	21	1	3	2
0.048	0.829	2	2	433	216.500	4.950	216.500	213	220	213.500	0.000	22.000	0.124	0.000	0.124	213.508	0.000	22.000	213	0	22	2	1	1
0.145	1.711	6	6	1694	282.333	54.687	270.500	228	349	420.500	70.000	22.000	0.227	0.079	0.278	420.502	69.950	22.000	420	69	22	2	3	1
0.048	0.829	2	2	487	243.500	26.163	243.500	225	262	440.500	152.000	22.000	0.124	0.000	0.124	440.462	152.000	22.000	440	152	22	2	1	1
0.096	1.464	4	4	839	209.750	8.382	208.000	202	221	372.000	211.250	22.000	0.190	0.092	0.221	371.993	211.241	22.000	371	211	22	3	2	1
