Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
20293.871	25065.582	842025	189157	558460864	663.235	496.204	498.000	200	3947	320.442	205.605	11.456	31.489	14.396	29.903	320.569	197.859	9.808	171	0	1	341	409	26
0.386	4.038	16	15	4070	254.375	32.802	263.500	208	308	208.375	36.312	2.062	0.405	0.149	0.414	208.395	36.328	2.061	207	35	1	3	3	4
0.096	1.270	4	4	897	224.250	11.730	227.000	208	235	217.500	76.500	1.000	0.176	0.000	0.176	217.518	76.488	1.000	217	76	1	2	2	1
0.096	1.534	4	4	907	226.750	37.411	213.000	200	281	225.750	157.250	1.250	0.219	0.071	0.219	225.775	157.245	1.221	225	157	1	2	2	2
0.337	3.439	14	14	4594	328.143	99.420	297.500	224	576	262.000	273.000	1.357	0.318	0.068	0.353	261.965	273.052	1.296	261	272	1	3	3	2
0.217	2.487	9	9	2430	270.000	54.507	262.000	210	374	500.889	272.444	1.333	0.281	0.062	0.291	500.888	272.418	1.327	500	272	1	3	2	2
0.482	4.532	20	18	5508	275.400	62.270	250.000	205	421	276.350	287.000	1.600	0.391	0.090	0.374	276.332	287.016	1.531	275	286	1	4	3	3
0.506	4.268	21	21	6396	304.571	77.664	306.000	200	485	296.381	298.952	1.476	0.379	0.110	0.355	296.440	298.990	1.404	294	298	1	5	3	2
2.097	14.603	87	72	22028	253.195	50.015	241.000	201	475	507.713	339.207	2.080	0.788	0.265	0.825	507.803	339.004	2.035	505	335	1	6	9	4
1.229	8.924	51	45	15868	311.137	117.745	273.000	202	683	337.745	357.314	1.765	0.568	0.165	0.553	337.514	357.408	1.655	335	355	1	7	5	3
0.072	1.146	3	3	630	210.000	12.288	205.000	201	224	447.333	358.667	1.000	0.163	0.039	0.185	447.319	358.644	1.000	447	358	1	2	2	1
0.072	1.217	3	3	646	215.333	9.018	216.000	206	224	508.000	385.667	1.333	0.213	0.059	0.211	508.000	385.666	1.319	508	385	1	1	2	2
0.096	1.411	4	4	970	242.500	2.887	242.500	240	245	451.500	354.000	2.500	0.231	0.000	0.231	451.500	354.000	2.495	451	354	2	2	1	2
0.265	2.945	11	11	2672	242.909	34.637	239.000	202	304	212.273	89.455	4.182	0.324	0.115	0.345	212.261	89.458	4.186	211	89	3	3	2	3
0.337	3.703	14	13	3168	226.286	21.327	220.500	200	271	503.786	349.000	4.000	0.360	0.096	0.391	503.789	349.003	3.996	503	348	3	3	3	3
0.265	3.403	11	11	2364	214.909	18.929	208.000	200	254	353.091	367.182	4.364	0.365	0.154	0.322	353.087	367.170	4.374	352	367	3	3	2	4
0.048	0.829	2	2	431	215.500	0.707	215.500	215	216	199.500	37.000	4.000	0.124	0.000	0.124	199.499	37.000	4.000	199	37	4	2	1	1
0.024	0.511	1	1	210	210.000	0.000	210.000	210	210	462.000	388.000	4.000	0.000	0.000	0.000	462.000	388.000	4.000	462	388	4	1	1	1
0.386	4.232	16	16	4212	263.250	52.126	251.000	204	375	249.688	0.250	8.438	0.405	0.159	0.354	249.701	0.232	8.389	248	0	7	4	2	4
0.337	4.338	14	14	2939	209.929	9.102	208.000	200	231	509.286	359.143	9.071	0.416	0.188	0.442	509.302	359.160	9.070	507	357	8	5	5	3
1.181	8.641	49	37	18102	369.429	145.005	329.000	200	747	506.082	420.347	9.755	0.588	0.144	0.562	506.048	420.310	9.707	504	419	8	5	4	5
0.048	0.899	2	2	444	222.000	19.799	222.000	208	236	320.000	294.000	10.500	0.195	0.000	0.195	320.000	294.000	10.532	320	294	10	1	1	2
0.193	2.046	8	8	1723	215.375	4.438	216.500	208	221	455.500	343.500	10.500	0.263	0.000	0.263	455.492	343.495	10.500	455	343	10	2	2	2
