Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
19422.258	13103.998	805860	123395	1068243264	1325.594	962.416	1035.000	200	4094	272.456	293.312	11.850	40.096	11.750	38.839	258.732	284.839	10.312	113	88	1	399	424	22
0.265	2.998	11	11	3210	291.818	76.048	263.000	201	464	336.273	321.000	1.364	0.298	0.062	0.307	336.273	320.972	1.318	335	320	1	3	3	2
0.048	0.829	2	2	424	212.000	5.657	212.000	208	216	510.000	371.500	1.000	0.124	0.000	0.124	510.000	371.491	1.000	510	371	1	1	2	1
35.598	92.761	1477	691	1168836	791.358	535.855	633.000	200	2965	501.718	453.954	19.418	2.018	0.541	2.008	502.915	453.785	20.086	488	444	13	24	17	10
16.823	55.068	698	392	627456	898.934	760.102	606.000	200	3718	293.092	318.215	20.294	1.678	0.582	1.699	292.974	318.581	20.937	287	307	17	12	22	6
7.279	26.384	302	178	270284	894.980	799.648	554.500	202	3684	488.093	433.907	19.907	1.094	0.162	1.092	487.998	433.962	20.515	483	430	17	10	9	6
3.302	16.985	137	103	87746	640.482	419.507	475.000	200	2178	363.577	399.876	20.898	0.819	0.203	0.803	363.761	399.832	21.175	359	397	18	9	7	5
0.337	3.720	14	14	3565	254.643	45.822	254.000	200	326	510.357	300.357	20.857	0.418	0.190	0.422	510.293	300.377	20.850	510	299	19	2	3	4
0.121	1.798	5	5	1055	211.000	8.000	209.000	201	223	510.000	304.600	20.200	0.289	0.143	0.327	510.000	304.600	20.206	510	304	19	1	2	3
2.000	11.801	83	73	41708	502.506	288.927	405.000	201	1424	203.651	230.084	21.301	0.666	0.172	0.653	203.625	230.011	21.483	200	227	20	8	7	3
1.277	8.890	53	47	22677	427.868	247.798	369.000	200	1198	183.868	242.321	21.415	0.553	0.142	0.560	183.806	242.178	21.560	182	240	20	5	7	3
1.591	10.036	66	56	33868	513.151	289.879	421.500	200	1321	264.318	273.182	21.303	0.601	0.135	0.609	264.448	273.232	21.494	261	271	20	7	6	3
1.952	13.194	81	73	34735	428.827	228.554	325.000	205	1265	290.630	347.556	21.444	0.777	0.300	0.741	290.489	347.274	21.571	287	344	20	8	10	3
3.929	27.184	163	154	58491	358.840	163.454	306.000	202	1173	386.276	421.840	21.534	1.156	0.566	1.131	386.726	421.635	21.613	378	417	20	17	15	3
3.254	18.805	135	119	59345	439.593	234.891	370.000	200	1184	343.496	483.667	21.393	0.961	0.403	0.878	343.567	484.074	21.549	341	476	20	6	15	3
0.313	3.422	13	13	3378	259.846	47.883	241.000	205	351	257.923	178.846	21.923	0.335	0.131	0.342	257.890	178.881	21.939	257	177	21	3	5	2
0.795	6.015	33	33	10559	319.970	110.552	289.000	200	579	195.818	228.909	21.667	0.444	0.128	0.453	195.762	228.886	21.730	194	227	21	5	5	2
0.289	3.245	12	12	3503	291.917	75.458	277.500	202	438	309.667	252.167	21.750	0.310	0.084	0.328	309.676	252.148	21.801	308	251	21	4	3	2
0.819	6.721	34	34	10123	297.735	88.304	277.500	200	511	184.794	326.765	21.676	0.511	0.214	0.482	184.733	326.935	21.707	183	323	21	5	7	2
0.217	2.540	9	9	2385	265.000	55.484	252.000	206	377	288.889	337.111	21.889	0.272	0.095	0.281	288.891	337.127	21.914	288	336	21	3	3	2
0.940	6.968	39	39	12967	332.487	107.278	301.000	203	601	206.179	356.949	21.641	0.479	0.146	0.506	206.149	356.980	21.708	204	355	21	6	5	2
0.337	3.369	14	14	3736	266.857	72.120	229.000	214	386	334.500	366.714	21.714	0.325	0.083	0.353	334.503	366.682	21.770	333	366	21	4	3	2
0.362	3.686	15	15	4796	319.733	96.083	282.000	211	501	246.733	411.467	21.733	0.338	0.096	0.357	246.723	411.435	21.788	245	410	21	4	4	2
0.217	2.610	9	9	2309	256.556	49.305	232.000	208	328	389.333	493.667	21.778	0.294	0.096	0.325	389.346	493.664	21.810	388	493	21	4	2	2
0.506	4.445	21	21	7098	338.000	111.619	306.000	208	592	368.810	500.571	21.667	0.372	0.095	0.381	368.776	500.562	21.725	367	499	21	4	4	2
0.072	1.146	3	3	738	246.000	51.643	224.000	209	305	511.000	55.000	22.000	0.166	0.144	0.249	511.000	54.980	22.000	511	54	22	1	3	1
0.024	0.511	1	1	203	203.000	0.000	203.000	203	203	214.000	176.000	22.000	0.000	0.000	0.000	214.000	176.000	22.000	214	176	22	1	1	1
0.096	1.270	4	4	927	231.750	14.863	234.000	214	245	193.500	180.500	22.000	0.176	0.000	0.176	193.507	180.474	22.000	193	180	22	2	2	1
0.024	0.511	1	1	215	215.000	0.000	215.000	215	215	169.000	209.000	22.000	0.000	0.000	0.000	169.000	209.000	22.000	169	209	22	1	1	1
0.072	1.146	3	3	665	221.667	22.301	213.000	205	247	281.667	211.333	22.000	0.163	0.039	0.185	281.680	211.308	22.000	281	211	22	2	2	1
0.048	0.829	2	2	419	209.500	12.021	209.500	201	218	303.000	232.500	22.000	0.124	0.000	0.124	303.000	232.480	22.000	303	232	22	1	2	1
0.096	1.270	4	4	1085	271.250	19.856	270.000	249	296	242.500	235.500	22.000	0.176	0.000	0.176	242.484	235.473	22.000	242	235	22	2	2	1
0.145	1.905	6	6	1550	258.333	45.885	251.000	205	341	198.833	239.167	22.000	0.227	0.092	0.252	198.852	239.148	22.000	198	238	22	3	3	1
0.096	1.270	4	4	1037	259.250	33.270	259.000	220	299	183.500	315.500	22.000	0.176	0.000	0.176	183.548	315.472	22.000	183	315	22	2	2	1
0.024	0.511	1	1	210	210.000	0.000	210.000	210	210	258.000	325.000	22.000	0.000	0.000	0.000	258.000	325.000	22.000	258	325	22	1	1	1
0.145	1.711	6	6	1585	264.167	44.490	270.000	201	318	339.000	340.500	22.000	0.227	0.079	0.278	338.916	340.533	22.000	338	340	22	3	2	1
0.048	0.829	2	2	421	210.500	4.950	210.500	207	214	350.500	343.000	22.000	0.124	0.000	0.124	350.492	343.000	22.000	350	343	22	2	1	1
0.145	1.711	6	6	1650	275.000	53.370	281.500	207	342	314.000	381.500	22.000	0.227	0.079	0.278	313.918	381.480	22.000	313	381	22	3	2	1
0.096	1.464	4	4	941	235.250	32.035	223.000	213	282	377.000	386.750	22.000	0.190	0.092	0.221	377.003	386.756	22.000	376	386	22	3	2	1
0.072	1.146	3	3	680	226.667	20.133	224.000	208	248	314.333	401.333	22.000	0.163	0.039	0.185	314.329	401.306	22.000	314	401	22	2	2	1
0.048	0.829	2	2	409	204.500	2.121	204.500	203	206	386.000	493.500	22.000	0.124	0.000	0.124	386.000	493.496	22.000	386	493	22	1	2	1
0.024	0.511	1	1	206	206.000	0.000	206.000	206	206	370.000	496.000	22.000	0.000	0.000	0.000	370.000	496.000	22.000	370	496	22	1	1	1
