Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
26393.854	15730.663	1095123	142009	1493226752	1363.524	1001.283	1056.000	200	4092	155.486	258.619	14.750	37.244	15.739	36.349	158.079	253.088	13.175	0	0	1	275	498	26
1.470	9.224	61	52	30326	497.148	302.763	382.000	202	1425	424.098	357.443	1.787	0.576	0.110	0.577	424.045	357.463	1.595	421	355	1	6	6	3
1.036	7.300	43	36	15084	350.791	126.517	328.000	201	717	205.140	50.233	9.442	0.551	0.149	0.570	205.109	50.184	9.444	204	49	7	4	4	5
0.193	2.046	8	8	1744	218.000	5.952	218.000	211	226	125.500	436.500	8.500	0.263	0.000	0.263	125.503	436.501	8.491	125	436	8	2	2	2
0.482	4.549	20	19	4762	238.100	22.697	236.500	201	283	130.600	440.050	9.550	0.445	0.162	0.352	130.597	440.049	9.580	130	439	8	3	3	4
0.072	1.217	3	3	642	214.000	10.149	212.000	205	225	39.333	465.000	9.333	0.213	0.059	0.211	39.319	465.000	9.330	39	465	9	2	1	2
0.603	5.696	25	22	6761	270.440	60.384	267.000	200	437	245.200	356.080	14.040	0.441	0.145	0.458	245.198	356.091	14.043	244	355	12	4	3	5
0.048	0.829	2	2	417	208.500	10.607	208.500	201	216	248.500	367.000	13.000	0.124	0.000	0.124	248.518	367.000	13.000	248	367	13	2	1	1
1.229	8.587	51	43	19972	391.608	149.824	375.000	207	811	234.333	394.078	15.000	0.610	0.187	0.569	234.286	394.070	14.969	233	393	13	4	4	5
0.024	0.511	1	1	219	219.000	0.000	219.000	219	219	230.000	318.000	15.000	0.000	0.000	0.000	230.000	318.000	15.000	230	318	15	1	1	1
1.735	11.673	72	56	24212	336.278	128.222	295.000	200	709	187.347	36.042	19.389	0.734	0.272	0.695	187.417	35.977	19.308	186	34	16	4	5	8
0.169	2.310	7	7	1738	248.286	37.673	250.000	207	299	181.286	13.714	20.286	0.297	0.117	0.296	181.249	13.709	20.319	181	13	19	2	2	3
0.048	0.829	2	2	420	210.000	4.243	210.000	207	213	214.500	320.000	19.000	0.124	0.000	0.124	214.507	320.000	19.000	214	320	19	2	1	1
3.736	20.032	155	105	58947	380.303	176.449	311.000	200	958	105.510	355.626	23.258	0.980	0.304	0.962	105.559	355.580	23.019	101	353	19	8	7	8
4.652	23.550	193	152	71620	371.088	197.177	289.000	200	1111	137.637	140.591	25.124	0.962	0.304	0.958	137.939	140.581	25.265	131	135	23	12	12	4
0.362	3.793	15	15	3233	215.533	10.232	217.000	201	235	110.600	106.800	26.000	0.411	0.198	0.401	110.592	106.804	26.000	108	105	26	6	4	1
