Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
9253.107	14727.776	383926	108220	177694384	462.835	311.168	365.000	200	3645	203.808	143.438	12.470	27.617	13.649	26.970	204.013	145.929	10.968	0	0	1	389	268	27
62.133	297.279	2578	2394	1304067	505.844	325.814	398.000	200	2491	425.065	0.579	12.899	4.385	1.814	4.427	427.994	0.443	12.179	393	0	1	63	3	27
0.024	0.511	1	1	214	214.000	0.000	214.000	214	214	300.000	134.000	1.000	0.000	0.000	0.000	300.000	134.000	1.000	300	134	1	1	1	1
0.169	2.029	7	7	1690	241.429	43.764	231.000	202	318	268.000	163.286	1.000	0.242	0.089	0.259	267.979	163.278	1.000	267	162	1	3	3	1
0.145	1.852	6	6	1350	225.000	17.158	224.000	207	251	71.667	231.500	3.333	0.247	0.046	0.245	71.681	231.506	3.320	71	231	3	2	2	2
2.555	24.894	106	106	34693	327.292	127.377	280.500	200	819	0.151	304.189	15.840	1.756	0.958	1.778	0.113	304.681	15.357	0	297	8	2	15	18
1.277	10.121	53	45	12144	229.132	19.841	225.000	200	274	118.849	222.585	12.943	0.690	0.270	0.634	118.872	222.601	12.914	117	221	10	5	4	7
0.072	1.217	3	3	606	202.000	0.000	202.000	202	202	252.333	112.000	11.667	0.213	0.059	0.211	252.333	112.000	11.667	252	112	11	2	1	2
0.265	3.333	11	11	2387	217.000	11.559	218.000	200	235	0.000	281.000	13.909	0.389	0.159	0.433	0.000	281.002	13.925	0	279	13	1	5	3
8.411	50.929	349	268	78384	224.596	20.184	220.000	200	303	2.888	214.765	20.616	1.637	0.749	1.557	2.858	214.880	20.497	0	205	14	7	17	14
0.024	0.511	1	1	206	206.000	0.000	206.000	206	206	294.000	33.000	15.000	0.000	0.000	0.000	294.000	33.000	15.000	294	33	15	1	1	1
2.507	23.166	104	104	35558	341.904	111.880	316.500	202	622	0.144	274.356	22.385	1.371	0.604	1.416	0.097	274.381	22.543	0	270	15	2	11	13
0.217	2.874	9	8	1937	215.222	12.112	211.000	205	243	278.222	8.111	20.111	0.314	0.080	0.302	278.214	8.114	20.108	277	7	19	3	3	3
0.024	0.511	1	1	203	203.000	0.000	203.000	203	203	312.000	111.000	20.000	0.000	0.000	0.000	312.000	111.000	20.000	312	111	20	1	1	1
0.723	5.696	30	27	6629	220.967	15.802	217.000	201	262	142.033	194.133	21.133	0.468	0.127	0.467	142.028	194.136	21.134	141	193	20	3	4	4
0.241	2.557	10	10	2077	207.700	6.093	208.000	200	215	143.400	199.200	20.500	0.291	0.054	0.296	143.401	199.206	20.491	143	198	20	2	3	2
0.121	1.728	5	5	1047	209.400	8.414	208.000	201	220	80.600	209.200	21.400	0.245	0.038	0.259	80.602	209.199	21.385	80	209	21	2	2	2
0.024	0.511	1	1	201	201.000	0.000	201.000	201	201	29.000	231.000	23.000	0.000	0.000	0.000	29.000	231.000	23.000	29	231	23	1	1	1
3.302	19.578	137	114	40648	296.701	107.500	258.000	200	690	180.299	129.460	26.124	0.879	0.314	0.878	180.124	129.835	26.193	175	124	24	11	11	4
2.217	12.506	92	78	21564	234.391	26.038	227.000	200	305	307.837	46.685	26.261	0.693	0.182	0.681	307.864	46.695	26.298	304	44	25	8	7	3
0.241	2.945	10	10	2180	218.000	13.976	213.500	203	239	113.100	228.700	26.400	0.317	0.102	0.308	113.111	228.717	26.405	112	228	25	3	2	3
0.554	5.257	23	23	5032	218.783	16.006	215.000	201	248	265.957	21.739	26.826	0.423	0.141	0.438	265.937	21.729	26.838	264	20	26	5	5	2
0.169	2.029	7	7	1529	218.429	15.208	225.000	201	239	171.571	130.286	27.000	0.264	0.114	0.227	171.561	130.300	27.000	171	129	27	2	4	1
