Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
24215.412	40510.426	1004736	279508	465120288	462.928	301.921	364.000	200	3950	237.024	265.125	12.428	41.587	17.880	40.055	229.851	259.364	10.990	0	130	1	512	382	27
2.386	13.158	99	81	39591	399.909	184.566	331.000	200	949	286.222	164.182	1.869	0.703	0.169	0.708	286.179	164.217	1.721	282	162	1	9	6	4
3.760	20.175	156	109	52328	335.436	133.447	301.500	200	777	274.891	166.513	2.769	0.924	0.267	0.921	274.576	166.345	2.625	270	164	1	11	6	5
0.458	4.462	19	19	4836	254.526	45.974	245.000	203	351	128.263	189.895	1.474	0.365	0.103	0.354	128.288	189.898	1.440	127	188	1	4	4	3
0.313	3.139	13	13	3332	256.308	25.650	250.000	209	308	82.462	233.615	2.000	0.346	0.120	0.418	82.450	233.620	2.011	82	233	1	2	3	3
0.458	4.409	19	17	5842	307.474	84.999	282.000	207	534	83.053	239.579	1.632	0.387	0.087	0.374	83.054	239.630	1.571	82	238	1	3	4	3
0.048	0.829	2	2	412	206.000	5.657	206.000	202	210	325.000	276.500	1.000	0.124	0.000	0.124	325.000	276.510	1.000	325	276	1	1	2	1
5.134	24.797	213	149	63765	299.366	79.886	278.000	200	537	446.540	313.770	2.512	1.038	0.316	1.041	446.524	313.823	2.429	444	308	1	7	13	6
0.169	2.240	7	7	1691	241.571	28.815	238.000	209	292	438.857	418.714	1.429	0.270	0.052	0.280	438.842	418.733	1.417	438	418	1	3	2	2
2.169	14.055	90	70	24067	267.411	48.176	258.000	200	416	508.222	506.078	3.689	0.794	0.265	0.728	508.274	506.101	3.699	505	503	1	6	7	6
0.289	3.403	12	12	3489	290.750	46.184	282.000	206	363	465.500	511.000	2.000	0.399	0.145	0.409	465.525	511.000	1.919	464	511	1	4	1	3
0.241	3.597	10	10	2319	231.900	23.072	226.000	205	271	509.200	511.000	3.500	0.691	0.322	0.637	509.169	511.000	3.361	508	511	1	4	1	6
0.554	4.990	23	21	6111	265.696	54.262	259.000	203	399	0.957	408.957	3.870	0.421	0.119	0.427	0.917	408.995	3.854	0	408	2	3	3	4
0.434	4.479	18	17	4681	260.056	44.651	255.000	202	331	77.444	237.778	4.278	0.402	0.141	0.429	77.455	237.731	4.280	76	237	3	4	3	4
0.386	3.703	16	15	3816	238.500	29.079	228.500	206	299	78.875	229.750	4.750	0.363	0.088	0.350	78.873	229.763	4.725	78	229	4	3	3	3
10.918	46.239	453	258	126236	278.667	58.261	268.000	200	478	506.377	417.662	8.547	1.385	0.419	1.353	506.495	417.491	8.410	500	413	4	12	14	10
0.024	0.511	1	1	200	200.000	0.000	200.000	200	200	497.000	415.000	4.000	0.000	0.000	0.000	497.000	415.000	4.000	497	415	4	1	1	1
0.072	1.217	3	3	638	212.667	8.737	215.000	203	220	511.000	426.667	4.333	0.213	0.059	0.211	511.000	426.682	4.337	511	426	4	1	2	2
1.374	9.787	57	49	16256	285.193	73.035	265.000	202	512	266.947	170.333	6.737	0.617	0.173	0.591	267.096	170.298	6.694	264	169	5	6	4	5
0.048	0.899	2	2	425	212.500	17.678	212.500	200	225	61.000	251.000	5.500	0.195	0.000	0.195	61.000	251.000	5.529	61	251	5	1	1	2
0.506	4.867	21	19	6310	300.476	75.820	278.000	211	502	505.857	272.952	6.190	0.416	0.119	0.411	505.849	272.944	6.203	505	272	5	3	3	4
