Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
10.629	57.212	441	385	198773	450.732	275.216	355.000	200	1809	0.685	94.478	8.868	1.982	0.962	1.776	0.582	93.777	7.422	0	87	1	4	17	19
12738.057	14823.700	528522	128709	403824640	764.064	561.280	589.000	200	3850	172.782	259.933	8.347	27.490	9.925	26.791	171.431	257.415	7.209	0	106	1	353	262	19
0.386	3.968	16	14	4605	287.812	75.058	286.500	201	450	50.750	180.000	2.500	0.372	0.098	0.367	50.796	179.993	2.514	50	179	1	3	3	4
0.916	7.089	38	32	11228	295.474	79.321	274.000	203	469	313.000	308.211	2.500	0.510	0.127	0.537	313.055	308.271	2.478	311	307	1	5	4	4
1.109	7.618	46	39	17585	382.283	158.607	320.500	205	812	118.543	317.043	3.217	0.557	0.153	0.545	118.529	317.030	3.123	117	316	1	4	4	5
1.567	13.629	65	65	22667	348.723	138.882	303.000	201	878	0.338	360.385	6.108	1.117	0.497	1.150	0.305	360.314	5.692	0	358	1	2	6	11
0.096	1.411	4	4	883	220.750	7.274	222.000	211	228	46.500	287.000	2.500	0.231	0.000	0.231	46.493	287.000	2.512	46	287	2	2	1	2
2.651	16.578	110	79	34271	311.555	120.276	263.000	200	713	90.064	205.645	8.145	0.779	0.176	0.774	90.125	205.655	8.025	86	203	6	9	6	5
0.048	0.829	2	2	414	207.000	5.657	207.000	203	211	332.000	320.500	9.000	0.124	0.000	0.124	332.000	320.490	9.000	332	320	9	1	2	1
0.121	1.587	5	5	1053	210.600	6.427	212.000	202	219	271.800	327.600	10.000	0.211	0.079	0.222	271.787	327.590	10.000	271	327	10	3	2	1
0.169	2.046	7	7	1672	238.857	25.745	231.000	205	279	115.571	206.571	12.571	0.259	0.023	0.261	115.596	206.607	12.572	115	206	12	2	2	2
0.072	1.217	3	3	609	203.000	3.000	203.000	200	206	97.333	156.000	13.333	0.213	0.059	0.211	97.333	156.000	13.328	97	156	13	2	1	2
0.096	1.270	4	4	805	201.250	1.258	201.000	200	203	150.500	190.500	13.000	0.176	0.000	0.176	150.498	190.502	13.000	150	190	13	2	2	1
0.121	1.728	5	5	1054	210.800	12.194	207.000	200	227	81.800	197.400	13.600	0.245	0.038	0.259	81.810	197.386	13.595	81	197	13	2	2	2
0.096	1.411	4	4	892	223.000	4.320	224.000	217	227	83.000	201.500	13.500	0.231	0.000	0.231	83.000	201.507	13.498	83	201	13	1	2	2
1.832	14.300	76	76	24194	318.342	92.323	299.000	202	542	0.382	358.553	16.947	0.881	0.410	0.850	0.357	358.598	17.132	0	351	13	2	12	7
0.024	0.511	1	1	201	201.000	0.000	201.000	201	201	250.000	230.000	14.000	0.000	0.000	0.000	250.000	230.000	14.000	250	230	14	1	1	1
0.554	4.903	23	23	5040	219.130	12.484	220.000	201	241	272.087	332.913	14.435	0.428	0.146	0.392	272.091	332.925	14.421	271	330	14	3	6	2
