Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.024	0.511	1	1	249	249.000	0.000	249.000	249	249	89.000	2.000	1.000	0.000	0.000	0.000	89.000	2.000	1.000	89	2	1	1	1	1
20637.844	18021.502	856297	157343	688830976	804.430	570.168	631.000	200	4092	121.373	261.490	9.698	35.590	15.289	33.888	123.571	259.553	8.559	0	0	1	248	512	19
0.024	0.511	1	1	207	207.000	0.000	207.000	207	207	38.000	42.000	1.000	0.000	0.000	0.000	38.000	42.000	1.000	38	42	1	1	1	1
0.024	0.511	1	1	213	213.000	0.000	213.000	213	213	395.000	47.000	1.000	0.000	0.000	0.000	395.000	47.000	1.000	395	47	1	1	1	1
0.096	1.534	4	4	903	225.750	28.123	219.000	203	262	164.250	48.250	1.250	0.219	0.071	0.219	164.226	48.225	1.259	164	48	1	2	2	2
0.024	0.511	1	1	230	230.000	0.000	230.000	230	230	303.000	69.000	1.000	0.000	0.000	0.000	303.000	69.000	1.000	303	69	1	1	1	1
0.048	0.829	2	2	435	217.500	19.092	217.500	204	231	154.500	87.000	1.000	0.124	0.000	0.124	154.531	87.000	1.000	154	87	1	2	1	1
2.555	13.279	106	76	70763	667.576	486.685	505.000	200	2224	483.830	149.613	2.528	0.737	0.106	0.725	483.792	149.612	2.168	481	147	1	6	6	5
0.771	5.679	32	30	14740	460.625	217.966	401.000	221	1055	316.438	167.938	1.812	0.452	0.095	0.467	316.390	167.948	1.662	315	166	1	4	4	3
0.048	0.899	2	2	424	212.000	7.071	212.000	207	217	219.000	168.000	1.500	0.195	0.000	0.195	219.000	168.000	1.512	219	168	1	1	1	2
0.410	3.757	17	17	5892	346.588	122.221	345.000	212	642	116.235	182.000	1.412	0.340	0.075	0.347	116.283	182.029	1.346	115	181	1	4	3	2
0.337	3.316	14	14	4397	314.071	93.819	286.000	214	530	347.143	186.143	1.429	0.319	0.063	0.332	347.143	186.192	1.364	346	185	1	3	3	2
0.193	2.293	8	8	2086	260.750	55.659	250.500	200	346	480.000	205.500	1.250	0.266	0.068	0.295	479.937	205.488	1.225	479	205	1	3	2	2
0.386	3.774	16	15	4438	277.375	69.265	248.500	204	427	285.312	220.000	1.688	0.361	0.088	0.348	285.303	219.959	1.640	284	219	1	3	3	3
4.652	20.298	193	115	148148	767.606	621.645	512.000	200	2812	305.824	256.601	3.016	0.932	0.115	0.909	305.745	256.623	2.520	302	253	1	8	8	6
0.072	1.146	3	3	731	243.667	52.937	222.000	205	304	82.667	264.667	1.000	0.163	0.039	0.185	82.696	264.720	1.000	82	264	1	2	2	1
0.072	1.146	3	3	697	232.333	16.197	224.000	222	251	198.333	264.667	1.000	0.163	0.039	0.185	198.319	264.679	1.000	198	264	1	2	2	1
0.048	0.829	2	2	520	260.000	18.385	260.000	247	273	121.000	266.500	1.000	0.124	0.000	0.124	121.000	266.475	1.000	121	266	1	1	2	1
0.121	1.658	5	5	1262	252.400	38.436	236.000	207	296	98.600	273.600	1.200	0.224	0.070	0.195	98.628	273.584	1.164	98	273	1	2	2	2
0.699	5.485	29	25	11549	398.241	186.924	323.000	213	886	101.448	279.552	1.690	0.445	0.075	0.463	101.382	279.611	1.539	100	278	1	4	4	3
1.060	7.019	44	38	22782	517.773	288.166	419.500	202	1307	463.068	284.477	1.909	0.514	0.080	0.513	463.064	284.479	1.717	461	283	1	5	4	3
15.256	45.572	633	287	671566	1060.926	969.085	626.000	200	3906	311.450	296.385	4.575	1.438	0.147	1.441	311.465	296.360	3.781	306	291	1	12	12	9
0.337	3.563	14	14	3516	251.143	46.021	229.500	208	356	133.714	310.214	1.286	0.337	0.108	0.339	133.731	310.263	1.250	133	308	1	3	5	2
0.121	1.587	5	5	1159	231.800	14.618	227.000	216	255	131.800	317.400	1.000	0.211	0.079	0.222	131.806	317.382	1.000	131	317	1	3	2	1
0.024	0.511	1	1	238	238.000	0.000	238.000	238	238	54.000	362.000	1.000	0.000	0.000	0.000	54.000	362.000	1.000	54	362	1	1	1	1
0.048	0.829	2	2	452	226.000	5.657	226.000	222	230	166.000	381.500	1.000	0.124	0.000	0.124	166.000	381.509	1.000	166	381	1	1	2	1
0.048	0.829	2	2	413	206.500	0.707	206.500	206	207	161.500	383.000	1.000	0.124	0.000	0.124	161.499	383.000	1.000	161	383	1	2	1	1
0.121	1.587	5	5	1262	252.400	51.091	226.000	202	320	170.200	383.600	1.000	0.211	0.079	0.222	170.213	383.665	1.000	169	383	1	3	2	1
0.554	5.608	23	22	6141	267.000	57.955	255.000	203	393	161.609	388.130	1.478	0.487	0.216	0.495	161.613	388.177	1.456	160	385	1	5	6	3
0.024	0.511	1	1	217	217.000	0.000	217.000	217	217	173.000	387.000	1.000	0.000	0.000	0.000	173.000	387.000	1.000	173	387	1	1	1	1
0.241	2.487	10	10	2808	280.800	68.490	269.000	213	396	491.500	393.800	1.400	0.289	0.056	0.282	491.502	393.783	1.347	491	393	1	2	3	2
0.096	1.270	4	4	857	214.250	11.177	215.000	200	227	110.500	428.500	1.000	0.176	0.000	0.176	110.498	428.518	1.000	110	428	1	2	2	1
0.747	5.819	31	28	13708	442.194	186.803	396.000	202	963	222.871	431.065	2.000	0.463	0.116	0.472	222.861	431.044	1.823	221	430	1	4	4	4
0.506	4.392	21	21	7450	354.762	140.095	325.000	204	644	183.333	433.571	1.429	0.368	0.086	0.401	183.357	433.574	1.355	182	432	1	4	4	2
0.024	0.511	1	1	216	216.000	0.000	216.000	216	216	110.000	435.000	1.000	0.000	0.000	0.000	110.000	435.000	1.000	110	435	1	1	1	1
0.699	5.414	29	27	11821	407.621	194.422	344.000	205	916	222.759	440.552	1.655	0.436	0.097	0.446	222.796	440.571	1.513	221	439	1	4	4	3
0.169	2.169	7	7	1875	267.857	61.363	260.000	209	358	178.571	444.857	1.286	0.260	0.065	0.279	178.562	444.834	1.235	178	444	1	2	3	2
0.410	3.827	17	16	5571	327.706	105.606	318.000	205	593	278.000	465.118	1.529	0.357	0.081	0.340	277.944	465.157	1.450	277	464	1	3	3	3
0.217	2.487	9	9	2387	265.222	63.600	251.000	201	379	509.556	467.111	1.333	0.281	0.062	0.291	509.563	467.143	1.288	509	466	1	2	3	2
0.434	4.074	18	18	5891	327.278	117.577	311.000	205	586	16.611	488.222	1.389	0.351	0.085	0.363	16.620	488.240	1.339	15	487	1	4	4	2
1.615	9.700	67	53	37966	566.657	364.021	443.000	202	1638	127.522	491.970	2.104	0.614	0.106	0.617	127.505	492.002	1.877	125	490	1	6	5	4
0.072	1.146	3	3	682	227.333	27.465	213.000	210	259	9.667	491.667	1.000	0.163	0.039	0.185	9.688	491.692	1.000	9	491	1	2	2	1
0.265	2.804	11	11	3457	314.273	89.370	296.000	203	503	228.364	492.182	1.364	0.298	0.063	0.298	228.359	492.125	1.290	227	491	1	3	3	2
0.048	0.829	2	2	492	246.000	36.770	246.000	220	272	62.500	496.000	1.000	0.124	0.000	0.124	62.447	496.000	1.000	62	496	1	2	1	1
0.313	3.245	13	13	4416	339.692	99.811	294.000	219	525	382.385	499.231	1.308	0.316	0.078	0.342	382.387	499.262	1.283	381	498	1	4	3	2
0.964	6.842	40	34	16275	406.875	190.992	347.500	200	918	25.325	505.600	2.075	0.512	0.103	0.509	25.267	505.668	1.904	24	504	1	4	4	4
3.422	15.061	142	100	102166	719.479	531.737	515.500	203	2446	139.627	508.620	2.725	0.818	0.120	0.795	139.665	508.594	2.307	137	506	1	6	6	5
0.313	3.262	13	13	3584	275.692	54.495	266.000	203	384	156.462	46.769	3.077	0.337	0.116	0.382	156.450	46.766	3.093	156	46	2	2	3	3
0.096	1.411	4	4	859	214.750	5.852	213.500	210	222	109.500	423.000	3.500	0.231	0.000	0.231	109.497	423.000	3.489	109	423	3	2	1	2
0.024	0.511	1	1	202	202.000	0.000	202.000	202	202	395.000	6.000	4.000	0.000	0.000	0.000	395.000	6.000	4.000	395	6	4	1	1	1
6.893	26.697	286	157	220995	772.710	587.352	524.500	201	2764	232.528	185.416	8.311	1.153	0.300	1.108	232.583	185.437	8.189	230	182	4	6	9	9
0.313	3.650	13	12	3342	257.077	53.741	255.000	204	377	232.923	199.154	5.231	0.355	0.090	0.345	232.902	199.163	5.239	232	198	4	3	3	3
0.048	0.829	2	2	411	205.500	6.364	205.500	201	210	246.000	246.500	4.000	0.124	0.000	0.124	246.000	246.511	4.000	246	246	4	1	2	1
0.024	0.511	1	1	201	201.000	0.000	201.000	201	201	157.000	78.000	6.000	0.000	0.000	0.000	157.000	78.000	6.000	157	78	6	1	1	1
0.048	0.829	2	2	406	203.000	2.828	203.000	201	205	141.000	424.500	7.000	0.124	0.000	0.124	141.000	424.495	7.000	141	424	7	1	2	1
0.024	0.511	1	1	200	200.000	0.000	200.000	200	200	101.000	401.000	11.000	0.000	0.000	0.000	101.000	401.000	11.000	101	401	11	1	1	1
6.845	26.733	284	164	300603	1058.461	870.424	709.500	203	3609	325.004	119.764	16.190	1.141	0.265	1.125	324.966	119.791	16.808	321	116	12	8	8	8
6.652	25.694	276	160	306512	1110.551	904.709	765.000	200	3638	258.692	182.837	16.482	1.099	0.212	1.080	258.676	182.828	16.983	255	179	12	8	8	8
0.048	0.829	2	2	416	208.000	4.243	208.000	205	211	111.500	351.000	12.000	0.124	0.000	0.124	111.507	351.000	12.000	111	351	12	2	1	1
0.024	0.511	1	1	211	211.000	0.000	211.000	211	211	4.000	421.000	12.000	0.000	0.000	0.000	4.000	421.000	12.000	4	421	12	1	1	1
9.424	34.213	391	215	448018	1145.826	980.687	729.000	200	3833	337.005	428.731	16.506	1.246	0.248	1.216	336.678	428.846	16.994	332	425	12	12	9	8
4.676	19.591	194	130	209451	1079.644	802.669	730.500	200	2925	431.433	509.021	16.309	0.994	0.256	1.024	431.444	509.350	16.789	428	506	12	7	6	8
1.518	10.068	63	48	26669	423.317	197.169	367.000	200	1001	168.619	65.714	15.397	0.664	0.210	0.668	168.689	65.756	15.351	167	64	13	4	4	6
1.157	8.517	48	38	16721	348.354	120.053	331.500	202	673	3.875	210.188	15.521	0.597	0.179	0.615	3.872	210.160	15.514	2	209	13	5	4	6
12.436	41.799	516	271	366047	709.393	495.194	542.000	200	2602	89.740	313.128	16.696	1.339	0.251	1.295	89.689	313.006	16.916	86	306	13	10	15	7
2.290	12.414	95	68	59068	621.768	397.040	471.000	201	1738	469.158	5.053	17.221	0.746	0.170	0.721	469.237	5.095	17.475	467	3	14	5	5	6
0.217	2.751	9	9	2017	224.111	20.251	218.000	203	265	19.778	203.667	15.000	0.303	0.124	0.315	19.782	203.682	14.994	19	203	14	3	2	3
1.446	11.445	60	50	15972	266.200	60.163	250.000	202	431	11.700	207.767	15.633	0.655	0.202	0.652	11.688	207.635	15.643	10	205	14	5	8	5
5.423	22.521	225	138	158138	702.836	452.282	564.000	201	2031	26.044	264.773	17.138	0.984	0.152	0.985	26.037	264.745	17.372	22	261	14	9	8	6
0.506	5.131	21	21	4871	231.952	24.903	220.000	203	288	67.476	20.762	16.905	0.487	0.234	0.447	67.491	20.743	16.881	67	19	15	2	4	5
1.205	8.199	50	40	22259	445.180	197.893	406.500	207	927	186.320	46.620	17.520	0.590	0.152	0.606	186.326	46.643	17.678	185	45	15	4	4	5
2.217	11.639	92	67	56845	617.880	407.322	477.500	200	1781	488.902	163.065	17.326	0.724	0.140	0.724	488.801	163.073	17.609	487	161	15	5	5	5
1.470	8.834	61	49	29869	489.656	257.962	422.000	202	1126	473.574	181.574	17.410	0.622	0.161	0.645	473.602	181.620	17.658	472	180	15	4	4	5
0.362	3.580	15	14	3616	241.067	23.611	236.000	217	300	3.000	223.000	16.400	0.352	0.077	0.341	3.003	222.980	16.400	2	222	15	3	3	3
1.832	10.546	76	59	34675	456.250	184.500	388.000	209	885	48.342	287.342	17.618	0.660	0.143	0.658	48.312	287.297	17.732	47	285	15	4	6	5
1.687	10.298	70	53	37748	539.257	315.139	407.000	205	1415	396.129	344.657	17.500	0.660	0.151	0.654	396.088	344.672	17.730	394	343	15	5	5	5
2.458	12.785	102	75	68422	670.804	444.663	513.000	206	1913	386.324	406.725	17.314	0.753	0.148	0.734	386.286	406.705	17.578	384	405	15	6	5	5
1.976	11.445	82	62	49504	603.707	374.027	479.000	205	1631	286.915	410.220	17.427	0.699	0.153	0.684	286.897	410.285	17.640	285	408	15	5	5	5
1.422	9.346	59	46	28227	478.424	243.316	403.000	200	1124	249.085	411.424	17.508	0.622	0.149	0.636	249.103	411.343	17.685	247	410	15	5	4	5
0.723	6.260	30	26	7215	240.500	30.202	236.000	200	293	34.600	424.600	16.400	0.463	0.114	0.445	34.623	424.610	16.412	33	423	15	4	4	4
2.073	11.515	86	66	52339	608.593	358.381	502.500	203	1577	362.198	432.256	17.337	0.708	0.155	0.686	362.181	432.325	17.506	360	430	15	5	5	5
1.856	11.004	77	58	45242	587.558	355.899	474.000	206	1553	200.130	463.195	17.455	0.683	0.150	0.665	200.140	463.270	17.690	198	461	15	5	5	5
1.470	9.787	61	47	28279	463.590	223.762	397.000	203	1070	506.672	502.852	17.525	0.627	0.145	0.619	506.709	502.832	17.676	505	501	15	5	5	5
1.109	7.300	46	41	25227	548.413	246.262	537.500	212	1092	418.652	510.043	17.500	0.567	0.172	0.607	418.711	510.145	17.705	417	509	15	4	3	5
0.819	6.277	34	30	11944	351.294	116.882	327.500	203	613	406.471	15.176	17.676	0.506	0.135	0.501	406.453	15.170	17.727	405	14	16	4	3	4
0.795	6.084	33	30	11807	357.788	116.914	329.000	208	661	164.000	16.061	17.697	0.494	0.139	0.475	163.997	16.133	17.765	163	15	16	3	4	4
0.723	5.696	30	27	10222	340.733	106.033	320.000	201	599	171.800	29.867	17.733	0.482	0.138	0.461	171.762	29.855	17.769	170	29	16	4	3	4
0.410	4.426	17	16	4539	267.000	56.922	251.000	203	378	105.294	32.235	17.471	0.422	0.155	0.370	105.320	32.243	17.480	104	31	16	3	3	4
0.578	4.867	24	22	6768	282.000	63.740	269.500	206	450	192.917	40.083	17.958	0.433	0.124	0.461	192.944	40.088	17.981	192	39	16	3	3	4
0.530	4.937	22	20	6522	296.455	74.038	271.000	202	459	415.727	60.045	17.864	0.443	0.145	0.449	415.716	60.099	17.910	415	59	16	3	3	4
0.578	5.255	24	22	7053	293.875	81.256	276.500	203	462	205.500	71.000	17.917	0.454	0.132	0.453	205.493	71.013	17.966	204	70	16	4	3	4
0.603	5.449	25	22	8067	322.680	91.703	299.000	206	514	187.440	80.000	17.880	0.460	0.130	0.448	187.427	80.042	17.952	186	79	16	4	3	4
0.699	5.890	29	26	10327	356.103	109.222	329.000	200	591	361.931	86.724	17.862	0.475	0.137	0.456	361.923	86.688	17.936	361	85	16	3	4	4
0.506	4.549	21	20	6186	294.571	68.205	271.000	218	436	314.000	90.571	17.810	0.430	0.144	0.421	313.960	90.560	17.854	313	90	16	3	3	4
1.085	7.424	45	37	17938	398.622	164.786	373.000	204	812	388.689	94.667	17.667	0.554	0.116	0.533	388.697	94.714	17.760	387	93	16	4	4	4
0.651	5.255	27	25	8186	303.185	83.386	284.000	201	518	450.148	94.852	17.778	0.463	0.142	0.467	450.149	94.839	17.854	449	94	16	3	3	4
0.482	4.549	20	19	6273	313.650	80.336	316.500	204	470	475.950	110.700	18.000	0.417	0.132	0.427	475.868	110.678	18.037	475	110	16	3	3	4
