Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2734	1738	2734	905	21872	8	0	8	8	8	173.059	75.720	10.625	8.860	2.094	8.873	173.059	75.720	10.625	163	67	1	25	19	18
8772	3118	8772	1851	43860	5	0	5	5	5	159.805	125.757	8.999	12.424	1.470	12.865	159.805	125.757	8.999	147	113	1	27	27	21
1788	1504	1788	798	19668	11	0	11	11	11	151.860	172.554	9.959	7.924	2.243	8.199	151.860	172.554	9.959	146	163	1	13	21	20
1967	1456	1967	764	23604	12	0	12	12	12	165.053	169.790	11.722	8.072	2.141	8.206	165.053	169.790	11.722	158	162	1	17	15	23
8252	3082	8252	1749	33008	4	0	4	4	4	145.518	210.880	11.041	12.063	1.859	12.285	145.518	210.880	11.041	133	199	1	26	25	24
1102	1162	1102	545	1102	1	0	1	1	1	146.851	239.495	6.927	7.406	2.480	7.225	146.851	239.495	6.927	138	227	1	17	22	14
1287	1110	1287	590	2574	2	0	2	2	2	46.192	276.119	5.775	7.038	2.019	7.043	46.192	276.119	5.775	38	266	1	17	22	13
3823	2536	3823	1372	61168	16	0	16	16	16	49.900	276.587	14.212	9.818	2.446	10.265	49.900	276.587	14.212	38	264	4	23	26	20
4626	2728	4626	1460	83268	18	0	18	18	18	177.655	84.032	17.292	10.353	2.545	10.646	177.655	84.032	17.292	164	67	5	25	30	21
1302	1188	1302	604	16926	13	0	13	13	13	12.485	263.110	12.043	7.187	2.224	7.043	12.485	263.110	12.043	3	253	5	16	20	17
1010	904	1010	476	15150	15	0	15	15	15	158.920	183.478	14.607	6.369	1.786	6.229	158.920	183.478	14.607	153	177	7	16	14	17
2257	1662	2257	1048	56425	25	0	25	25	25	81.946	301.171	23.821	9.307	3.274	9.426	81.946	301.170	23.821	67	286	20	32	28	7
