Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
6726	3868	6726	2071	67260	10	0	10	10	10	226.566	196.579	9.580	11.463	2.541	11.739	226.566	196.579	9.580	213	180	1	28	31	20
7127	3508	7127	2001	28508	4	0	4	4	4	193.696	194.714	8.413	11.267	2.689	11.794	193.696	194.714	8.413	180	180	1	28	30	19
9989	3756	9989	2195	129857	13	0	13	13	13	311.651	241.590	10.025	12.904	2.507	12.983	311.632	241.589	10.025	295	227	1	31	31	20
4896	3144	4896	1770	24480	5	0	5	5	5	373.036	265.945	6.480	11.352	3.284	11.371	373.036	265.945	6.480	358	250	1	28	35	18
8971	3668	8971	2120	53826	6	0	6	6	6	175.484	303.495	7.800	12.909	2.897	12.940	175.484	303.495	7.800	161	290	1	32	35	20
5642	2778	5642	1564	62062	11	0	11	11	11	378.041	298.769	11.694	10.604	1.916	10.740	378.053	298.769	11.694	365	290	1	27	21	20
8911	4682	8911	2590	133665	15	0	15	15	15	182.347	335.727	8.755	12.796	2.983	12.803	182.356	335.728	8.755	164	319	1	35	34	20
4402	2106	4402	1393	35216	8	0	8	8	8	213.918	350.303	6.160	11.046	3.674	10.537	213.918	350.303	6.160	205	332	1	16	37	13
4772	2238	4772	1500	33404	7	0	7	7	7	228.800	350.808	6.051	11.195	3.608	10.560	228.800	350.808	6.051	222	332	1	18	38	12
17831	5258	17831	3288	160479	9	0	9	9	9	426.883	371.512	11.615	16.308	3.017	16.640	426.847	371.511	11.615	408	353	1	38	46	20
5016	2724	5016	1741	60192	12	0	12	12	12	221.531	349.185	15.876	11.371	3.170	11.906	221.531	349.185	15.876	207	332	8	34	36	13
