Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
34758.672	19901.840	1442192	207578	495569536	343.622	371.744	218	1	3727	287.250	232.021	10.609	38.344	20.717	34.053	282.564	222.091	13.125	0	0	1	512	512	21
124.049	270.220	5147	1899	534422	103.832	203.446	15	1	2497	414.822	6.526	7.086	3.206	0.860	3.193	417.371	4.087	6.717	395	0	1	35	21	21
68.110	246.681	2826	1600	127790	45.219	94.944	6	1	623	505.033	8.978	6.710	2.983	1.110	2.831	508.436	4.455	7.863	490	0	1	22	30	21
33.862	101.929	1405	614	32587	23.194	58.747	5	1	546	355.846	22.979	5.334	2.015	0.558	2.069	353.880	24.063	5.344	348	14	1	21	20	11
29.404	112.473	1220	743	36789	30.155	80.443	4	1	729	1.382	55.319	7.893	2.407	0.945	2.412	0.812	52.181	6.640	0	41	1	5	32	21
298.639	565.442	12391	3682	1364206	110.097	198.346	14	1	1697	361.046	76.432	7.287	4.604	1.372	4.380	363.154	75.564	7.619	331	49	1	50	56	21
49.456	149.632	2052	911	30497	14.862	26.156	4	1	208	404.683	77.508	5.267	2.556	0.867	2.484	407.355	77.654	5.438	389	70	1	33	17	10
102.623	262.509	4258	2014	393586	92.434	187.173	17	1	1453	2.044	100.580	10.729	3.886	1.474	3.899	1.080	101.134	9.442	0	73	1	6	57	21
212.838	347.879	8831	2467	1312617	148.637	239.044	28	1	1542	375.380	122.169	7.203	3.973	1.142	3.753	376.819	120.884	7.220	357	106	1	41	46	18
27.210	108.558	1129	597	10437	9.244	18.946	2	1	169	272.492	142.719	5.026	1.920	0.584	1.973	272.677	142.704	5.196	261	134	1	22	19	10
27.572	94.413	1144	561	21512	18.804	38.218	4	1	315	448.452	170.870	4.981	2.049	0.650	1.972	448.696	170.987	5.193	442	158	1	13	26	11
24.487	68.029	1016	479	25072	24.677	35.898	9	1	228	2.299	344.545	6.224	1.848	0.487	1.980	1.718	343.385	6.701	0	336	1	7	18	13
