Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
60662.074	28948.893	2516966	344705	1320288000	524.555	540.753	357.000	1	3977	242.652	331.027	10.145	41.591	17.137	41.664	236.475	338.605	8.740	0	93	1	512	419	19
81.535	169.874	3383	1173	918915	271.627	521.000	19.000	1	2929	491.786	269.948	14.444	2.716	0.584	2.629	491.037	269.520	16.717	479	259	6	31	22	14
38.707	84.671	1606	605	289560	180.299	346.125	21.000	1	2067	500.991	122.981	15.085	2.021	0.288	1.986	500.698	122.685	16.843	493	116	9	18	15	11
66.206	162.171	2747	1127	247346	90.042	173.534	13.000	1	1367	219.789	432.636	15.787	2.620	0.760	2.612	223.396	431.971	16.826	204	423	9	30	23	11
40.394	109.046	1676	760	73281	43.724	73.056	10.000	1	457	247.735	48.501	16.142	2.212	0.691	2.213	248.208	48.523	16.990	237	36	10	20	25	10
32.392	93.084	1344	631	113047	84.112	180.722	10.500	1	1219	306.843	32.766	16.170	2.088	0.653	1.888	306.570	32.624	17.183	301	19	11	13	28	9
25.957	86.557	1077	547	43158	40.072	104.324	6.000	1	905	118.945	33.321	16.427	1.907	0.653	1.834	117.739	34.983	16.945	111	23	11	19	22	9
25.909	91.988	1075	601	52599	48.929	137.180	5.000	1	1196	30.675	62.849	16.598	2.404	0.966	2.565	30.913	57.298	17.421	25	49	11	12	31	9
56.662	188.522	2351	1246	54103	23.013	60.785	4.000	1	733	204.561	450.249	16.764	3.088	1.332	2.980	208.192	453.114	16.958	191	426	11	29	45	9
47.118	149.185	1955	961	72967	37.323	65.472	6.000	1	430	194.832	474.741	16.396	2.594	1.118	2.421	193.252	472.597	16.994	183	461	11	32	33	9
34.585	91.818	1435	671	59139	41.212	65.722	11.000	1	450	280.175	41.525	16.298	2.114	0.693	2.047	279.133	41.038	17.109	267	36	12	28	15	8
53.023	162.122	2200	1127	46278	21.035	36.765	6.000	1	259	91.029	486.150	16.778	2.536	0.861	2.549	89.997	483.118	17.308	81	470	12	24	32	8
25.186	89.414	1045	572	16150	15.455	25.551	5.000	1	174	205.457	16.537	16.770	1.795	0.518	1.883	205.293	15.925	17.231	196	7	13	20	19	7
36.441	128.835	1512	826	18427	12.187	19.383	4.000	1	129	164.041	115.633	16.955	2.189	0.765	2.119	163.646	117.391	17.460	151	105	13	29	23	7
25.089	86.084	1041	574	25062	24.075	46.142	6.000	1	355	481.659	233.233	16.899	1.845	0.584	1.840	481.385	235.624	17.566	470	222	13	20	21	7
