Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
141.475	421.760	5870	3440	711512	121.212	283.461	11	1	2858	252.023	1.477	13.913	5.706	2.730	5.392	261.910	0.733	14.614	196	0	1	99	5	23
29451.281	18753.619	1221980	182749	1489334144	1218.788	1176.041	908	1	4094	172.570	270.589	12.489	42.538	13.753	42.198	190.933	271.442	11.331	0	16	1	313	496	23
58.349	215.165	2421	1594	24470	10.107	30.319	3	1	624	83.912	1.187	15.717	3.808	1.813	3.555	79.179	0.663	16.611	49	0	3	66	5	21
70.954	145.639	2944	1004	375808	127.652	293.331	9	1	1859	110.988	170.586	18.508	2.504	0.413	2.460	110.658	171.532	21.057	100	156	11	22	25	13
151.742	331.450	6296	2405	468358	74.390	160.032	9	1	1436	143.395	203.363	19.564	3.961	1.497	3.863	141.976	200.619	21.175	123	179	11	42	52	13
57.241	140.491	2375	947	154776	65.169	203.699	7	1	2266	172.018	205.368	19.328	2.520	0.813	2.425	169.683	205.504	20.773	158	197	11	33	19	13
25.740	75.180	1068	483	76315	71.456	196.802	6	1	1564	152.693	163.626	19.605	1.800	0.387	1.750	154.121	163.559	20.957	142	157	13	19	14	11
26.897	73.842	1116	486	65203	58.426	131.953	7	1	1137	183.356	234.780	19.843	1.778	0.303	1.754	182.552	234.135	21.325	175	229	13	18	15	11
36.923	102.166	1532	677	126205	82.379	223.498	7	1	1861	154.247	266.003	19.678	2.146	0.601	2.083	155.863	266.690	21.138	142	256	13	22	23	11
33.284	102.294	1381	664	53915	39.041	86.823	4	1	685	153.919	131.728	20.283	2.078	0.653	1.999	153.408	129.661	21.319	148	122	14	19	28	10
32.705	84.201	1357	592	76660	56.492	120.083	8	1	904	63.080	371.296	20.105	1.911	0.381	1.895	63.344	372.825	21.318	53	360	14	17	22	10
35.983	100.992	1493	684	68104	45.616	102.983	7	1	725	72.839	200.879	20.391	2.160	0.683	2.041	70.756	202.015	21.300	63	191	15	25	20	9
128.701	377.853	5340	2715	139681	26.157	70.521	5	1	938	19.518	242.802	20.834	3.889	1.546	3.999	19.453	246.723	21.439	0	210	15	43	58	9
25.596	113.789	1062	665	12044	11.341	25.524	3	1	231	79.355	432.532	21.183	2.488	0.930	2.554	81.964	434.571	21.561	62	421	16	33	26	8
30.657	116.210	1272	759	14550	11.439	21.440	3	1	168	31.517	374.399	21.207	2.436	0.957	2.417	31.870	373.801	21.620	22	358	17	22	34	7
