Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
386.416	1068.203	16033	6406	356173	22.215	61.149	4	1	990	275.512	14.998	8.296	6.336	2.915	6.283	273.346	14.652	7.667	235	0	1	95	48	20
120.771	423.916	5011	2424	86686	17.299	59.635	3	1	936	473.750	12.888	8.207	4.147	1.852	3.941	477.377	11.638	7.828	435	0	1	62	35	20
372.244	891.199	15445	5407	1137590	73.654	239.252	6	1	2955	143.234	16.243	10.025	6.459	2.858	6.335	133.378	14.079	7.256	102	0	1	93	37	25
33.212	97.741	1378	563	36152	26.235	60.932	4	1	546	367.812	8.138	8.143	1.989	0.489	1.992	368.178	7.786	7.410	360	0	1	14	17	16
28.536	84.978	1184	485	31303	26.438	68.491	4	1	630	45.614	9.669	8.203	1.880	0.398	1.890	45.355	10.204	7.640	37	4	1	20	12	15
38.032	123.188	1578	692	33230	21.058	54.254	4	1	585	436.329	19.980	8.023	2.126	0.624	2.082	436.054	22.862	7.579	429	9	1	17	21	20
51.890	180.892	2153	1024	36073	16.755	42.175	3	1	488	12.651	20.442	7.964	2.464	0.797	2.427	11.060	20.284	7.570	0	9	1	26	26	16
52.324	145.217	2171	869	75502	34.778	93.940	4	1	1018	40.923	28.438	8.660	2.349	0.598	2.326	42.576	30.182	7.709	31	15	1	21	22	18
52.035	178.013	2159	1001	41773	19.348	47.632	3	1	467	216.836	30.106	7.660	2.652	0.896	2.652	218.629	29.073	7.416	202	21	1	30	24	14
65.242	240.120	2707	1339	51430	18.999	58.302	3	1	705	379.891	38.327	8.016	2.728	0.931	2.754	384.215	34.801	7.489	361	26	1	32	27	18
33.187	107.155	1377	604	51450	37.364	107.817	4	1	1004	324.437	32.466	9.030	2.075	0.618	2.090	325.057	33.889	7.630	319	22	1	12	20	19
97.249	315.242	4035	1821	105189	26.069	63.079	4	1	649	486.066	43.840	8.107	3.539	1.432	3.218	484.982	44.113	7.585	463	29	1	49	28	18
179.024	516.362	7428	3028	239412	32.231	101.808	4	1	1707	79.091	50.256	8.432	4.217	1.563	4.230	79.720	49.818	7.437	56	24	1	47	46	22
273.501	809.284	11348	4746	257729	22.711	66.418	4	1	1021	430.901	60.396	8.118	4.766	1.534	4.847	430.538	57.134	7.513	407	34	1	51	57	18
64.953	203.268	2695	1173	54964	20.395	48.362	3	1	548	298.807	43.763	8.196	2.664	0.875	2.541	298.105	43.573	7.604	286	30	1	23	36	18
