Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
21855.281	12258.491	906810	123427	131210240	144.694	191.470	83	1	3011	252.060	124.400	12.969	40.625	16.254	40.361	262.104	134.083	10.722	0	0	1	512	230	24
0.121	1.781	5	5	5	1.000	0.000	1	1	1	28.000	20.000	1.000	0.199	0.111	0.249	28.000	20.000	1.000	27	19	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	405.000	48.000	1.000	0.000	0.000	0.000	405.000	48.000	1.000	405	48	1	1	1	1
0.169	2.557	7	6	7	1.000	0.000	1	1	1	411.000	67.000	2.000	0.296	0.073	0.249	411.000	67.000	2.000	410	66	1	3	3	3
0.121	1.781	5	5	5	1.000	0.000	1	1	1	368.000	69.000	1.000	0.199	0.111	0.249	368.000	69.000	1.000	367	68	1	3	3	1
0.217	2.276	9	9	9	1.000	0.000	1	1	1	220.000	75.000	1.000	0.267	0.112	0.249	220.000	75.000	1.000	219	74	1	3	3	1
0.458	4.603	19	18	20	1.053	0.229	1	1	2	161.000	76.000	2.000	0.382	0.086	0.390	161.000	76.000	2.000	160	75	1	3	3	3
0.121	1.781	5	5	5	1.000	0.000	1	1	1	336.000	86.000	1.000	0.199	0.111	0.249	336.000	86.000	1.000	335	85	1	3	3	1
0.121	1.781	5	5	5	1.000	0.000	1	1	1	346.000	94.000	1.000	0.199	0.111	0.249	346.000	94.000	1.000	345	93	1	3	3	1
0.169	2.557	7	6	8	1.143	0.378	1	1	2	260.000	103.000	2.000	0.296	0.073	0.249	260.000	103.000	2.000	259	102	1	3	3	3
0.530	4.886	22	22	22	1.000	0.000	1	1	1	267.455	107.136	1.273	0.406	0.134	0.390	267.455	107.136	1.273	266	105	1	4	5	2
0.024	0.511	1	1	1	1.000	0.000	1	1	1	155.000	108.000	1.000	0.000	0.000	0.000	155.000	108.000	1.000	155	108	1	1	1	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	129.000	125.000	1.100	0.281	0.099	0.301	129.000	125.000	1.100	128	124	1	3	3	2
0.121	1.781	5	5	5	1.000	0.000	1	1	1	341.000	128.000	1.000	0.199	0.111	0.249	341.000	128.000	1.000	340	127	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	137.000	136.000	1.000	0.000	0.000	0.000	137.000	136.000	1.000	137	136	1	1	1	1
0.121	1.781	5	5	5	1.000	0.000	1	1	1	135.000	141.000	1.000	0.199	0.111	0.249	135.000	141.000	1.000	134	140	1	3	3	1
0.121	1.781	5	5	5	1.000	0.000	1	1	1	141.000	141.000	1.000	0.199	0.111	0.249	141.000	141.000	1.000	140	140	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	267.000	156.000	1.000	0.000	0.000	0.000	267.000	156.000	1.000	267	156	1	1	1	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	259.000	158.000	1.100	0.281	0.099	0.301	259.000	158.000	1.100	258	157	1	3	3	2
0.145	2.046	6	6	6	1.000	0.000	1	1	1	254.333	165.667	2.000	0.256	0.123	0.210	254.333	165.667	2.000	254	165	1	2	2	3
0.241	3.456	10	9	10	1.000	0.000	1	1	1	242.400	169.000	2.500	0.408	0.181	0.331	242.400	169.000	2.500	241	168	1	4	3	4
0.024	0.511	1	1	1	1.000	0.000	1	1	1	220.000	170.000	1.000	0.000	0.000	0.000	220.000	170.000	1.000	220	170	1	1	1	1
0.121	1.781	5	5	5	1.000	0.000	1	1	1	203.000	180.000	1.000	0.199	0.111	0.249	203.000	180.000	1.000	202	179	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	413.000	40.000	2.000	0.000	0.000	0.000	413.000	40.000	2.000	413	40	2	1	1	1
0.096	1.798	4	4	4	1.000	0.000	1	1	1	367.500	77.500	2.500	0.263	0.000	0.263	367.500	77.500	2.500	367	77	2	2	2	2
0.024	0.511	1	1	1	1.000	0.000	1	1	1	289.000	102.000	2.000	0.000	0.000	0.000	289.000	102.000	2.000	289	102	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	83.000	120.000	2.000	0.000	0.000	0.000	83.000	120.000	2.000	83	120	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	160.000	152.000	2.000	0.000	0.000	0.000	160.000	152.000	2.000	160	152	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	143.000	3.000	3.000	0.000	0.000	0.000	143.000	3.000	3.000	143	3	3	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	23.000	8.000	3.000	0.000	0.000	0.000	23.000	8.000	3.000	23	8	3	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	416.000	37.000	3.000	0.000	0.000	0.000	416.000	37.000	3.000	416	37	3	1	1	1
0.169	2.557	7	6	7	1.000	0.000	1	1	1	406.000	45.000	4.000	0.296	0.073	0.249	406.000	45.000	4.000	405	44	3	3	3	3
0.169	2.046	7	7	7	1.000	0.000	1	1	1	374.429	70.429	3.571	0.259	0.023	0.261	374.429	70.429	3.571	374	70	3	2	2	2
0.024	0.511	1	1	1	1.000	0.000	1	1	1	388.000	70.000	3.000	0.000	0.000	0.000	388.000	70.000	3.000	388	70	3	1	1	1
0.169	2.557	7	6	7	1.000	0.000	1	1	1	110.000	126.000	4.000	0.296	0.073	0.249	110.000	126.000	4.000	109	125	3	3	3	3
0.024	0.511	1	1	1	1.000	0.000	1	1	1	162.000	147.000	3.000	0.000	0.000	0.000	162.000	147.000	3.000	162	147	3	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	272.000	159.000	3.000	0.000	0.000	0.000	272.000	159.000	3.000	272	159	3	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	206.000	177.000	3.000	0.000	0.000	0.000	206.000	177.000	3.000	206	177	3	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	344.000	119.000	4.000	0.000	0.000	0.000	344.000	119.000	4.000	344	119	4	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	156.000	131.000	4.000	0.000	0.000	0.000	156.000	131.000	4.000	156	131	4	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	321.000	139.000	4.000	0.000	0.000	0.000	321.000	139.000	4.000	321	139	4	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	90.000	117.000	5.000	0.000	0.000	0.000	90.000	117.000	5.000	90	117	5	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	117.000	133.000	5.000	0.000	0.000	0.000	117.000	133.000	5.000	117	133	5	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	246.000	160.000	5.000	0.000	0.000	0.000	246.000	160.000	5.000	246	160	5	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	50.000	55.000	7.000	0.000	0.000	0.000	50.000	55.000	7.000	50	55	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	159.000	149.000	7.000	0.000	0.000	0.000	159.000	149.000	7.000	159	149	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	240.000	168.000	7.000	0.000	0.000	0.000	240.000	168.000	7.000	240	168	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1	1	1	217.000	170.000	7.000	0.000	0.000	0.000	217.000	170.000	7.000	217	170	7	1	1	1
0.169	2.557	7	6	7	1.000	0.000	1	1	1	250.000	162.000	9.000	0.296	0.073	0.249	250.000	162.000	9.000	249	161	8	3	3	3
0.024	0.511	1	1	1	1.000	0.000	1	1	1	201.000	172.000	8.000	0.000	0.000	0.000	201.000	172.000	8.000	201	172	8	1	1	1
