Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
21888.324	10784.693	908181	112776	259814400	286.082	384.167	144	1	4068	231.433	248.553	13.075	33.436	17.932	32.176	234.348	243.185	8.504	154	0	1	160	512	25
128.749	269.777	5342	2106	1008532	188.793	300.140	72	1	2915	14.456	507.711	13.364	3.939	1.473	3.928	13.453	508.280	8.031	0	503	1	45	9	25
196.956	330.577	8172	2399	1771093	216.727	355.656	29	1	2408	370.640	349.324	20.184	3.842	1.173	3.687	371.500	349.007	22.664	345	328	10	50	48	16
68.689	190.264	2850	1230	604455	212.089	619.676	7	1	4029	335.137	367.599	20.949	2.984	1.049	2.731	335.421	370.276	23.416	320	345	11	29	35	15
30.585	75.692	1269	515	263322	207.504	511.753	12	1	3413	461.400	22.413	21.217	1.876	0.288	1.861	460.710	22.452	23.543	454	15	15	17	15	11
25.330	67.931	1051	451	162350	154.472	430.213	8	1	3313	437.151	408.594	21.149	1.802	0.354	1.756	437.482	408.796	23.558	427	403	15	17	12	11
25.282	88.045	1049	575	105085	100.176	311.185	5	1	2756	415.039	192.193	22.439	2.084	0.826	1.897	413.047	192.334	23.746	406	183	17	26	21	9
36.730	88.723	1524	660	95690	62.789	133.018	13	1	1155	400.211	426.327	22.188	1.989	0.405	1.981	401.714	425.877	23.370	391	418	17	21	22	9
34.103	151.624	1415	985	21928	15.497	35.524	3	1	406	434.671	119.314	23.700	3.086	1.515	3.036	437.096	123.592	24.313	420	96	20	31	46	6
24.680	100.683	1024	669	25463	24.866	53.501	5	1	484	463.572	245.530	23.564	2.096	0.740	2.186	462.902	246.048	24.346	453	233	20	23	28	6
46.106	223.874	1913	1415	21788	11.389	23.361	3	1	286	411.740	268.996	23.892	4.007	1.680	4.050	411.341	265.066	24.394	390	242	21	40	57	5
