Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
74684.578	46019.605	3098782	466050	1566322816	505.464	543.988	339	1	4077	261.828	285.596	11.050	45.506	15.997	47.161	261.381	283.417	9.189	0	0	1	512	512	20
46.805	135.864	1942	940	107224	55.213	161.017	5	1	1603	81.188	406.654	3.761	2.376	0.806	2.390	84.155	408.817	2.373	65	394	1	29	24	10
29.886	79.862	1240	525	69556	56.094	153.600	5	1	1551	130.935	498.506	4.127	1.812	0.304	1.804	131.075	498.336	2.071	122	491	1	19	17	10
66.134	195.664	2744	1340	109311	39.836	95.004	8	1	1042	300.241	5.890	16.882	2.850	1.070	2.784	302.197	3.626	17.475	281	0	9	38	16	12
25.861	86.763	1073	531	34699	32.338	88.505	4	1	843	340.341	7.596	16.829	2.026	0.698	2.119	335.310	8.516	17.293	329	2	10	25	13	11
53.457	189.333	2218	1125	52490	23.665	74.513	4	1	985	76.252	33.538	17.050	2.767	1.137	2.575	75.277	35.695	17.266	56	22	11	41	21	10
48.685	156.496	2020	977	59826	29.617	74.746	5	1	829	246.877	32.946	16.972	2.745	1.055	2.814	246.567	33.730	17.330	237	14	11	23	35	10
117.325	401.966	4868	2471	94273	19.366	45.802	4	1	550	10.725	342.354	17.098	4.094	1.738	3.844	10.877	341.901	17.340	0	310	11	29	63	10
67.218	208.560	2789	1346	55371	19.853	44.620	5	1	597	216.849	24.833	17.078	3.061	1.317	2.968	216.504	25.928	17.348	200	2	12	30	39	9
45.069	149.937	1870	931	23178	12.395	24.916	4	1	290	349.395	23.669	17.167	2.315	0.754	2.315	347.189	21.326	17.307	335	14	12	30	24	9
27.837	88.389	1155	561	36631	31.715	85.004	5	1	735	313.074	24.025	17.101	2.086	0.708	2.121	317.760	25.075	17.546	299	17	12	26	14	9
30.319	105.933	1258	649	21292	16.925	34.343	5	1	354	104.417	24.272	17.039	2.128	0.745	2.175	105.571	27.458	17.278	94	10	12	21	25	9
41.912	145.258	1739	884	31152	17.914	41.413	4	1	446	478.596	29.408	17.088	2.361	0.877	2.245	477.684	32.131	17.380	471	15	12	17	32	9
41.912	148.507	1739	887	23174	13.326	38.285	3	1	460	427.549	90.913	17.079	2.476	0.936	2.387	426.722	90.030	17.228	419	76	12	22	33	9
45.792	163.110	1900	977	37081	19.516	45.923	4	1	435	452.752	96.336	17.124	2.595	0.985	2.507	449.166	97.093	17.377	439	84	12	34	28	9
62.928	196.638	2611	1241	46217	17.701	35.936	4	1	352	409.654	109.286	17.005	2.795	1.061	2.670	410.802	109.588	17.278	392	95	12	33	31	9
35.718	108.462	1482	704	37456	25.274	51.319	4	1	480	346.518	315.350	17.134	2.041	0.600	1.985	346.961	317.041	17.465	338	304	12	16	27	9
61.410	233.864	2548	1370	28310	11.111	26.831	3	1	357	265.699	327.927	17.330	2.809	1.007	2.809	264.236	332.705	17.486	250	312	12	35	33	9
51.336	198.396	2130	1172	24979	11.727	32.698	3	1	395	32.970	401.516	17.226	3.076	1.230	2.983	35.095	405.238	17.382	18	381	12	30	38	9
40.442	137.184	1678	855	29014	17.291	34.120	4	1	284	9.048	495.984	17.003	2.312	0.820	2.279	7.893	498.573	17.281	0	482	12	24	27	9
29.548	111.558	1226	675	11393	9.293	13.796	4	1	94	60.736	3.760	17.342	2.545	1.164	2.487	62.239	3.595	17.548	41	0	13	39	10	8
28.584	111.788	1186	666	8530	7.192	14.915	2	1	160	270.536	21.411	17.412	2.173	0.816	2.091	268.755	22.492	17.511	263	8	13	22	23	8
25.306	79.572	1050	502	20613	19.631	35.619	5	1	268	354.163	48.560	17.096	1.834	0.511	1.865	354.846	48.571	17.444	344	43	13	22	13	8
28.897	103.395	1199	623	16576	13.825	25.759	4	1	252	458.455	66.804	17.215	2.146	0.756	2.144	459.103	67.812	17.514	450	54	13	18	27	8
32.850	113.065	1363	698	10866	7.972	14.925	3	1	129	438.370	144.634	17.360	1.967	0.553	1.928	438.436	145.105	17.388	427	136	13	23	22	8
26.656	116.742	1106	651	4903	4.433	7.284	2	1	62	92.838	474.222	17.464	2.266	0.807	2.271	92.713	476.906	17.477	85	460	14	17	29	7
