Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
9947	3544	9947	2298	208887	21	0	21	21	21	329.150	279.975	12.848	13.469	2.352	13.146	329.138	279.975	12.848	319	267	1	23	26	31
11617	4502	11617	3026	336893	29	0	29	29	29	309.198	281.979	23.058	14.475	3.156	14.482	309.187	281.979	23.058	291	265	1	34	33	31
6637	2510	6637	1790	92918	14	0	14	14	14	304.515	285.092	7.209	11.530	2.032	11.861	304.515	285.092	7.209	290	272	1	27	28	14
17029	4828	17029	2929	306522	18	0	18	18	18	363.825	295.701	12.523	15.659	1.425	15.726	363.790	295.700	12.523	348	280	1	33	32	28
4394	2344	4394	1258	70304	16	0	16	16	16	395.764	295.509	13.178	10.246	2.117	10.242	395.764	295.509	13.178	385	283	1	26	23	27
5414	2612	5414	1589	32484	6	0	6	6	6	254.086	312.947	5.463	10.937	2.516	11.416	254.086	312.947	5.463	241	298	1	27	30	14
8387	3108	8387	1695	159353	19	0	19	19	19	230.697	314.173	13.872	12.310	1.124	12.223	230.710	314.174	13.872	218	303	1	26	23	26
1119	1066	1119	566	3357	3	0	3	3	3	454.819	325.297	4.913	6.780	2.050	6.946	454.819	325.297	4.913	447	317	1	17	20	12
1197	960	1197	544	4788	4	0	4	4	4	225.754	331.855	3.719	6.674	1.736	6.678	225.754	331.855	3.719	216	323	1	20	17	9
12405	5206	12405	3036	136455	11	0	11	11	11	201.946	341.093	13.082	14.653	3.491	14.570	201.962	341.095	13.082	183	327	1	34	30	31
7648	2932	7648	1730	114720	15	0	15	15	15	480.912	361.780	10.441	11.910	1.347	11.823	480.932	361.780	10.441	469	349	1	24	25	22
8894	3262	8894	2133	88940	10	0	10	10	10	217.338	369.186	7.616	12.964	2.699	13.057	217.338	369.186	7.616	208	350	1	24	39	18
8207	2906	8207	1930	139519	17	0	17	17	17	198.734	369.431	12.017	12.330	1.794	12.504	198.724	369.431	12.017	189	357	1	21	26	25
11823	3806	11823	2397	141876	12	0	12	12	12	197.542	396.902	8.943	13.993	1.996	14.103	197.542	396.902	8.943	184	382	1	30	33	21
7653	3298	7653	1730	176019	23	0	23	23	23	493.830	391.342	16.014	12.334	2.075	12.009	493.842	391.342	16.014	480	379	1	26	26	27
13505	4306	13505	2312	324120	24	0	24	24	24	187.577	427.304	16.686	14.459	1.081	14.443	187.577	427.304	16.686	173	413	1	30	30	31
13721	4524	13721	2907	178373	13	0	13	13	13	194.257	454.959	10.295	15.031	2.627	14.707	194.239	454.959	10.295	176	437	1	35	34	31
1412	1072	1412	577	9884	7	0	7	7	7	225.487	458.839	5.791	6.882	1.500	6.639	225.487	458.839	5.791	219	448	1	14	21	13
12529	4266	12529	2521	112761	9	0	9	9	9	210.988	481.924	11.739	14.046	2.652	13.954	210.973	481.924	11.739	196	468	1	35	29	26
4709	2290	4709	1416	117725	25	0	25	25	25	223.324	507.111	17.476	10.675	2.546	10.927	223.318	507.115	17.476	210	500	3	28	12	29
1368	1058	1368	568	36936	27	0	27	27	27	289.164	290.759	17.473	6.853	1.711	6.635	289.164	290.759	17.473	283	285	6	13	14	20
10929	4338	10929	2597	360657	33	0	33	33	33	426.538	296.365	20.688	13.388	2.114	13.579	426.529	296.363	20.688	413	282	7	30	29	25
10819	3586	10819	2140	346208	32	0	32	32	32	376.994	271.120	23.217	13.493	1.878	13.772	376.994	271.120	23.217	362	257	10	31	29	22
7100	2668	7100	1707	255600	36	0	36	36	36	423.681	318.969	23.232	11.678	1.506	11.690	423.662	318.969	23.232	410	309	12	27	24	20
5422	2520	5422	1603	200614	37	0	37	37	37	403.901	292.821	24.389	11.134	2.544	10.901	403.892	292.821	24.389	386	281	14	28	28	18
1632	1444	1632	715	45696	28	0	28	28	28	481.004	327.056	21.376	7.663	2.303	7.532	481.004	327.056	21.376	471	320	14	21	20	14
2413	1332	2413	849	72390	30	0	30	30	30	182.948	472.441	24.615	8.175	1.493	8.175	182.948	472.441	24.615	174	466	15	17	17	17
5615	2492	5615	1523	196525	35	0	35	35	35	471.378	351.776	24.649	10.945	2.128	11.029	471.386	351.777	24.649	458	338	16	25	28	16
2666	1650	2666	1111	101308	38	0	38	38	38	192.478	466.734	27.235	9.379	3.082	9.396	192.478	466.735	27.235	177	455	16	25	27	16
4839	3032	4839	1717	164526	34	0	34	34	34	217.390	295.749	25.909	11.168	2.909	11.317	217.388	295.748	25.909	203	280	17	30	30	15
3774	2122	3774	1260	154734	41	0	41	41	41	348.238	268.801	27.679	10.094	2.565	10.344	348.230	268.801	27.679	335	255	21	27	28	11
1635	1158	1635	695	70305	43	0	43	43	43	504.183	342.904	27.210	7.427	1.923	7.275	504.188	342.904	27.210	494	335	21	18	21	11
1001	916	1001	501	40040	40	0	40	40	40	276.106	269.868	28.259	6.542	1.907	6.411	276.106	269.868	28.259	268	258	22	14	22	10
2366	1468	2366	867	99372	42	0	42	42	42	463.720	304.780	27.930	8.392	2.053	8.532	463.714	304.780	27.930	453	294	22	23	22	10
1189	960	1189	575	52316	44	0	44	44	44	286.200	266.621	28.598	6.932	2.180	6.863	286.200	266.621	28.598	280	256	24	15	24	8
