Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
103816.430	43777.539	4307509	471320	3605160448.000	836.948	871.140	511	10	4080	209.930	286.405	14.241	42.587	16.113	43.496	212.865	296.704	11.298	0	0	1	468	512	27
175.698	323.319	7290	2122	2137574.000	293.220	742.154	34	10	4078	430.474	472.885	18.726	3.825	1.135	3.697	432.001	475.370	22.846	414	447	6	30	40	22
216.285	300.613	8974	2312	3053695.000	340.282	510.275	89	10	3172	31.913	13.096	20.158	3.694	0.603	3.674	32.455	11.843	22.720	16	0	9	31	29	19
88.717	174.131	3681	1193	1140652.000	309.876	605.732	49	10	3639	450.901	252.205	20.062	2.879	0.657	2.923	450.517	252.193	22.475	441	239	9	21	24	19
28.705	81.977	1191	569	349846.000	293.741	505.913	57	10	2698	381.153	3.557	21.952	2.005	0.558	2.047	380.193	2.420	23.732	374	0	14	18	9	14
75.798	167.272	3145	1181	698882.000	222.220	358.685	53	10	2195	10.232	84.475	22.358	2.615	0.562	2.662	10.111	83.302	23.869	0	74	14	23	25	14
26.102	83.795	1083	538	185525.000	171.307	324.172	42	10	2187	476.187	52.431	22.502	1.994	0.589	2.001	477.099	51.102	23.861	468	46	15	15	17	13
25.089	85.966	1041	549	108159.000	103.899	155.700	38	10	1062	34.594	106.110	23.399	1.923	0.567	1.987	34.734	105.785	23.716	25	100	16	21	13	12
29.283	82.987	1215	554	214848.000	176.830	290.268	52	10	1865	465.532	295.590	22.916	1.913	0.481	1.912	464.402	295.425	23.865	458	290	16	19	12	12
27.789	84.228	1153	548	84894.000	73.629	113.526	31	10	992	443.369	423.315	23.817	1.792	0.370	1.791	442.266	423.642	24.096	436	417	18	19	16	10
33.814	132.526	1403	791	49648.000	35.387	46.887	21	10	487	91.483	183.748	24.194	2.188	0.812	2.226	90.520	182.219	24.187	81	172	19	27	25	9
