Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
74490.852	40880.797	3090744	382492	762497152	246.703	300.402	147	10	4043	243.115	267.065	15.001	45.103	18.865	45.141	230.579	268.582	18.834	52	0	1	460	512	30
30.874	153.603	1281	940	32268	25.190	20.560	18	10	182	139.710	28.905	2.336	2.740	1.124	2.560	140.272	28.560	2.094	123	14	1	39	31	7
110.312	223.204	4577	1534	1200884	262.374	678.604	31	10	4067	7.568	43.435	9.113	3.271	0.853	3.323	6.257	43.919	5.031	0	32	1	26	24	22
88.307	458.625	3664	2709	103890	28.354	31.350	18	10	470	58.822	70.730	2.370	5.182	2.017	5.184	56.084	69.518	2.129	24	34	1	76	64	8
47.046	198.041	1952	1321	50413	25.826	21.771	18	10	199	380.689	86.053	2.531	3.003	1.258	2.769	380.591	85.789	2.220	366	66	1	35	41	9
38.779	191.621	1609	1181	38949	24.207	19.887	17	10	216	55.893	119.418	2.203	3.120	1.458	2.975	57.117	120.750	1.997	33	99	1	45	37	6
44.081	171.019	1829	1116	169921	92.904	203.747	26	10	1600	11.013	190.261	3.692	2.824	1.061	2.782	4.356	191.717	2.811	0	177	1	33	27	12
41.623	102.809	1727	689	363396	210.420	453.259	33	10	3191	102.833	405.631	6.639	2.283	0.622	2.303	103.450	404.965	3.902	94	398	1	17	20	16
82.378	302.773	3418	2023	139189	40.722	62.211	23	10	932	50.525	433.830	2.910	4.615	1.574	4.630	51.996	431.816	2.425	32	405	1	41	61	10
51.312	235.172	2129	1517	60162	28.258	30.673	19	10	349	76.600	481.755	2.372	3.781	1.780	3.621	78.428	482.010	2.108	49	467	1	56	29	7
