Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
28402.719	14314.460	1178474	145941	274008576	232.511	257.975	148.000	10	4059	184.700	266.327	12.196	32.147	16.781	29.482	185.283	255.593	13.842	93	0	1	182	512	25
42.973	110.111	1783	733	346553	194.365	485.464	33.000	10	3671	413.338	40.647	5.569	2.211	0.540	2.136	414.086	39.272	3.137	405	31	1	16	24	14
56.614	129.014	2349	886	650124	276.766	593.405	40.000	10	3782	393.271	54.033	6.123	2.451	0.599	2.398	392.766	54.754	3.174	386	40	1	16	26	15
154.128	251.973	6395	1740	2346486	366.925	644.016	55.000	10	3614	494.774	90.527	7.928	3.420	0.676	3.462	495.063	90.656	3.933	477	77	1	33	29	19
24.559	66.586	1019	450	175482	172.210	399.894	31.000	10	3044	389.890	263.026	5.605	1.836	0.435	1.862	390.088	263.555	3.134	384	255	1	13	14	12
439.294	748.873	18227	5823	1648386	90.436	115.684	47.000	10	980	506.482	399.350	10.558	6.820	2.813	6.596	508.209	396.278	10.742	492	349	1	20	104	25
233.421	322.839	9685	2363	3059763	315.928	479.070	72.000	10	3010	348.040	420.066	7.570	3.882	0.805	3.825	348.638	419.961	4.042	330	401	1	42	40	19
72.135	139.455	2993	940	850044	284.011	687.943	33.000	10	4060	311.941	441.657	7.479	2.634	0.499	2.642	312.637	441.589	3.476	299	433	1	23	18	16
31.621	80.833	1312	498	292681	223.080	516.871	32.500	10	3461	414.191	479.484	6.576	2.033	0.480	2.015	414.366	479.666	3.536	404	474	1	17	12	14
39.454	94.972	1637	647	191297	116.858	184.631	49.000	10	1602	377.292	496.879	4.789	2.070	0.384	2.032	378.448	496.632	3.391	368	488	1	20	22	12
