Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.434	4.426	18	18	6436	357.556	155.313	302.500	206	701	228.389	131.556	2.611	0.454	0.187	0.481	228.569	131.599	2.556	227	131	1	3	3	4
0.530	5.907	22	22	6906	313.909	71.954	308.000	205	471	220.909	135.773	2.500	0.477	0.168	0.427	220.958	135.774	2.518	220	135	1	3	3	4
0.362	3.597	15	15	5079	338.600	135.028	272.000	204	615	239.533	137.467	2.600	0.423	0.179	0.300	239.633	137.356	2.654	239	137	1	2	2	4
0.362	4.038	15	15	6198	413.200	140.190	399.000	236	677	225.400	138.667	2.667	0.449	0.182	0.536	225.459	138.752	2.558	225	138	1	2	3	4
0.410	5.449	17	17	6239	367.000	140.716	358.000	201	669	218.941	139.647	2.706	0.508	0.162	0.562	219.013	139.721	2.715	217	139	1	4	2	4
0.265	3.403	11	11	5587	507.909	230.068	477.000	212	935	222.727	139.455	2.545	0.446	0.190	0.582	222.862	139.581	2.357	222	139	1	2	2	4
0.747	8.675	31	31	10425	336.290	115.669	300.000	202	642	298.065	163.742	2.645	0.622	0.219	0.627	298.411	163.869	2.692	296	162	1	6	4	4
0.265	3.403	11	11	3097	281.545	94.039	274.000	200	520	310.091	172.091	2.455	0.408	0.169	0.345	310.065	172.165	2.636	310	171	1	2	3	4
0.265	3.403	11	11	3149	286.273	59.893	298.000	200	375	335.364	265.909	2.727	0.407	0.191	0.326	335.431	265.886	2.725	335	265	1	2	3	4
0.265	3.527	11	11	3073	279.364	49.470	281.000	213	357	199.455	266.545	2.818	0.430	0.194	0.488	199.423	266.550	2.767	199	266	1	2	2	4
0.241	3.085	10	10	3158	315.800	104.640	283.500	206	501	195.800	326.400	2.500	0.394	0.179	0.296	195.852	326.537	2.601	195	326	1	2	2	4
0.554	6.030	23	23	9184	399.304	162.208	383.000	209	852	300.522	356.957	2.826	0.489	0.190	0.476	300.458	357.053	2.896	299	355	1	4	4	4
0.313	4.038	13	13	4716	362.769	135.034	326.000	200	595	225.462	139.231	7.077	0.404	0.163	0.439	225.405	139.098	6.970	225	138	6	3	4	3
0.458	6.277	19	19	4756	250.316	35.440	248.000	201	311	276.421	143.789	6.947	0.486	0.145	0.457	276.349	143.773	6.977	274	142	6	6	4	3
0.458	4.549	19	19	7355	387.105	151.040	354.000	202	684	297.421	163.421	6.947	0.409	0.140	0.422	297.440	163.520	6.946	296	162	6	3	4	3
0.458	6.471	19	19	5830	306.842	105.155	267.000	202	546	309.105	170.789	7.263	0.503	0.157	0.530	309.258	171.105	7.166	307	169	6	5	5	3
0.362	4.479	15	15	5694	379.600	154.250	389.000	204	638	246.933	251.933	7.133	0.411	0.160	0.430	246.713	252.081	7.170	246	251	6	4	3	3
0.313	4.372	13	13	3814	293.385	76.890	266.000	209	478	235.231	339.615	7.462	0.451	0.176	0.401	235.323	339.699	7.535	234	339	6	3	2	4
0.940	7.758	39	38	19094	489.590	254.520	447.000	207	1180	300.538	356.846	7.564	0.543	0.174	0.609	300.546	356.960	7.531	299	355	6	4	5	4
0.434	5.342	18	18	7191	399.500	189.575	308.000	219	781	215.833	128.056	12.611	0.698	0.370	0.646	215.852	128.032	12.594	215	128	10	3	2	7
0.337	4.690	14	14	4102	293.000	87.316	275.500	200	478	275.000	143.786	12.071	0.631	0.387	0.502	275.004	143.795	11.860	274	143	10	3	3	7
0.313	4.125	13	13	4773	367.154	95.275	345.000	209	554	262.538	146.000	13.231	0.658	0.368	0.699	262.525	146.000	13.506	262	146	10	2	1	7
0.699	10.650	29	29	7517	259.207	58.515	241.000	207	421	280.690	148.655	13.517	0.693	0.302	0.672	280.688	148.611	13.588	278	148	10	6	3	7
5.833	61.591	242	234	75972	313.934	121.861	276.000	201	1033	306.149	169.669	13.062	1.400	0.679	1.282	306.341	169.846	13.193	296	162	10	21	12	7
1.133	13.982	47	47	15448	328.681	120.772	274.000	203	581	297.660	170.426	14.021	0.771	0.327	0.771	297.500	170.345	14.030	294	168	10	7	5	7
0.458	5.783	19	19	4760	250.526	49.053	238.000	201	372	300.421	174.684	12.789	0.697	0.369	0.717	300.442	174.669	12.707	300	174	10	2	2	7
0.386	4.954	16	16	11721	732.562	423.037	648.000	254	1595	303.438	176.875	13.250	0.708	0.385	0.695	303.357	176.956	13.831	303	176	10	2	2	7
0.506	6.682	21	21	8411	400.524	193.773	322.000	200	800	246.571	252.095	11.905	0.622	0.293	0.570	246.467	252.199	11.592	246	251	10	3	3	6
0.313	4.125	13	13	5892	453.231	194.162	404.000	200	722	231.538	264.000	13.231	0.658	0.368	0.699	231.687	264.000	13.499	231	264	10	2	1	7
0.289	4.232	12	12	3314	276.167	92.993	237.000	200	516	280.417	270.417	11.667	0.482	0.180	0.545	280.484	270.346	11.413	279	270	10	3	2	4
0.940	12.024	39	39	10949	280.744	79.164	259.000	202	552	285.051	271.103	12.769	0.822	0.327	0.858	284.960	271.096	12.660	282	270	10	6	3	7
0.241	3.968	10	10	2947	294.700	95.195	268.500	201	485	334.500	279.100	12.200	0.463	0.224	0.445	334.607	279.299	12.003	333	278	10	3	3	5
1.542	16.026	64	64	23781	371.578	105.957	377.500	200	632	351.203	281.328	13.172	0.852	0.311	0.845	351.273	281.347	13.207	350	279	10	3	6	7
0.337	5.395	14	14	5695	406.786	152.624	360.500	226	637	243.929	343.643	13.714	0.649	0.318	0.632	243.670	343.742	13.759	243	342	11	3	3	6
0.434	6.401	18	18	4301	238.944	34.599	225.500	203	327	259.500	346.444	13.722	0.565	0.285	0.506	259.489	346.447	13.735	258	345	11	4	4	6
0.265	3.667	11	11	6578	598.000	328.407	393.000	255	1133	315.364	349.909	13.364	0.603	0.341	0.555	315.206	349.961	13.011	315	349	11	2	2	6
0.530	6.525	22	22	5901	268.227	87.275	229.500	202	580	300.773	356.636	12.045	0.469	0.166	0.483	300.674	356.734	11.925	299	355	11	4	4	4
0.362	5.502	15	15	3889	259.267	65.465	235.000	207	434	279.867	148.333	19.200	0.591	0.339	0.522	279.871	148.284	19.162	278	148	18	5	2	6
9.448	89.450	392	361	131384	335.163	137.857	293.000	200	1064	303.640	170.898	21.957	1.580	0.591	1.616	303.835	170.845	21.668	294	168	18	20	8	12
0.627	7.511	26	26	15085	580.192	481.651	330.000	208	1961	303.385	177.154	21.192	0.712	0.339	0.732	303.310	177.086	20.355	302	176	18	4	3	7
0.434	5.783	18	18	7779	432.167	205.964	399.500	204	838	310.889	180.222	21.556	0.932	0.529	0.964	310.946	180.169	21.688	310	179	18	2	3	9
0.313	4.249	13	13	8198	630.615	367.651	480.000	225	1195	252.462	267.000	20.846	0.687	0.401	0.729	252.241	267.000	20.472	252	267	18	2	1	7
0.337	4.954	14	14	9803	700.214	447.339	676.500	208	1299	238.929	271.000	21.500	0.931	0.456	0.989	238.980	271.000	21.343	238	271	18	3	1	9
0.458	6.064	19	19	8471	445.842	136.765	395.000	287	730	249.000	274.579	22.368	0.987	0.601	0.935	249.000	274.649	22.440	249	274	18	1	2	11
0.699	8.815	29	29	9907	341.621	136.033	293.000	204	661	191.103	314.966	24.586	1.022	0.630	0.972	191.107	314.973	24.575	190	314	18	3	3	12
