Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3.904	23.575	162	124	49281	304.204	100.665	266.500	200	628	462.475	16.377	3.080	0.998	0.335	0.959	462.248	16.411	2.934	459	13	1	10	9	8
4.194	27.010	174	137	44483	255.649	44.336	249.500	200	387	454.483	20.586	7.379	1.325	0.664	1.198	454.514	20.527	7.320	452	19	1	7	6	15
1.205	10.296	50	45	13671	273.420	56.163	257.000	202	412	452.200	27.840	4.340	0.838	0.434	0.710	452.212	27.826	4.265	451	27	1	3	3	9
26.078	115.530	1082	655	322843	298.376	81.506	276.000	200	593	410.336	63.960	13.009	2.585	1.119	2.445	410.412	63.952	13.055	404	57	1	16	13	27
23.041	111.899	956	614	275564	288.247	77.443	266.000	200	573	397.353	72.829	16.996	3.070	1.533	2.960	397.326	72.999	17.595	391	68	1	13	11	30
5.591	34.415	232	195	62450	269.181	59.356	255.000	200	477	386.681	80.358	7.177	1.480	0.756	1.348	386.686	80.105	6.861	385	77	1	4	8	16
1.060	8.427	44	44	11677	265.386	35.747	258.500	200	330	366.045	91.455	4.182	0.775	0.385	0.762	366.005	91.448	4.030	365	91	1	4	2	8
7.423	44.144	308	217	102413	332.510	141.307	278.000	200	883	334.071	115.604	18.179	2.395	1.589	1.973	334.052	115.564	18.934	332	114	1	5	5	30
0.289	3.861	12	12	2741	228.417	19.355	224.500	201	257	336.083	126.417	3.333	0.549	0.299	0.535	336.073	126.397	3.311	336	126	1	2	2	6
80.040	206.176	3321	1336	1680335	505.973	343.045	370.000	200	1959	316.071	139.277	17.610	3.336	1.373	3.136	315.817	139.917	19.086	308	127	1	17	21	30
0.362	4.038	15	15	3926	261.733	55.808	251.000	204	393	348.733	173.200	1.933	0.389	0.168	0.420	348.730	173.201	1.836	348	172	1	3	3	4
1.591	12.429	66	59	16518	250.273	41.756	239.500	200	355	363.227	182.970	6.288	0.972	0.526	0.930	363.251	182.982	6.200	362	182	1	3	3	12
45.166	137.964	1874	857	603714	322.153	123.139	293.000	200	1397	270.215	226.752	14.118	3.452	1.634	3.464	269.999	226.579	14.940	264	220	1	13	20	30
0.482	4.690	20	20	4897	244.850	26.609	249.000	201	285	294.600	305.500	2.800	0.526	0.246	0.501	294.599	305.514	2.704	294	305	1	3	2	5
0.458	5.342	19	19	4773	251.211	35.854	249.000	200	313	338.632	327.684	3.579	0.620	0.345	0.587	338.642	327.730	3.532	338	327	1	2	2	7
0.964	9.344	40	40	9166	229.150	21.046	224.500	201	274	382.325	351.450	5.950	0.996	0.589	0.826	382.318	351.456	5.990	381	351	1	3	2	12
0.964	8.604	40	39	9694	242.350	33.283	230.000	200	302	391.700	356.650	2.900	0.661	0.279	0.623	391.637	356.631	2.868	390	356	1	6	3	6
0.265	3.262	11	11	2541	231.000	27.207	224.000	201	288	378.909	368.000	1.545	0.326	0.100	0.324	378.893	368.003	1.514	378	367	1	3	3	3
0.988	8.393	41	37	9902	241.512	33.267	233.000	204	348	389.927	368.561	2.415	0.610	0.248	0.622	389.930	368.545	2.360	389	367	1	3	5	6
42.563	162.908	1766	977	531687	301.069	115.131	259.000	200	950	413.775	375.841	16.068	3.357	1.510	3.232	413.612	375.970	16.882	405	371	1	22	12	30
2.796	18.830	116	97	29026	250.224	36.476	247.000	200	356	430.172	383.500	5.345	1.376	0.773	1.372	430.174	383.482	5.294	428	382	1	5	4	14
0.265	3.279	11	11	2460	223.636	20.747	215.000	200	261	441.727	383.364	2.364	0.412	0.184	0.320	441.738	383.339	2.340	441	383	1	2	2	4
21.330	112.454	885	645	217498	245.760	43.547	230.000	200	466	470.537	383.332	11.056	2.679	1.563	2.249	470.499	383.320	11.036	460	378	1	21	17	30
0.675	6.294	28	27	7136	254.857	43.915	245.500	201	348	374.964	388.357	2.714	0.559	0.265	0.526	374.961	388.372	2.622	374	387	1	3	3	6
2.844	19.164	118	98	30932	262.136	45.253	254.000	201	410	458.559	392.169	6.390	1.307	0.666	1.336	458.579	392.142	6.230	457	390	1	5	5	14
2.844	16.292	118	92	47932	406.203	203.416	340.000	200	1116	380.186	393.890	3.797	0.953	0.392	0.910	380.184	393.847	3.395	378	392	1	5	5	9
2.531	15.286	105	83	29385	279.857	62.621	268.000	200	429	443.276	394.286	4.133	0.934	0.405	0.893	443.276	394.260	4.011	441	392	1	5	5	9
0.506	5.589	21	21	4447	211.762	8.677	212.000	200	228	422.381	393.095	4.143	0.601	0.334	0.472	422.377	393.105	4.119	422	392	1	2	3	7
3.326	22.250	138	111	33489	242.674	39.009	229.000	201	368	447.478	396.978	6.667	1.137	0.546	1.015	447.479	397.010	6.783	446	394	1	4	7	13
2.193	14.739	91	72	24061	264.407	44.091	255.000	200	385	419.857	397.121	5.099	0.989	0.460	0.884	419.884	397.092	5.035	418	396	1	4	4	10
0.289	3.931	12	12	2745	228.750	17.168	228.000	204	257	388.583	397.000	4.000	0.616	0.357	0.601	388.597	397.000	4.029	388	397	1	2	1	7
0.964	8.233	40	37	9395	234.875	25.560	228.000	200	286	437.925	398.375	4.300	0.723	0.369	0.681	437.917	398.391	4.310	437	397	1	3	3	8
6.459	31.014	268	184	75611	282.131	68.375	267.500	201	500	429.642	401.713	5.403	1.332	0.536	1.364	429.544	401.668	5.463	425	400	1	11	5	12
0.410	4.215	17	17	3702	217.765	14.333	214.000	203	250	423.353	408.588	1.588	0.403	0.143	0.418	423.349	408.629	1.575	423	406	1	2	5	3
1.856	13.910	77	68	20707	268.922	60.533	250.000	201	449	387.052	355.104	7.857	1.003	0.562	0.872	387.041	355.107	7.936	386	354	2	3	3	13
0.723	6.823	30	30	7097	236.567	21.020	241.500	200	265	422.567	60.533	6.400	0.740	0.396	0.649	422.555	60.524	6.391	422	60	3	3	2	8
7.785	36.955	323	203	91391	282.944	77.402	262.000	200	595	332.876	254.635	10.678	1.423	0.600	1.328	332.981	254.497	10.663	329	251	3	8	8	16
1.277	11.724	53	53	13366	252.189	39.525	240.000	204	336	471.377	0.321	8.717	1.001	0.637	0.899	471.392	0.296	8.645	470	0	4	4	2	13
2.820	18.142	117	88	30498	260.667	49.635	248.000	200	383	468.402	6.744	9.077	1.131	0.540	1.096	468.424	6.724	9.107	467	5	4	4	5	12
0.530	5.342	22	22	4843	220.136	11.158	220.000	205	245	449.455	24.545	6.545	0.605	0.328	0.596	449.446	24.554	6.545	449	24	4	2	2	7
1.133	10.032	47	40	11374	242.000	34.986	240.000	200	333	441.362	39.809	7.298	0.709	0.325	0.690	441.333	39.821	7.319	440	38	4	4	4	8
3.929	24.206	163	127	45338	278.147	66.475	259.000	200	456	430.712	50.485	11.129	1.388	0.698	1.279	430.699	50.489	11.219	429	49	4	5	4	15
0.337	4.760	14	14	2966	211.857	11.687	207.000	200	231	356.714	372.643	8.000	0.664	0.432	0.613	356.728	372.657	8.043	356	372	5	2	2	8
1.422	11.195	59	48	14402	244.102	34.500	232.000	200	325	452.525	398.085	8.898	0.812	0.383	0.798	452.511	398.091	8.880	451	397	5	4	3	9
0.892	8.885	37	33	8661	234.081	28.678	228.000	202	303	422.189	405.811	8.784	0.760	0.399	0.726	422.189	405.800	8.833	421	405	5	3	3	9
0.988	8.233	41	40	10079	245.829	30.885	240.000	205	308	429.805	388.512	10.390	0.769	0.396	0.656	429.782	388.511	10.346	429	388	7	3	3	8
1.277	11.918	53	48	12366	233.321	27.798	229.000	201	304	327.038	116.245	13.415	1.007	0.603	0.976	327.040	116.238	13.427	326	115	8	3	3	13
0.723	7.140	30	30	6911	230.367	25.834	223.000	202	279	350.033	187.600	10.933	0.647	0.371	0.495	350.030	187.606	10.924	349	187	8	3	2	8
0.723	7.722	30	30	6570	219.000	16.543	212.500	200	252	336.200	270.433	11.333	0.687	0.377	0.603	336.187	270.442	11.349	336	269	8	2	4	8
10.388	49.401	431	270	124272	288.334	72.932	271.000	200	522	342.111	370.854	17.810	1.740	0.778	1.590	341.981	370.880	17.641	338	368	8	11	7	19
0.434	5.342	18	18	4019	223.278	16.276	223.500	200	245	326.778	255.833	11.944	0.605	0.349	0.468	326.754	255.845	11.969	326	255	9	3	2	7
7.978	42.558	331	254	85213	257.441	51.039	244.000	200	442	335.906	261.444	19.215	1.939	1.021	1.825	335.850	261.408	19.513	334	258	9	5	8	22
0.458	4.372	19	19	4339	228.368	17.372	232.000	200	260	353.526	323.474	11.105	0.511	0.244	0.466	353.535	323.481	11.112	353	323	9	2	2	5
1.639	12.553	68	60	17013	250.191	44.039	243.500	200	374	461.971	395.015	14.382	0.901	0.500	0.722	461.971	395.021	14.416	461	394	9	3	3	12
0.265	3.861	11	11	2290	208.182	6.809	205.000	201	221	430.000	94.091	12.818	0.614	0.373	0.535	430.000	94.109	12.796	430	93	10	1	3	7
0.819	8.692	34	30	8225	241.912	36.349	235.000	201	340	422.971	120.882	13.735	0.738	0.388	0.715	422.972	120.896	13.698	422	120	10	3	3	9
0.627	6.365	26	25	5872	225.846	18.471	220.500	202	259	355.231	188.615	13.385	0.599	0.303	0.581	355.232	188.599	13.379	354	188	10	3	3	7
