Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.241	2.593	10	10	2589	258.900	38.495	255.500	212	325	69.800	5.000	1.000	0.291	0.113	0.308	69.771	5.016	1.000	68	4	1	4	3	1
1.301	9.777	54	54	17319	320.722	83.622	308.000	205	493	81.574	22.167	1.000	0.689	0.247	0.715	81.721	22.185	1.000	78	19	1	8	8	1
0.603	5.611	25	25	6097	243.880	37.285	243.000	200	310	84.560	46.080	1.000	0.488	0.201	0.490	84.654	45.990	1.000	82	44	1	6	7	1
0.651	5.858	27	27	8429	312.185	100.987	282.000	203	547	77.889	49.667	1.000	0.490	0.181	0.498	77.766	49.590	1.000	75	47	1	7	6	1
1.735	13.746	72	72	23761	330.014	89.799	315.500	202	514	92.167	66.556	1.000	0.983	0.454	0.991	92.270	66.522	1.000	86	61	1	13	11	1
4.483	33.847	186	186	87347	469.608	328.595	341.500	200	1960	95.500	84.478	1.000	1.861	0.707	1.899	97.116	84.912	1.000	84	75	1	21	21	1
0.241	2.593	10	10	2839	283.900	55.135	281.500	210	391	102.200	100.000	1.000	0.291	0.113	0.308	102.183	100.037	1.000	101	99	1	4	3	1
0.699	5.468	29	29	7858	270.966	47.511	268.000	204	371	113.034	118.690	1.483	0.427	0.128	0.446	113.032	118.739	1.482	112	116	1	4	6	2
2.097	11.573	87	87	42981	494.034	320.696	376.000	200	1464	119.667	121.241	1.517	0.669	0.225	0.687	119.722	121.065	1.512	117	117	1	7	9	2
3.519	20.623	146	146	36559	250.404	34.799	244.000	203	356	118.370	134.288	1.541	0.985	0.404	0.952	118.380	134.204	1.544	113	127	1	11	15	2
1.277	8.943	53	53	14247	268.811	59.106	253.000	200	417	136.132	132.340	1.547	0.618	0.232	0.646	136.116	132.169	1.562	134	129	1	5	8	2
1815.405	4386.073	75324	39083	32938588	437.292	291.187	344.000	200	3350	415.831	211.596	14.528	17.580	8.460	16.389	423.595	209.683	14.706	241	137	1	271	120	29
0.265	2.928	11	11	2418	219.818	15.549	215.000	201	256	125.818	140.182	1.727	0.297	0.075	0.316	125.819	140.181	1.730	125	139	1	3	3	2
1.856	10.497	77	77	21615	280.714	50.519	276.000	201	397	128.416	146.597	1.532	0.638	0.213	0.649	128.389	146.637	1.558	126	143	1	6	8	2
0.844	7.283	35	35	11130	318.000	119.169	273.000	200	666	510.286	180.314	2.371	0.552	0.202	0.569	510.395	180.396	2.156	509	179	1	3	4	5
1.157	7.356	48	48	14184	295.500	70.396	281.500	200	465	134.250	195.958	1.521	0.513	0.154	0.538	134.265	195.940	1.574	132	194	1	6	5	2
1.301	8.980	54	54	13569	251.278	47.071	237.000	200	379	223.981	197.667	1.648	0.564	0.203	0.547	224.056	197.576	1.661	221	195	1	7	7	2
1.783	11.890	74	74	19776	267.243	61.677	251.000	200	435	222.108	209.770	1.595	0.693	0.292	0.645	222.070	209.943	1.606	220	204	1	6	11	2
