Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3.085	17.473	128	97	36865	288.008	84.035	256.000	200	546	194.273	1.375	4.898	1.006	0.436	0.906	194.354	1.241	5.076	192	0	1	5	5	10
0.530	5.007	22	22	5126	233.000	23.168	227.500	202	277	201.500	1.091	2.864	0.468	0.208	0.450	201.498	1.108	2.848	201	0	1	2	3	5
2.964	17.085	123	87	41940	340.976	128.861	307.000	200	689	204.106	8.203	4.000	0.984	0.385	0.932	204.017	8.180	3.733	202	6	1	5	5	9
2.434	15.216	101	75	41557	411.455	171.417	368.000	200	892	228.287	8.089	4.109	0.916	0.363	0.869	228.288	8.084	3.947	226	6	1	5	5	9
6.459	35.919	268	206	70129	261.675	46.929	251.000	200	422	203.985	24.060	7.959	1.304	0.497	1.285	203.909	24.158	7.975	201	19	1	10	10	11
32.850	92.900	1363	602	489666	359.256	178.301	304.000	200	1425	247.029	34.373	6.813	2.020	0.497	1.979	246.799	34.540	7.302	239	22	1	16	22	11
202.836	611.312	8416	4308	2245420	266.804	81.578	244.000	200	1355	211.119	71.306	8.185	4.741	1.861	4.706	211.450	72.011	8.227	178	39	1	62	65	11
0.337	3.403	14	14	3427	244.786	22.720	248.500	204	285	231.429	75.500	2.286	0.404	0.176	0.336	231.423	75.486	2.207	231	75	1	2	2	4
2.073	16.045	86	76	21283	247.477	40.750	239.500	200	385	250.419	158.802	6.593	1.113	0.537	1.055	250.435	158.858	6.528	248	156	1	5	6	11
56.783	186.363	2356	1217	611945	259.739	69.615	240.000	200	914	256.015	174.545	8.016	2.983	1.380	2.635	256.386	174.516	8.140	228	166	1	44	27	11
1.012	6.966	42	36	17979	428.071	198.072	371.000	203	917	338.500	185.286	2.095	0.527	0.117	0.505	338.502	185.301	1.914	337	184	1	4	4	4
0.916	6.542	38	35	12219	321.553	93.743	309.000	200	605	257.000	207.947	2.658	0.548	0.196	0.580	257.004	207.943	2.405	256	207	1	3	3	5
0.241	2.627	10	10	2399	239.900	28.018	230.500	205	286	438.600	221.500	1.800	0.320	0.121	0.350	438.637	221.491	1.764	438	221	1	2	2	3
0.289	3.386	12	12	2864	238.667	38.857	226.500	204	330	464.250	231.000	1.500	0.327	0.100	0.322	464.255	230.999	1.468	463	230	1	3	3	3
0.337	4.108	14	14	3098	221.286	18.045	220.500	200	253	476.214	235.357	3.429	0.446	0.222	0.346	476.210	235.353	3.433	475	235	1	3	2	5
1.542	11.901	64	55	15436	241.188	33.439	230.000	200	345	494.875	235.250	5.766	0.898	0.466	0.766	494.863	235.235	5.825	493	234	1	4	4	10
4.290	26.554	178	136	42525	238.904	40.620	224.000	200	399	500.764	238.225	4.556	1.128	0.489	1.074	500.723	238.047	4.615	498	234	1	6	10	11
6.797	29.606	282	169	124052	439.901	266.747	326.000	200	1412	261.812	241.039	6.918	1.260	0.465	1.164	261.674	241.063	7.549	259	236	1	8	9	11
317.486	884.878	13173	6004	3672655	278.802	73.610	258.000	200	950	422.756	270.487	7.275	6.164	2.521	6.025	422.969	269.848	7.267	387	239	1	68	82	11
7.038	32.725	292	185	109344	374.466	196.321	301.500	200	1216	299.113	244.596	6.216	1.281	0.464	1.210	299.258	244.145	6.059	297	241	1	6	10	11
5.447	31.208	226	157	63756	282.106	85.135	254.000	200	605	487.925	250.429	6.111	1.214	0.478	1.163	487.883	250.590	6.261	486	244	1	6	11	11
1.880	12.977	78	63	23072	295.795	94.497	257.000	200	542	459.705	250.795	3.769	0.880	0.411	0.825	459.736	250.765	3.473	458	249	1	4	4	9
80.787	190.685	3352	1437	1023538	305.351	102.176	279.000	200	968	322.497	261.753	8.001	2.738	0.879	2.672	322.267	261.829	8.201	306	249	1	32	27	11
2.121	16.326	88	76	21794	247.659	43.757	235.500	200	383	355.761	290.966	5.591	0.999	0.494	0.998	355.725	291.002	5.444	354	289	1	6	4	11
97.152	260.337	4031	1790	1057301	262.292	56.108	248.000	200	933	374.760	305.872	7.656	2.903	0.854	3.024	374.537	305.925	7.850	358	289	1	33	35	11
2.169	13.347	90	67	28165	312.944	92.695	287.500	200	537	249.444	47.411	5.600	0.798	0.301	0.729	249.469	47.445	5.669	248	45	2	4	5	8
2.531	17.914	105	92	32496	309.486	110.849	261.000	200	655	191.219	27.210	6.990	0.979	0.373	0.951	191.243	26.860	7.287	190	25	3	4	8	9
1.422	11.850	59	53	12993	220.220	14.582	219.000	200	250	125.593	59.898	7.237	0.865	0.449	0.803	125.591	59.918	7.203	124	56	3	4	8	9
4.073	27.138	169	129	38603	228.420	25.625	220.000	200	311	478.976	224.627	6.941	1.105	0.433	1.061	479.034	224.702	6.942	473	219	3	11	11	8
3.398	22.288	141	108	32899	233.326	28.254	226.000	200	324	470.652	229.489	5.390	0.966	0.362	1.000	470.689	229.416	5.408	468	225	3	7	12	6
0.699	6.612	29	24	6596	227.448	25.059	220.000	200	290	499.414	249.966	5.138	0.533	0.214	0.501	499.404	249.969	5.158	498	249	3	4	3	6
35.357	121.916	1467	923	381242	259.879	48.886	249.000	200	497	391.155	278.334	9.517	2.242	0.754	2.280	390.903	278.286	9.615	379	268	3	29	26	9
0.289	3.403	12	12	2544	212.000	6.296	212.500	203	221	399.417	291.500	4.833	0.400	0.219	0.370	399.416	291.502	4.829	399	291	3	2	2	5
2.482	15.323	103	74	30033	291.583	81.317	270.000	200	517	178.845	5.068	7.583	0.852	0.294	0.783	178.764	5.009	7.722	177	3	4	5	6	8
3.495	19.150	145	105	48829	336.752	120.824	306.000	200	702	212.303	9.538	8.166	0.975	0.344	0.940	212.364	9.535	8.291	211	6	4	4	9	8
9.399	50.242	390	332	90178	231.226	25.106	225.500	200	320	181.759	35.092	9.974	1.429	0.552	1.400	181.825	35.080	9.983	173	24	4	16	20	8
1.253	8.675	52	47	17106	328.962	99.371	310.000	201	612	423.019	238.923	7.077	0.689	0.301	0.559	423.018	238.884	7.113	422	238	4	3	3	7
14.316	70.584	594	422	154906	260.785	71.464	229.000	200	514	356.667	274.606	9.254	1.808	0.669	1.861	356.586	274.424	9.134	342	266	4	26	20	8
0.819	7.000	34	31	8729	256.735	47.010	242.000	200	349	358.706	332.147	6.412	0.595	0.257	0.616	358.682	332.189	6.407	358	331	4	3	3	6
41.671	194.365	1729	1230	410630	237.496	41.713	227.000	200	494	470.179	268.689	9.366	3.320	0.789	3.316	470.317	269.043	9.414	455	253	5	34	36	7
4.820	23.789	200	139	57423	287.115	85.084	263.500	200	628	373.435	258.890	8.885	1.019	0.287	0.990	373.556	258.787	8.958	367	257	5	12	6	7
0.458	5.007	19	18	4305	226.579	24.568	216.000	200	275	373.263	276.842	6.947	0.471	0.198	0.440	373.273	276.856	6.940	372	276	5	3	3	5
0.482	4.884	20	20	4813	240.650	28.193	231.000	200	298	455.550	278.600	7.350	0.516	0.257	0.550	455.550	278.619	7.302	455	278	5	2	3	6
0.627	5.907	26	25	6339	243.808	40.430	232.000	200	330	351.577	294.000	7.154	0.519	0.245	0.472	351.561	294.003	7.161	351	293	5	3	3	6
3.808	22.555	158	120	33281	210.639	8.595	208.500	200	235	502.525	297.513	8.557	0.912	0.252	0.916	502.539	297.528	8.570	499	293	5	8	9	7
0.578	5.007	24	24	6456	269.000	50.800	261.500	201	367	148.250	71.500	7.917	0.511	0.232	0.462	148.251	71.509	7.865	147	71	6	3	2	5
3.205	20.543	133	104	35422	266.331	66.617	248.000	200	472	224.218	156.541	9.120	0.930	0.306	0.926	224.181	156.414	9.196	219	153	6	10	9	6
12.822	55.080	532	345	130952	246.150	42.700	233.000	200	405	261.912	196.030	9.344	1.604	0.606	1.623	261.671	195.772	9.409	255	189	6	18	20	6
0.434	4.355	18	17	3988	221.556	19.196	214.000	200	260	369.000	263.333	7.333	0.416	0.159	0.369	369.000	263.347	7.309	368	262	6	3	3	4
0.530	5.325	22	21	5125	232.955	27.934	226.000	202	297	502.227	265.364	8.045	0.495	0.213	0.441	502.233	265.349	8.026	501	264	6	3	3	5
2.916	17.087	121	96	34141	282.157	73.243	257.000	201	518	447.025	269.264	9.099	0.853	0.271	0.857	446.872	269.212	9.098	444	267	6	8	6	6
0.844	6.983	35	31	8575	245.000	41.440	226.000	200	346	169.343	62.286	9.629	0.534	0.179	0.546	169.347	62.256	9.713	168	61	7	4	4	5
3.687	20.739	153	114	43899	286.922	112.154	240.000	200	768	249.523	123.072	9.634	0.956	0.346	0.896	249.306	122.676	9.764	246	119	7	10	11	5
1.687	12.821	70	60	19346	276.371	76.401	245.500	200	534	286.886	235.329	10.000	0.747	0.348	0.647	286.834	235.467	10.072	285	230	7	7	9	5
0.241	3.015	10	10	2077	207.700	5.376	209.000	200	215	381.600	263.600	8.300	0.357	0.167	0.317	381.604	263.598	8.304	381	263	7	2	2	4
0.819	6.929	34	30	8340	245.294	36.325	238.500	200	314	492.500	286.912	9.147	0.577	0.220	0.527	492.500	286.874	9.179	491	286	7	4	3	5
0.289	2.821	12	12	2784	232.000	17.321	239.500	205	247	198.500	29.500	9.000	0.344	0.124	0.428	198.501	29.500	8.955	198	29	8	2	2	3
0.265	3.527	11	10	2325	211.364	14.827	203.000	200	242	192.000	44.091	9.545	0.357	0.125	0.317	191.994	44.086	9.554	191	43	8	3	3	4
1.133	8.112	47	40	13479	286.787	82.317	249.000	200	516	233.255	122.064	9.979	0.551	0.133	0.514	233.283	122.026	10.082	231	120	8	5	5	4
0.386	4.162	16	15	3720	232.500	33.104	221.500	200	307	411.688	241.000	9.750	0.388	0.128	0.341	411.688	240.977	9.782	411	240	8	3	3	4
0.458	4.620	19	17	5025	264.474	45.967	270.000	203	337	478.211	250.211	9.737	0.437	0.146	0.419	478.258	250.249	9.810	477	249	8	3	3	4
