Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.627	5.395	26	26	6821	262.346	40.668	254.000	204	336	127.923	16.538	2.731	0.517	0.226	0.511	127.919	16.541	2.632	127	16	1	3	2	5
0.892	6.120	37	33	13916	376.108	149.608	327.000	207	755	412.378	19.297	1.811	0.481	0.084	0.479	412.388	19.249	1.668	411	18	1	4	4	3
4715.172	7706.718	195640	50115	86380656	441.529	338.158	329.000	200	3967	168.259	176.011	20.113	22.561	12.095	19.938	171.041	174.958	20.639	69	0	1	198	319	35
0.362	3.774	15	14	4173	278.200	57.114	270.000	210	408	18.867	49.800	1.667	0.364	0.095	0.335	18.848	49.770	1.621	18	49	1	3	3	3
0.434	4.372	18	18	4129	229.389	20.197	228.500	200	272	29.444	114.556	3.167	0.512	0.251	0.485	29.424	114.576	3.164	29	114	1	2	2	5
0.362	3.439	15	15	4271	284.733	72.079	286.000	205	454	477.067	117.067	1.400	0.325	0.068	0.330	477.126	117.062	1.355	476	116	1	3	3	2
1.205	9.062	50	45	13269	265.380	52.516	258.500	201	416	140.920	201.100	4.440	0.693	0.324	0.650	140.905	201.106	4.399	140	200	1	3	3	8
1.012	9.327	42	38	11387	271.119	48.811	265.000	200	380	187.071	206.952	5.857	0.806	0.446	0.766	187.107	206.908	5.939	186	206	1	3	3	10
0.675	6.030	28	26	6480	231.429	28.169	224.500	200	302	165.536	220.964	2.393	0.512	0.184	0.557	165.530	220.981	2.325	164	220	1	4	3	5
3438.022	5597.143	142649	37398	70003752	490.741	359.256	366.000	200	3381	394.120	279.345	19.440	15.724	7.733	15.133	388.843	278.595	19.597	279	219	1	233	109	35
3.109	16.132	129	102	54488	422.388	190.943	378.000	210	973	88.442	230.605	4.814	1.012	0.449	0.934	88.418	230.560	4.643	87	229	1	4	4	10
0.482	4.392	20	20	5537	276.850	61.311	268.000	206	414	360.500	247.700	1.400	0.363	0.087	0.395	360.482	247.704	1.359	359	246	1	4	4	2
13.232	57.519	549	329	150138	273.475	64.495	255.000	200	547	199.760	258.257	5.381	1.670	0.590	1.685	199.663	258.156	5.403	193	253	1	15	14	14
2.940	19.469	122	99	36947	302.844	100.557	262.000	200	626	357.074	255.738	2.475	0.938	0.359	0.847	356.926	255.740	2.527	352	253	1	13	6	6
0.289	3.122	12	12	2659	221.583	21.296	216.500	200	267	364.167	259.083	1.333	0.307	0.070	0.326	364.166	259.097	1.325	363	258	1	3	3	2
0.386	3.897	16	16	4601	287.562	61.738	274.000	202	408	371.000	259.500	1.625	0.354	0.105	0.342	370.976	259.494	1.585	370	258	1	3	4	3
4.820	25.715	200	156	54866	274.330	57.570	266.000	200	472	275.135	271.415	2.105	0.939	0.285	0.959	275.066	271.326	2.011	270	267	1	11	10	5
1.301	9.891	54	45	15028	278.296	64.145	257.000	201	423	419.407	299.241	3.500	0.723	0.296	0.684	419.387	299.261	3.464	418	298	1	4	4	7
469.661	1197.848	19487	7525	8732941	448.142	276.618	355.000	200	2584	469.966	360.850	24.340	7.793	3.395	7.743	472.111	360.839	25.055	411	345	1	101	33	35
0.603	6.101	25	23	6291	251.640	42.703	241.000	202	355	407.200	364.920	2.920	0.555	0.223	0.482	407.194	364.935	2.894	406	364	1	3	3	5
13.473	52.471	559	297	207884	371.885	157.649	329.000	200	1166	28.875	123.496	11.088	1.802	0.827	1.614	28.852	123.517	11.514	26	119	2	7	11	19
0.289	3.791	12	12	2659	221.583	18.812	214.500	200	254	169.500	221.917	4.250	0.435	0.227	0.355	169.511	221.926	4.258	169	221	2	2	3	5
0.313	3.403	13	13	3026	232.769	22.249	228.000	209	272	356.538	331.615	3.615	0.394	0.174	0.307	356.551	331.636	3.605	356	331	2	2	2	4
1.229	9.186	51	44	15835	310.490	92.546	292.000	200	567	109.255	130.980	5.451	0.688	0.293	0.651	109.270	130.970	5.399	108	130	3	4	3	7
0.868	6.929	36	32	9094	252.611	43.837	241.500	200	375	380.028	288.139	5.306	0.550	0.216	0.559	380.035	288.147	5.308	379	287	3	3	3	6
0.337	4.566	14	14	3026	216.143	11.864	211.500	201	236	326.643	308.143	6.143	0.613	0.355	0.616	326.657	308.158	6.104	326	307	3	2	3	7
102.696	312.961	4261	1866	1769055	415.174	268.442	326.000	200	2480	386.637	371.332	22.794	3.746	1.642	3.614	387.967	370.887	23.271	368	363	3	39	17	33
700.311	2128.807	29057	12663	11994507	412.792	237.510	331.000	200	2240	55.829	191.968	23.925	11.710	6.355	10.792	55.844	192.726	24.400	7	110	4	107	178	32
0.362	3.914	15	15	3215	214.333	14.908	209.000	200	250	465.133	254.667	5.800	0.387	0.153	0.388	465.127	254.681	5.800	464	254	4	3	2	4
3.422	17.931	142	99	50226	353.704	130.835	316.500	200	752	487.986	284.486	8.521	1.003	0.409	1.037	487.988	284.451	8.580	486	283	4	5	4	10
13.424	53.300	557	301	204296	366.779	160.338	320.000	200	956	342.855	370.285	11.815	1.673	0.632	1.562	342.531	370.183	12.007	338	366	4	12	10	17
0.289	3.403	12	12	2622	218.500	12.251	216.500	202	236	377.333	372.500	6.167	0.399	0.216	0.372	377.315	372.500	6.175	377	372	4	2	2	5
2.820	19.552	117	90	33201	283.769	74.595	258.000	200	495	414.308	380.470	9.632	1.222	0.649	1.106	414.337	380.519	9.499	412	379	4	6	4	14
80.643	246.423	3346	1497	1574473	470.554	337.006	356.500	200	2757	9.212	103.559	23.748	3.611	1.598	3.595	8.548	104.113	25.066	0	91	5	21	26	31
4.893	23.646	203	124	48333	238.094	28.991	231.000	200	319	127.049	213.158	9.059	1.027	0.297	0.978	127.085	213.146	9.011	122	211	5	9	6	9
0.844	7.388	35	32	9157	261.629	49.927	255.000	201	366	455.257	251.829	7.886	0.616	0.292	0.512	455.285	251.790	7.892	454	251	5	3	3	7
