Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
30.344	128.086	1259	784	429951	341.502	158.341	287.000	200	1094	288.531	142.735	13.569	2.518	1.051	2.381	288.051	142.528	13.783	269	138	2	33	13	17
2.025	12.853	84	63	32540	387.381	168.398	325.500	206	893	235.714	171.655	5.560	0.843	0.343	0.738	235.761	171.691	5.484	234	170	2	4	4	8
1.350	8.905	56	47	21481	383.589	159.458	333.500	200	769	113.839	238.589	3.714	0.633	0.188	0.613	113.883	238.589	3.559	112	237	2	4	4	5
0.819	7.000	34	30	9358	275.235	66.993	259.000	200	457	7.088	267.765	4.147	0.570	0.237	0.515	7.096	267.756	4.104	6	267	2	3	3	6
2.916	17.225	121	90	48704	402.512	184.543	344.000	200	968	4.521	274.273	6.975	1.013	0.445	0.907	4.524	274.225	6.782	3	272	2	4	5	11
20.269	84.847	841	470	293520	349.013	181.265	277.000	200	1292	314.963	279.209	7.751	2.048	0.811	2.060	314.120	279.932	7.242	309	267	2	15	21	16
5.447	30.997	226	153	56994	252.186	49.657	234.000	200	411	35.735	284.783	8.889	1.306	0.592	1.195	35.721	284.850	8.697	31	281	2	9	8	13
14.364	61.289	596	332	207488	348.134	171.371	283.000	200	1075	58.849	286.597	8.530	1.739	0.666	1.646	58.770	286.876	8.072	53	280	2	12	12	17
150.103	460.702	6228	2862	2375128	381.363	203.970	308.000	200	1660	299.816	307.088	10.032	4.667	1.841	4.559	301.849	306.122	9.973	266	288	2	63	38	17
19.763	97.547	820	551	234118	285.510	90.866	257.500	200	765	262.090	310.765	8.005	2.279	0.903	2.319	262.425	310.773	7.855	252	303	2	20	20	17
0.241	2.874	10	10	2149	214.900	10.898	210.500	201	233	280.600	309.800	2.600	0.323	0.115	0.288	280.615	309.779	2.598	280	309	2	2	3	3
18.703	74.338	776	413	233600	301.031	95.116	267.000	200	668	231.947	320.745	9.898	1.812	0.666	1.707	231.976	320.434	9.737	228	315	2	11	13	17
2.892	17.897	120	87	32738	272.817	61.377	253.500	200	446	267.092	323.075	5.483	0.888	0.305	0.817	267.079	323.071	5.537	264	321	2	7	5	8
1.350	9.891	56	47	19350	345.536	117.230	325.500	200	668	276.089	337.804	4.946	0.713	0.292	0.609	276.095	337.769	4.919	275	336	2	4	4	7
4.073	20.541	169	106	95820	566.982	431.233	395.000	204	1824	246.473	343.408	5.118	1.033	0.336	0.989	246.474	343.433	4.395	244	341	2	6	6	9
1.133	8.076	47	38	16010	340.638	128.246	276.000	216	616	220.574	343.532	3.553	0.606	0.173	0.611	220.603	343.539	3.419	219	342	2	4	4	5
0.916	7.635	38	33	10714	281.947	66.954	262.000	203	473	162.947	347.921	4.868	0.555	0.210	0.501	162.925	347.945	4.814	162	346	2	3	4	6
33.645	110.300	1396	634	357824	256.321	58.506	237.000	200	484	44.889	271.645	11.489	2.137	0.634	2.073	45.210	271.844	11.615	32	261	3	22	20	16
1.856	15.216	77	71	20001	259.753	48.281	250.000	201	407	241.519	327.766	7.597	0.967	0.468	0.948	241.526	327.883	7.526	240	324	3	4	8	10
0.410	4.884	17	15	4056	238.588	33.965	225.000	206	314	146.882	332.000	5.353	0.478	0.196	0.375	146.859	332.000	5.338	146	331	3	3	3	5
18.992	96.835	788	542	262907	333.638	140.841	289.000	200	1060	67.945	331.319	12.720	1.975	0.702	1.977	67.669	331.382	12.631	62	320	3	13	19	16
16.533	76.294	686	417	221212	322.466	142.786	267.000	200	948	331.208	264.748	10.494	1.792	0.681	1.714	331.271	263.931	10.315	326	259	4	10	17	15
0.844	7.000	35	32	8665	247.571	40.602	235.000	203	360	284.771	304.943	6.400	0.589	0.247	0.616	284.769	304.937	6.389	284	304	4	3	3	6
2.820	21.070	117	98	29937	255.872	54.001	237.000	200	441	208.128	322.154	10.675	1.303	0.695	1.225	208.083	322.248	10.366	206	320	4	6	6	15
6.411	31.312	266	161	124098	466.534	281.151	369.000	200	1533	112.417	325.842	10.861	1.433	0.660	1.315	112.436	325.671	10.251	110	323	4	6	7	15
