Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
77.413	302.109	3212	1725	1132508	352.587	177.984	296.000	200	1785	217.810	24.916	8.341	3.871	1.610	3.898	217.967	23.768	7.885	207	0	1	22	51	17
2.434	19.307	101	91	25367	251.158	44.416	244.000	200	395	205.119	25.554	5.000	1.003	0.377	0.950	205.038	25.566	4.961	202	23	1	9	5	9
1.639	12.572	68	61	16972	249.588	44.818	228.500	200	348	200.588	48.412	3.118	0.742	0.282	0.756	200.507	48.417	3.055	198	47	1	7	4	7
1.181	8.728	49	43	12663	258.429	41.244	250.000	202	367	205.939	52.000	2.918	0.623	0.234	0.556	205.932	52.011	2.834	204	51	1	5	3	6
139.860	473.331	5803	2817	2197897	378.752	231.226	303.000	200	2159	206.211	84.149	8.998	4.263	1.742	4.200	206.228	83.274	8.167	180	59	1	51	50	23
80.378	308.229	3335	1757	1040664	312.043	135.551	270.000	200	1264	183.076	124.351	13.028	3.474	1.442	3.460	183.051	124.444	12.627	165	110	1	32	32	30
56.421	259.632	2341	1433	726685	310.417	130.772	267.000	200	1342	166.758	147.956	15.513	3.495	1.519	3.440	166.654	148.505	15.784	154	133	1	28	31	30
8.725	46.072	362	244	110441	305.086	114.954	264.000	200	787	147.751	151.729	7.782	1.415	0.577	1.314	147.821	151.544	7.358	142	148	1	11	12	16
5.230	27.119	217	147	73006	336.433	140.410	294.000	200	904	455.673	174.839	5.369	1.085	0.351	1.083	455.347	174.926	5.301	452	171	1	9	7	10
60.301	193.984	2502	1122	881226	352.209	156.038	300.000	200	1233	133.686	177.266	10.621	2.642	0.947	2.550	133.312	177.580	10.200	120	165	1	28	22	22
1.085	7.705	45	41	13506	300.133	73.536	284.000	209	508	447.089	175.956	3.244	0.619	0.250	0.586	447.111	175.961	3.193	446	175	1	3	3	6
97.200	333.528	4033	1991	1431872	355.039	181.505	298.000	200	1910	104.667	228.096	19.249	3.713	1.336	3.751	104.533	228.693	20.103	89	208	1	32	32	30
4.025	22.322	167	117	59045	353.563	177.388	282.000	200	1024	247.982	319.856	6.707	1.036	0.413	0.973	247.821	320.134	6.400	246	316	1	6	7	11
2.531	15.357	105	77	48007	457.210	242.300	374.000	200	1228	162.181	352.410	6.200	0.932	0.392	0.848	162.164	352.366	6.161	160	351	1	5	4	10
1.783	12.007	74	60	21897	295.905	78.395	279.500	200	519	206.378	9.027	6.054	0.772	0.325	0.804	206.315	9.051	5.986	205	7	2	4	5	9
9.014	50.500	374	256	95429	255.158	44.028	247.000	200	413	232.864	28.142	7.398	1.516	0.621	1.495	232.792	28.053	7.402	229	22	2	10	14	14
1.277	9.821	53	43	13707	258.623	52.879	239.000	200	412	202.660	17.774	6.434	0.669	0.257	0.653	202.621	17.820	6.374	201	16	3	4	4	7
3.398	19.572	141	98	42095	298.546	80.265	276.000	200	489	464.085	172.766	7.809	0.981	0.392	0.901	464.107	172.753	7.720	462	170	3	5	7	11
3.712	19.341	154	103	74562	484.169	289.372	385.000	200	1405	390.695	217.318	8.416	1.044	0.430	1.012	390.633	217.321	8.235	389	215	3	5	5	11
3.350	17.984	139	98	70846	509.683	315.971	398.000	202	1482	90.367	271.683	8.007	1.010	0.419	0.905	90.416	271.665	7.947	88	270	3	5	5	10
1.759	12.201	73	57	25403	347.986	125.886	331.000	200	738	237.932	10.123	7.932	0.794	0.305	0.799	237.930	10.091	7.886	236	8	4	5	5	8
