Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
24417	6134	24417	3896	146502	6	0	6	6	6	213.670	48.412	16.333	17.775	1.781	17.485	213.670	48.412	16.333	198	32	1	33	35	36
12976	4190	12976	2579	38928	3	0	3	3	3	188.392	179.751	8.958	14.437	2.227	14.735	188.392	179.751	8.958	173	163	1	34	35	21
12105	3932	12105	2368	60525	5	0	5	5	5	242.616	190.309	12.988	13.985	1.527	14.082	242.616	190.309	12.988	231	176	1	25	29	29
14064	4286	14064	2728	28128	2	0	2	2	2	212.421	195.861	10.968	14.441	2.217	14.823	212.421	195.861	10.968	198	180	1	29	32	25
21251	5806	21251	3598	85004	4	0	4	4	4	235.473	367.679	15.141	17.009	2.092	16.800	235.473	367.679	15.141	221	350	1	31	36	33
2683	2210	2683	1094	21464	8	0	8	8	8	261.399	320.584	26.643	9.138	2.559	9.110	261.399	320.584	26.643	251	312	15	24	21	21
1128	1038	1128	531	14664	13	0	13	13	13	265.583	333.347	29.246	6.729	1.972	6.545	265.583	333.347	29.246	254	328	22	21	12	14
12628	4072	12628	2407	202048	16	0	16	16	16	228.775	53.110	37.500	14.144	1.673	14.244	228.775	53.110	37.500	213	37	23	31	32	27
2166	1470	2166	813	19494	9	0	9	9	9	260.832	170.056	30.904	8.357	2.288	8.243	260.832	170.056	30.904	252	159	24	19	24	13
1261	1040	1261	573	12610	10	0	10	10	10	273.479	183.753	30.096	6.941	1.893	6.923	273.479	183.753	30.096	268	172	24	17	20	12
1566	1154	1566	675	21924	14	0	14	14	14	277.329	165.046	34.993	7.335	1.980	7.502	277.329	165.046	34.993	270	160	25	16	11	21
1034	940	1034	527	15510	15	0	15	15	15	282.014	175.435	33.724	6.366	1.746	6.257	282.014	175.435	33.724	277	170	26	11	13	20
6658	2940	6658	1808	139818	21	0	21	21	21	226.728	457.904	44.246	12.026	2.840	12.210	226.717	457.905	44.246	214	442	36	27	34	14
1884	1398	1884	802	35796	19	0	19	19	19	259.827	167.238	42.426	8.363	2.511	8.246	259.827	167.238	42.426	252	158	37	19	23	13
1029	858	1029	476	18522	18	0	18	18	18	275.123	184.533	41.328	6.420	1.717	6.461	275.123	184.533	41.328	268	179	37	17	13	11
1603	1394	1603	759	35266	22	0	22	22	22	220.852	486.014	45.565	8.204	3.031	7.817	220.852	486.014	45.565	205	476	39	27	19	11
