Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
13019.271	12974.824	540190	124382	17560456	32.508	48.660	13	1	1185	261.997	139.991	9.469	30.267	7.192	30.077	275.341	158.868	9.746	111	0	1	328	273	17
0.844	7.040	35	35	214	6.114	6.637	4	1	26	278.000	180.829	1.000	0.553	0.200	0.576	277.930	180.939	1.000	275	178	1	7	7	1
0.410	3.846	17	17	29	1.706	0.985	1	1	4	297.588	183.882	1.000	0.385	0.139	0.414	297.483	183.931	1.000	296	182	1	4	5	1
968.438	1087.675	40182	9567	2475284	61.602	73.139	34	1	644	277.521	31.511	9.144	7.372	2.735	6.923	282.264	19.603	8.724	231	0	2	82	73	16
0.434	4.251	18	18	18	1.000	0.000	1	1	1	296.611	48.556	2.222	0.365	0.114	0.377	296.611	48.556	2.222	295	47	2	4	5	2
4.266	22.887	177	125	315	1.780	1.188	1	1	7	225.757	56.904	5.983	1.211	0.512	1.247	225.841	56.940	6.368	223	55	2	6	5	11
0.747	6.542	31	27	35	1.129	0.341	1	1	2	334.258	59.871	4.065	0.521	0.197	0.496	334.286	59.886	4.057	333	59	2	4	3	5
0.337	3.580	14	13	14	1.000	0.000	1	1	1	335.214	64.214	3.071	0.364	0.094	0.415	335.214	64.214	3.071	334	63	2	3	3	3
0.651	6.437	27	26	30	1.111	0.320	1	1	2	271.778	74.370	2.519	0.473	0.186	0.445	271.833	74.400	2.467	269	72	2	6	5	4
13.063	48.278	542	307	3347	6.175	8.273	3	1	57	291.921	79.044	8.018	1.841	0.811	1.744	291.850	79.004	6.272	288	76	2	9	7	16
4.314	29.891	179	141	285	1.592	1.135	1	1	8	275.849	82.564	7.173	1.603	0.876	1.645	275.814	82.621	6.912	273	79	2	6	7	16
0.554	7.564	23	23	23	1.000	0.000	1	1	1	272.565	89.652	5.826	0.780	0.449	0.681	272.565	89.652	5.826	272	87	2	3	6	8
14.605	54.769	606	336	1809	2.985	3.016	2	1	17	227.898	101.632	7.013	1.695	0.608	1.660	227.752	101.270	5.262	223	97	2	11	10	15
