Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
54306.746	40283.430	2253273	342219	70633008	31.347	61.473	12.000	1	3804	208.539	170.882	14.862	40.072	11.447	41.270	226.283	196.269	14.932	0	0	1	450	351	29
0.627	6.719	26	26	30	1.154	0.368	1.000	1	2	219.231	0.231	2.923	0.523	0.227	0.502	219.133	0.200	2.933	216	0	1	7	2	5
0.603	5.133	25	25	28	1.120	0.332	1.000	1	2	38.920	5.480	1.280	0.411	0.126	0.406	38.929	5.500	1.250	37	4	1	5	4	2
0.241	3.316	10	9	10	1.000	0.000	1.000	1	1	215.300	6.300	2.000	0.328	0.098	0.332	215.300	6.300	2.000	214	5	1	4	4	3
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	391.000	26.000	1.100	0.281	0.099	0.301	391.000	26.000	1.100	390	25	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	102.000	36.000	1.100	0.281	0.099	0.301	102.000	36.000	1.100	101	35	1	3	3	2
0.265	3.245	11	11	11	1.000	0.000	1.000	1	1	53.818	65.182	1.182	0.312	0.109	0.306	53.818	65.182	1.182	52	64	1	4	3	2
0.386	4.375	16	16	16	1.000	0.000	1.000	1	1	43.938	72.312	1.062	0.453	0.200	0.485	43.938	72.312	1.062	41	70	1	6	5	2
20.679	78.652	858	466	7028	8.191	16.595	2.000	1	169	233.015	99.883	19.830	2.792	1.695	2.538	232.934	99.862	24.732	229	95	1	10	10	29
0.337	3.439	14	14	16	1.143	0.535	1.000	1	3	417.000	135.000	1.357	0.318	0.068	0.353	417.000	135.000	1.312	416	134	1	3	3	2
0.578	5.274	24	23	25	1.042	0.204	1.000	1	2	84.792	160.000	1.583	0.438	0.156	0.390	84.800	160.000	1.560	82	159	1	6	3	3
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	148.000	180.000	1.357	0.318	0.068	0.353	148.000	180.000	1.333	147	179	1	3	3	2
155.839	373.067	6466	2409	76742	11.869	26.577	3.000	1	338	389.431	298.869	18.899	3.832	1.342	3.808	390.573	299.498	23.571	376	285	1	26	29	29
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	385.000	308.000	1.100	0.281	0.099	0.301	385.000	308.000	1.100	384	307	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	407.000	352.000	1.100	0.281	0.099	0.301	407.000	352.000	1.100	406	351	1	3	3	2
17.449	67.755	724	409	4806	6.638	12.978	2.000	1	122	117.753	397.268	20.126	2.807	1.757	2.454	117.792	397.345	24.954	114	394	1	8	8	29
0.313	3.209	13	13	13	1.000	0.000	1.000	1	1	183.538	0.462	3.846	0.378	0.164	0.374	183.538	0.462	3.846	183	0	2	2	2	4
0.313	3.968	13	13	13	1.000	0.000	1.000	1	1	189.000	1.769	2.923	0.393	0.157	0.395	189.000	1.769	2.923	188	1	2	4	3	3
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	455.000	126.000	3.000	0.382	0.086	0.390	455.000	126.000	3.000	454	125	2	3	3	3
19.956	81.990	828	474	4235	5.115	8.858	2.000	1	85	480.185	266.298	21.649	2.572	1.556	2.299	480.259	266.760	24.598	474	260	2	11	13	28
20.486	74.862	850	445	6586	7.748	12.947	3.000	1	115	396.367	278.568	20.566	2.660	1.513	2.385	396.451	278.585	24.697	392	275	2	9	9	28
0.675	6.030	28	24	31	1.107	0.315	1.000	1	2	51.536	339.000	3.607	0.500	0.143	0.502	51.516	339.000	3.613	50	338	2	4	3	4
1.711	15.994	71	66	72	1.014	0.119	1.000	1	2	65.690	86.408	8.592	1.013	0.480	0.997	65.639	86.417	8.625	61	84	3	8	6	10
0.578	4.990	24	22	26	1.083	0.282	1.000	1	2	221.000	470.000	4.750	0.421	0.110	0.384	221.000	470.000	4.731	220	469	3	3	3	4
0.458	4.479	19	18	22	1.158	0.375	1.000	1	2	0.474	28.895	5.053	0.403	0.118	0.430	0.455	28.955	5.045	0	27	4	3	4	3
0.675	7.564	28	26	30	1.071	0.262	1.000	1	2	34.786	13.857	6.893	0.549	0.196	0.528	34.800	13.900	6.900	33	11	5	4	6	4
0.265	3.844	11	10	11	1.000	0.000	1.000	1	1	26.273	14.727	6.636	0.429	0.240	0.361	26.273	14.727	6.636	25	14	5	3	3	5
0.265	4.426	11	11	11	1.000	0.000	1.000	1	1	180.545	0.727	7.818	0.464	0.162	0.508	180.545	0.727	7.818	179	0	6	4	4	4
10.677	48.928	443	285	2192	4.948	8.128	2.000	1	70	233.858	91.036	21.993	2.186	1.308	2.040	233.850	90.995	25.359	231	88	6	7	8	24
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	368.000	255.000	7.000	0.382	0.086	0.390	368.000	255.000	7.000	367	254	6	3	3	3
0.578	4.990	24	22	26	1.083	0.282	1.000	1	2	315.000	404.000	7.750	0.421	0.110	0.384	315.000	404.000	7.731	314	403	6	3	3	4
0.434	5.007	18	18	18	1.000	0.000	1.000	1	1	52.056	73.833	8.222	0.438	0.167	0.442	52.056	73.833	8.222	51	72	7	3	4	4
12.846	52.117	533	312	2553	4.790	6.376	2.000	1	54	50.985	338.904	21.370	2.195	1.147	2.161	50.964	338.939	23.894	48	335	7	7	8	23
0.313	3.456	13	12	14	1.077	0.277	1.000	1	2	208.308	0.692	9.077	0.356	0.099	0.391	208.286	0.714	9.071	207	0	8	3	3	3
0.265	3.333	11	10	11	1.000	0.000	1.000	1	1	177.000	12.000	8.636	0.333	0.079	0.319	177.000	12.000	8.636	176	11	8	3	3	3
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	95.000	121.000	9.000	0.382	0.086	0.390	95.000	121.000	9.000	94	120	8	3	3	3
9.930	42.844	412	267	1719	4.172	5.691	2.000	1	43	221.056	469.883	22.701	2.064	1.190	1.861	221.040	469.841	25.302	218	467	8	7	7	22
14.605	53.334	606	322	6010	9.917	18.083	3.000	1	140	456.460	140.058	22.561	2.059	1.002	1.913	456.477	140.089	25.949	453	136	9	8	9	21
15.063	59.139	625	343	4983	7.973	15.658	2.000	1	116	457.178	75.944	22.877	2.011	0.986	1.884	456.936	75.744	26.434	453	72	10	10	9	20
0.337	3.456	14	14	14	1.000	0.000	1.000	1	1	240.000	117.500	11.500	0.346	0.118	0.340	240.000	117.500	11.500	239	117	10	3	2	4
