Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
22532.189	49749.562	934896	663395	139681056	149.408	229.167	80	1	3769	176.681	324.472	15.979	30.469	15.498	29.711	161.258	325.370	16.200	0	85	1	449	427	31
0.313	3.563	13	13	13	1.000	0.000	1	1	1	180.154	240.308	1.385	0.355	0.151	0.333	180.154	240.308	1.385	179	239	1	3	4	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	43.000	256.000	1.100	0.281	0.099	0.301	43.000	256.000	1.100	42	255	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	57.000	261.000	1.100	0.281	0.099	0.301	57.000	261.000	1.100	56	260	1	3	3	2
0.892	7.232	37	37	48	1.297	0.661	1	1	3	179.081	321.324	1.351	0.493	0.185	0.488	179.229	321.312	1.292	175	319	1	8	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	186.000	326.000	1.100	0.281	0.099	0.301	186.000	326.000	1.100	185	325	1	3	3	2
0.265	3.051	11	11	11	1.000	0.000	1	1	1	177.909	326.909	1.182	0.302	0.099	0.321	177.909	326.909	1.182	177	326	1	3	3	2
0.434	4.285	18	17	18	1.000	0.000	1	1	1	185.889	333.333	2.278	0.392	0.122	0.367	185.889	333.333	2.278	185	332	1	3	3	4
0.289	3.844	12	11	12	1.000	0.000	1	1	1	191.333	344.000	2.583	0.391	0.166	0.347	191.333	344.000	2.583	190	343	1	4	3	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	142.000	348.000	1.100	0.281	0.099	0.301	142.000	348.000	1.100	141	347	1	3	3	2
0.434	4.268	18	18	19	1.056	0.236	1	1	2	174.278	353.722	1.389	0.385	0.129	0.377	174.263	353.684	1.368	173	352	1	3	5	2
0.362	3.439	15	15	16	1.067	0.258	1	1	2	180.933	356.067	1.400	0.325	0.068	0.330	180.938	356.062	1.375	180	355	1	3	3	2
0.386	4.498	16	16	16	1.000	0.000	1	1	1	184.625	368.688	1.000	0.472	0.197	0.460	184.625	368.688	1.000	182	366	1	6	6	1
0.265	3.051	11	11	11	1.000	0.000	1	1	1	265.091	388.909	1.182	0.302	0.099	0.321	265.091	388.909	1.182	264	388	1	3	3	2
0.530	5.962	22	22	22	1.000	0.000	1	1	1	264.182	396.091	1.091	0.618	0.305	0.579	264.182	396.091	1.091	263	393	1	4	9	2
0.289	3.051	12	12	12	1.000	0.000	1	1	1	205.833	410.083	1.250	0.311	0.087	0.315	205.833	410.083	1.250	205	409	1	3	3	2
0.603	6.755	25	25	25	1.000	0.000	1	1	1	256.760	414.320	2.520	0.630	0.213	0.680	256.760	414.320	2.520	255	413	1	5	5	4
0.362	3.245	15	15	16	1.067	0.258	1	1	2	199.000	417.800	1.400	0.328	0.071	0.345	199.000	417.812	1.375	198	417	1	3	3	2
0.530	5.502	22	20	22	1.000	0.000	1	1	1	218.500	424.000	2.500	0.441	0.160	0.414	218.500	424.000	2.500	217	422	1	4	5	4
0.651	5.608	27	26	30	1.111	0.424	1	1	3	224.074	425.778	1.667	0.448	0.156	0.411	224.100	425.800	1.600	223	424	1	4	4	4
0.289	3.422	12	12	15	1.250	0.622	1	1	3	464.167	509.333	1.000	0.391	0.193	0.387	464.267	509.467	1.000	462	508	1	6	3	1
0.458	5.114	19	17	19	1.000	0.000	1	1	1	167.632	243.000	3.053	0.432	0.133	0.421	167.632	243.000	3.053	166	242	2	4	4	3
0.241	2.945	10	10	10	1.000	0.000	1	1	1	172.000	304.000	2.500	0.292	0.051	0.316	172.000	304.000	2.500	171	303	2	3	3	2
1.157	10.318	48	46	48	1.000	0.000	1	1	1	186.833	339.729	3.292	0.634	0.269	0.621	186.833	339.729	3.292	185	337	2	5	9	3
0.868	7.055	36	36	40	1.111	0.319	1	1	2	187.306	351.194	3.528	0.484	0.171	0.481	187.325	351.125	3.575	185	349	2	5	6	3
0.265	2.998	11	11	11	1.000	0.000	1	1	1	81.455	272.364	3.636	0.305	0.077	0.297	81.455	272.364	3.636	80	271	3	4	3	2
0.265	2.998	11	11	11	1.000	0.000	1	1	1	179.545	393.000	3.636	0.302	0.068	0.308	179.545	393.000	3.636	179	392	3	3	3	2
0.265	4.268	11	11	11	1.000	0.000	1	1	1	197.909	328.273	4.000	0.408	0.185	0.417	197.909	328.273	4.000	196	326	4	5	6	1
0.337	3.439	14	14	15	1.071	0.267	1	1	2	175.000	385.000	11.643	0.318	0.068	0.353	175.000	385.000	11.667	174	384	11	3	3	2
0.265	2.874	11	11	11	1.000	0.000	1	1	1	95.909	297.273	23.455	0.309	0.072	0.318	95.909	297.273	23.455	95	296	23	3	3	2
1.109	8.623	46	43	66	1.435	0.910	1	1	5	463.348	509.935	29.913	0.567	0.187	0.525	463.424	510.182	30.121	461	508	27	6	4	5
0.241	2.593	10	10	11	1.100	0.316	1	1	2	98.200	301.000	28.000	0.291	0.113	0.308	98.182	301.000	28.000	97	300	28	4	3	1
0.482	5.574	20	20	20	1.000	0.000	1	1	1	233.750	502.600	28.000	0.605	0.292	0.584	233.750	502.600	28.000	230	501	28	9	4	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	112.000	312.000	30.900	0.281	0.099	0.301	112.000	312.000	30.900	111	311	30	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	117.000	321.000	30.643	0.318	0.068	0.353	117.000	321.000	30.667	116	320	30	3	3	2
