Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
60237.410	30501.895	2499346	277974	277981728	111.222	188.527	56	1	3839	212.606	310.274	17.099	37.021	17.219	35.276	193.731	316.698	17.141	0	84	1	448	428	31
0.241	2.664	10	10	10	1.000	0.000	1	1	1	174.000	155.000	1.100	0.281	0.099	0.301	174.000	155.000	1.100	173	154	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	137.000	170.000	1.100	0.281	0.099	0.301	137.000	170.000	1.100	136	169	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	207.000	180.000	1.100	0.281	0.099	0.301	207.000	180.000	1.100	206	179	1	3	3	2
0.362	3.987	15	15	15	1.000	0.000	1	1	1	203.133	186.267	1.000	0.450	0.204	0.469	203.133	186.267	1.000	201	184	1	6	5	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	205.000	212.000	1.100	0.281	0.099	0.301	205.000	212.000	1.100	204	211	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	172.000	231.000	1.100	0.281	0.099	0.301	172.000	231.000	1.100	171	230	1	3	3	2
0.313	3.563	13	13	13	1.000	0.000	1	1	1	180.154	240.308	1.385	0.355	0.151	0.333	180.154	240.308	1.385	179	239	1	3	4	3
0.386	4.375	16	16	16	1.000	0.000	1	1	1	200.312	240.875	1.062	0.526	0.203	0.555	200.312	240.875	1.062	198	239	1	6	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	43.000	256.000	1.100	0.281	0.099	0.301	43.000	256.000	1.100	42	255	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	57.000	261.000	1.100	0.281	0.099	0.301	57.000	261.000	1.100	56	260	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	309.000	278.000	1.100	0.281	0.099	0.301	309.000	278.000	1.100	308	277	1	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	319.000	283.000	1.357	0.318	0.068	0.353	319.000	283.000	1.333	318	282	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	305.000	289.000	1.100	0.281	0.099	0.301	305.000	289.000	1.100	304	288	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	309.000	289.000	1.100	0.281	0.099	0.301	309.000	289.000	1.100	308	288	1	3	3	2
0.506	5.080	21	21	22	1.048	0.218	1	1	2	289.762	303.524	1.238	0.426	0.164	0.394	289.727	303.500	1.227	288	302	1	5	5	2
0.892	7.232	37	37	48	1.297	0.661	1	1	3	179.081	321.324	1.351	0.493	0.185	0.488	179.229	321.312	1.292	175	319	1	8	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	186.000	326.000	1.100	0.281	0.099	0.301	186.000	326.000	1.100	185	325	1	3	3	2
0.265	3.051	11	11	11	1.000	0.000	1	1	1	177.909	326.909	1.182	0.302	0.099	0.321	177.909	326.909	1.182	177	326	1	3	3	2
0.313	3.068	13	13	13	1.000	0.000	1	1	1	332.538	328.000	2.385	0.324	0.091	0.320	332.538	328.000	2.385	332	327	1	2	3	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	142.000	348.000	1.100	0.281	0.099	0.301	142.000	348.000	1.100	141	347	1	3	3	2
0.434	4.268	18	18	19	1.056	0.236	1	1	2	174.278	353.722	1.389	0.385	0.129	0.377	174.263	353.684	1.368	173	352	1	3	5	2
0.362	3.439	15	15	16	1.067	0.258	1	1	2	180.933	356.067	1.400	0.325	0.068	0.330	180.938	356.062	1.375	180	355	1	3	3	2
0.386	4.498	16	16	16	1.000	0.000	1	1	1	184.625	368.688	1.000	0.472	0.197	0.460	184.625	368.688	1.000	182	366	1	6	6	1
3.495	16.171	145	97	1063	7.331	8.751	3	1	39	436.317	386.241	2.993	0.864	0.181	0.846	436.213	386.194	2.401	434	384	1	6	6	6
0.265	3.051	11	11	11	1.000	0.000	1	1	1	265.091	388.909	1.182	0.302	0.099	0.321	265.091	388.909	1.182	264	388	1	3	3	2
0.530	5.962	22	22	22	1.000	0.000	1	1	1	264.182	396.091	1.091	0.618	0.305	0.579	264.182	396.091	1.091	263	393	1	4	9	2
0.289	3.051	12	12	12	1.000	0.000	1	1	1	205.833	410.083	1.250	0.311	0.087	0.315	205.833	410.083	1.250	205	409	1	3	3	2
0.362	3.245	15	15	16	1.067	0.258	1	1	2	199.000	417.800	1.400	0.328	0.071	0.345	199.000	417.812	1.375	198	417	1	3	3	2
0.530	5.502	22	20	22	1.000	0.000	1	1	1	218.500	424.000	2.500	0.441	0.160	0.414	218.500	424.000	2.500	217	422	1	4	5	4
0.651	5.608	27	26	30	1.111	0.424	1	1	3	224.074	425.778	1.667	0.448	0.156	0.411	224.100	425.800	1.600	223	424	1	4	4	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	423.000	460.000	1.100	0.281	0.099	0.301	423.000	460.000	1.100	422	459	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	380.000	475.000	1.100	0.281	0.099	0.301	380.000	475.000	1.100	379	474	1	3	3	2
0.458	5.114	19	17	19	1.000	0.000	1	1	1	167.632	243.000	3.053	0.432	0.133	0.421	167.632	243.000	3.053	166	242	2	4	4	3
0.241	2.945	10	10	10	1.000	0.000	1	1	1	172.000	304.000	2.500	0.292	0.051	0.316	172.000	304.000	2.500	171	303	2	3	3	2
0.506	4.743	21	19	21	1.000	0.000	1	1	1	238.952	232.048	4.571	0.448	0.144	0.402	238.952	232.048	4.571	238	231	3	3	3	4
0.313	3.580	13	12	13	1.000	0.000	1	1	1	179.538	393.000	3.846	0.347	0.096	0.353	179.538	393.000	3.846	179	392	3	3	3	3
0.410	4.162	17	16	18	1.059	0.243	1	1	2	65.412	269.765	8.588	0.421	0.156	0.404	65.389	269.778	8.556	64	269	7	3	3	4
0.289	3.316	12	11	13	1.083	0.289	1	1	2	268.750	234.917	9.000	0.334	0.081	0.328	268.769	234.923	9.000	268	234	8	3	3	3
0.482	4.990	20	19	21	1.050	0.224	1	1	2	78.950	276.000	9.100	0.404	0.125	0.423	78.952	276.000	9.095	78	275	8	3	3	4
0.795	6.648	33	26	62	1.879	1.053	2	1	6	273.000	220.000	11.000	0.494	0.102	0.497	273.000	220.000	11.000	271	218	9	5	5	5
0.313	3.456	13	13	13	1.000	0.000	1	1	1	215.692	424.308	10.385	0.338	0.102	0.305	215.692	424.308	10.385	215	423	9	3	3	3
0.289	3.456	12	11	13	1.083	0.289	1	1	2	311.250	263.750	11.000	0.349	0.096	0.400	311.231	263.769	11.000	310	263	10	3	3	3
0.506	5.502	21	20	22	1.048	0.218	1	1	2	174.810	384.905	12.238	0.455	0.224	0.394	174.818	384.909	12.227	173	384	11	4	3	5
0.458	4.603	19	18	20	1.053	0.229	1	1	2	21.000	252.000	13.000	0.382	0.086	0.390	21.000	252.000	13.000	20	251	12	3	3	3
5.543	25.444	230	138	746	3.243	3.071	2	1	16	279.496	231.117	19.878	1.137	0.407	1.004	279.327	231.032	20.063	277	228	13	6	7	12
2.314	12.926	96	68	234	2.438	1.758	2	1	8	286.948	233.094	19.021	0.740	0.156	0.699	286.944	233.120	19.056	285	231	17	5	5	6
5.977	30.682	248	153	740	2.984	2.914	2	1	16	238.032	167.149	25.718	1.154	0.415	1.108	238.377	167.108	25.858	233	164	21	10	7	10
0.747	9.258	31	29	34	1.097	0.301	1	1	2	117.032	320.452	28.968	0.734	0.234	0.804	117.029	320.441	28.941	114	319	26	7	4	6
1.109	8.623	46	43	66	1.435	0.910	1	1	5	463.348	509.935	29.913	0.567	0.187	0.525	463.424	510.182	30.121	461	508	27	6	4	5
0.241	2.664	10	10	10	1.000	0.000	1	1	1	112.000	312.000	30.900	0.281	0.099	0.301	112.000	312.000	30.900	111	311	30	3	3	2
