Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.313	3.509	13	13	15	1.154	0.555	1	1	3	220.154	0.308	1.385	0.348	0.116	0.328	220.133	0.267	1.333	218	0	1	5	2	2
23914.494	35332.289	992250	409883	80669960	81.300	140.894	26	1	2657	273.408	209.786	16.147	33.978	12.282	32.663	263.342	218.630	17.632	160	0	1	300	409	30
0.241	2.664	10	10	10	1.000	0.000	1	1	1	397.000	2.000	1.100	0.281	0.099	0.301	397.000	2.000	1.100	396	1	1	3	3	2
0.410	4.215	17	16	17	1.000	0.000	1	1	1	379.941	14.941	1.647	0.389	0.105	0.365	379.941	14.941	1.647	379	14	1	3	3	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	383.000	40.000	1.100	0.281	0.099	0.301	383.000	40.000	1.100	382	39	1	3	3	2
0.530	5.184	22	21	23	1.045	0.213	1	1	2	389.136	65.909	2.227	0.426	0.142	0.401	389.130	65.913	2.217	388	65	1	3	3	4
0.386	3.827	16	15	17	1.062	0.250	1	1	2	205.938	70.062	1.500	0.354	0.085	0.329	205.941	70.059	1.471	205	69	1	3	3	3
0.362	3.740	15	15	15	1.000	0.000	1	1	1	197.333	86.933	1.133	0.355	0.131	0.348	197.333	86.933	1.133	195	86	1	5	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	381.000	94.000	1.100	0.281	0.099	0.301	381.000	94.000	1.100	380	93	1	3	3	2
0.362	3.740	15	15	15	1.000	0.000	1	1	1	198.000	103.667	1.133	0.352	0.125	0.348	198.000	103.667	1.133	197	102	1	3	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	213.000	121.000	1.100	0.281	0.099	0.301	213.000	121.000	1.100	212	120	1	3	3	2
0.482	5.080	20	20	20	1.000	0.000	1	1	1	372.400	122.700	1.300	0.440	0.177	0.435	372.400	122.700	1.300	370	121	1	6	4	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	382.000	139.000	1.100	0.281	0.099	0.301	382.000	139.000	1.100	381	138	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	359.000	142.000	1.100	0.281	0.099	0.301	359.000	142.000	1.100	358	141	1	3	3	2
0.386	3.880	16	16	17	1.062	0.250	1	1	2	373.250	142.062	1.312	0.342	0.092	0.340	373.235	142.059	1.294	372	141	1	4	3	2
0.410	4.021	17	17	19	1.118	0.332	1	1	2	203.176	215.118	1.588	0.365	0.117	0.340	203.211	215.105	1.526	202	214	1	3	3	3
0.289	3.051	12	12	12	1.000	0.000	1	1	1	200.917	291.167	1.250	0.311	0.087	0.315	200.917	291.167	1.250	200	290	1	3	3	2
0.554	6.260	23	23	24	1.043	0.209	1	1	2	238.913	312.217	2.130	0.591	0.199	0.603	238.875	312.250	2.083	237	310	1	5	5	4
0.458	5.783	19	18	19	1.000	0.000	1	1	1	213.579	60.053	4.316	0.535	0.254	0.499	213.579	60.053	4.316	212	59	2	4	3	6
0.554	5.819	23	21	24	1.043	0.209	1	1	2	380.000	19.261	4.000	0.448	0.147	0.431	380.000	19.250	4.000	379	18	3	3	5	4
0.458	4.603	19	18	20	1.053	0.229	1	1	2	218.000	107.000	4.000	0.382	0.086	0.390	218.000	107.000	4.000	217	106	3	3	3	3
0.289	3.456	12	12	13	1.083	0.289	1	1	2	197.667	0.250	5.833	0.339	0.120	0.357	197.615	0.231	5.846	196	0	5	4	2	3
0.506	4.479	21	19	23	1.095	0.301	1	1	2	218.000	16.571	6.048	0.413	0.083	0.433	218.000	16.565	6.043	217	15	5	3	4	3
0.241	3.068	10	9	10	1.000	0.000	1	1	1	226.000	30.000	11.200	0.331	0.078	0.312	226.000	30.000	11.200	225	29	10	3	3	3
0.434	4.428	18	18	21	1.167	0.383	1	1	2	238.778	10.500	21.944	0.403	0.156	0.407	238.857	10.381	21.952	237	9	21	5	5	2
0.313	3.386	13	13	13	1.000	0.000	1	1	1	215.077	80.154	21.538	0.343	0.098	0.339	215.077	80.154	21.538	214	79	21	3	4	2
1.326	8.449	55	47	179	3.255	3.357	2	1	15	341.727	159.018	22.309	0.557	0.111	0.570	341.721	158.955	22.648	339	157	21	6	5	3
1.591	11.272	66	64	124	1.879	1.157	1	1	5	343.091	87.030	25.591	0.623	0.214	0.595	343.024	87.089	25.750	340	83	24	7	8	3
0.386	4.462	16	16	17	1.062	0.250	1	1	2	394.688	130.812	25.312	0.392	0.138	0.382	394.765	130.765	25.294	393	129	25	5	4	2
3.374	21.030	140	140	1665	11.893	19.763	3	1	107	340.150	158.021	25.621	1.112	0.599	1.001	341.583	158.682	25.628	331	153	25	17	10	2
0.458	5.414	19	19	19	1.000	0.000	1	1	1	314.895	228.000	25.737	0.501	0.163	0.533	314.895	228.000	25.737	312	227	25	7	3	2
0.458	5.325	19	19	36	1.895	1.197	1	1	5	154.895	0.000	28.789	0.527	0.208	0.530	155.167	0.000	29.056	152	0	27	7	1	4
0.410	5.555	17	17	17	1.000	0.000	1	1	1	291.706	257.118	28.882	0.546	0.177	0.522	291.706	257.118	28.882	290	254	28	5	6	3
