Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
152.754	347.379	6338	2491	259412	40.930	74.044	9	1	845	16.417	3.356	14.575	3.990	1.357	4.062	17.893	2.088	9.409	0	0	1	36	13	29
24571.295	17787.861	1019502	143900	39480688	38.725	86.992	16	1	3776	145.802	173.348	17.577	30.520	15.649	29.697	157.881	151.519	18.991	0	0	1	324	414	29
0.795	7.109	33	33	36	1.091	0.292	1	1	2	264.788	1.242	1.303	0.510	0.205	0.497	264.833	1.250	1.278	261	0	1	8	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	257.000	58.000	1.100	0.281	0.099	0.301	257.000	58.000	1.100	256	57	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	224.000	79.000	1.100	0.281	0.099	0.301	224.000	79.000	1.100	223	78	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	189.000	102.000	1.100	0.281	0.099	0.301	189.000	102.000	1.100	188	101	1	3	3	2
0.362	3.757	15	15	16	1.067	0.258	1	1	2	228.133	105.000	1.333	0.330	0.081	0.354	228.125	105.000	1.312	227	104	1	4	3	2
0.337	3.439	14	14	16	1.143	0.363	1	1	2	154.000	167.000	1.357	0.318	0.068	0.353	154.062	167.000	1.312	153	166	1	3	3	2
0.337	3.439	14	14	16	1.143	0.535	1	1	3	97.000	192.000	1.357	0.318	0.068	0.353	97.000	192.000	1.312	96	191	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	175.000	203.000	1.100	0.281	0.099	0.301	175.000	203.000	1.100	174	202	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	160.000	222.000	1.100	0.281	0.099	0.301	160.000	222.000	1.100	159	221	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	168.000	226.000	1.100	0.281	0.099	0.301	168.000	226.000	1.100	167	225	1	3	3	2
0.651	6.069	27	27	27	1.000	0.000	1	1	1	102.667	245.333	1.111	0.558	0.251	0.588	102.667	245.333	1.111	99	244	1	8	4	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	128.000	247.000	1.357	0.318	0.068	0.353	128.000	247.000	1.333	127	246	1	3	3	2
