Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3.037	31.210	126	126	41966	333.064	91.461	315.500	200	583	302.706	0.024	3.032	2.687	1.504	2.675	302.202	0.017	3.045	281	0	2	45	2	3
2.338	16.348	97	97	27652	285.072	70.441	269.000	200	515	358.897	0.536	3.062	1.211	0.580	1.225	359.477	0.515	3.073	349	0	2	19	2	3
0.554	5.044	23	23	5865	255.000	53.793	231.000	202	383	397.130	0.565	3.043	0.468	0.210	0.453	397.034	0.549	3.156	395	0	2	7	2	3
0.675	5.555	28	28	7468	266.714	56.883	253.000	201	418	404.893	0.464	3.143	0.474	0.172	0.477	404.883	0.429	3.211	402	0	2	6	2	3
1.422	8.800	59	54	15140	256.610	28.781	258.000	206	319	431.475	0.847	3.034	0.613	0.194	0.588	431.469	0.852	3.078	428	0	2	8	3	3
0.289	3.403	12	12	3508	292.333	58.947	301.000	201	392	467.000	0.250	3.000	0.357	0.134	0.414	466.997	0.188	2.954	466	0	2	3	2	3
0.530	5.873	22	22	5556	252.545	46.814	238.000	203	339	481.455	0.591	2.545	0.493	0.205	0.449	481.405	0.489	2.570	478	0	2	7	4	3
3355.862	7730.984	139240	97683	96280096	691.469	385.230	609.000	200	3379	377.371	160.650	2.994	23.359	9.674	23.344	381.134	160.096	3.015	222	2	2	290	297	3
0.603	5.572	25	24	7179	287.160	60.416	269.000	200	400	246.560	140.440	2.920	0.443	0.130	0.453	246.546	140.323	2.896	245	139	2	4	4	3
0.289	3.245	12	12	2785	232.083	26.176	223.500	205	290	233.000	166.417	2.250	0.313	0.089	0.307	233.001	166.404	2.231	232	165	2	3	4	2
0.337	4.285	14	14	3254	232.429	24.738	225.000	201	271	216.214	218.071	2.857	0.425	0.173	0.420	216.185	218.083	2.841	215	216	2	3	5	3
1.952	11.764	81	70	28371	350.259	117.353	318.000	200	621	497.877	218.185	2.988	0.655	0.161	0.652	497.814	218.315	2.951	495	215	2	7	7	3
1.326	9.435	55	51	14021	254.927	41.952	252.000	203	368	482.218	228.764	3.164	0.631	0.207	0.637	482.254	228.768	3.187	478	227	2	8	5	3
1.374	9.947	57	53	18218	319.614	112.059	276.000	200	694	223.982	235.053	2.982	0.603	0.185	0.558	223.714	234.933	3.041	221	232	2	7	7	3
0.964	6.508	40	36	11061	276.525	65.275	258.000	203	468	483.575	234.500	2.925	0.496	0.084	0.521	483.611	234.472	2.841	482	233	2	4	4	3
0.482	4.355	20	19	5250	262.500	56.478	244.000	200	390	368.750	252.950	2.950	0.402	0.100	0.444	368.734	252.916	2.982	368	252	2	3	3	3
