Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
33369.965	37000.176	1384573	273961	925526912	668.457	474.565	506.000	200	3922	280.465	322.285	15.369	36.357	17.781	36.029	292.483	331.323	15.932	39	110	1	473	402	28
2.241	12.184	93	74	49899	536.548	305.887	462.000	201	1396	282.409	176.419	3.548	0.772	0.245	0.732	282.417	176.359	3.403	280	175	1	5	4	7
0.651	5.255	27	25	8231	304.852	75.296	279.000	219	468	471.852	190.148	2.222	0.463	0.142	0.467	471.818	190.181	2.139	471	189	1	3	3	4
0.964	7.196	40	38	11393	284.825	65.088	263.000	200	470	327.000	288.400	1.700	0.512	0.150	0.524	327.079	288.357	1.647	324	287	1	6	4	3
1.783	10.388	74	59	36214	489.378	293.991	382.000	201	1453	174.432	320.730	2.068	0.643	0.129	0.620	174.329	320.609	1.852	172	319	1	6	5	4
1.229	7.831	51	45	25112	492.392	283.488	401.000	204	1351	209.353	360.275	1.824	0.538	0.103	0.549	209.362	360.275	1.633	207	358	1	6	5	3
1.735	10.298	72	54	35990	499.861	297.805	386.000	201	1445	154.847	361.778	2.444	0.656	0.121	0.638	154.764	361.838	2.158	153	360	1	5	5	5
5.664	24.034	235	140	169334	720.570	545.056	499.000	200	2465	148.077	367.494	4.753	1.116	0.315	1.107	148.055	367.537	4.228	145	365	1	7	6	9
2.217	12.080	92	67	53852	585.348	369.362	452.500	209	1600	144.250	378.652	2.533	0.719	0.144	0.710	144.295	378.663	2.237	142	376	1	5	6	5
1.157	8.270	48	41	20785	433.021	178.593	407.000	202	904	144.750	384.917	2.771	0.597	0.185	0.572	144.796	384.940	2.577	143	383	1	4	4	5
0.964	7.635	40	34	12591	314.775	97.168	288.000	200	588	136.225	440.050	3.475	0.577	0.216	0.616	136.239	440.046	3.431	135	439	1	4	3	6
0.289	3.456	12	11	2717	226.417	24.693	219.000	203	279	257.167	277.167	3.167	0.350	0.093	0.330	257.162	277.167	3.182	256	276	2	3	3	3
0.434	4.620	18	16	4685	260.278	53.574	248.500	201	395	369.222	251.778	4.500	0.432	0.146	0.365	369.202	251.807	4.543	368	251	3	3	3	4
0.603	5.061	25	23	7691	307.640	79.981	281.000	208	468	346.200	313.240	4.560	0.456	0.143	0.405	346.247	313.273	4.541	345	312	3	3	3	4
0.241	3.333	10	9	2287	228.700	38.283	211.500	203	302	286.100	324.900	4.600	0.360	0.133	0.316	286.088	324.909	4.593	285	324	3	3	3	4
0.795	6.348	33	30	9419	285.424	68.388	272.000	201	490	174.939	466.970	4.788	0.509	0.180	0.475	174.921	466.973	4.820	174	466	3	3	3	5
1.301	9.557	54	45	15250	282.407	64.819	272.500	201	455	475.833	190.259	8.222	0.662	0.251	0.588	475.854	190.252	8.195	474	189	5	4	4	7
1.952	12.114	81	58	35610	439.630	218.642	361.000	202	1127	363.815	232.667	7.877	0.725	0.208	0.664	363.829	232.701	7.890	362	231	5	5	5	7
1.133	8.851	47	37	13542	288.128	80.358	264.000	200	514	327.340	285.106	7.745	0.607	0.207	0.568	327.336	285.063	7.744	326	284	5	4	4	6
0.313	3.527	13	13	3001	230.846	26.938	221.000	205	283	144.231	495.538	8.538	0.379	0.159	0.306	144.230	495.557	8.532	143	495	7	3	2	4
1.615	12.519	67	58	16254	242.597	36.898	231.000	200	343	150.612	487.612	11.866	0.888	0.435	0.844	150.617	487.570	11.787	149	485	8	4	6	9
0.819	6.665	34	28	10337	304.029	77.154	282.500	206	502	203.265	385.059	10.912	0.512	0.162	0.496	203.282	385.071	10.911	202	384	9	4	3	5
1.085	7.882	45	38	16369	363.756	139.438	322.000	202	756	61.689	404.889	11.889	0.580	0.178	0.542	61.702	404.888	11.838	60	403	10	4	4	5
0.289	3.262	12	12	2676	223.000	15.926	219.000	204	256	154.500	493.000	11.167	0.326	0.113	0.317	154.502	493.000	11.160	154	492	10	2	3	3
0.289	3.791	12	12	2639	219.917	20.161	211.500	201	261	417.167	215.917	13.250	0.438	0.230	0.386	417.160	215.923	13.263	417	215	11	2	3	5
1.494	9.804	62	46	26320	424.516	194.054	343.000	202	926	391.484	133.597	14.548	0.653	0.205	0.680	391.436	133.621	14.510	390	132	12	4	4	6
0.482	4.673	20	18	4843	242.150	30.092	233.500	200	309	507.500	173.900	13.700	0.427	0.130	0.392	507.509	173.894	13.705	506	173	12	4	3	4
