Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.362	4.302	15	13	3337	222.467	23.597	217.000	201	272	21.000	2.933	2.200	0.415	0.135	0.399	20.993	2.938	2.181	20	2	1	3	3	4
3.495	24.596	145	138	35264	243.200	32.102	235.000	200	324	0.510	19.386	5.034	1.277	0.628	1.222	0.480	19.486	4.933	0	13	1	3	13	12
0.241	2.945	10	10	2248	224.800	20.258	223.000	205	267	2.300	39.100	1.600	0.317	0.102	0.308	2.288	39.099	1.573	2	38	1	2	3	3
6.435	41.920	267	267	72231	270.528	48.963	264.000	200	425	61.618	84.034	1.000	1.574	0.584	1.645	62.089	83.925	1.000	53	74	1	18	20	1
0.819	7.111	34	34	7728	227.294	20.870	222.000	200	271	38.529	81.118	1.000	0.593	0.247	0.609	38.544	81.037	1.000	36	78	1	7	8	1
3.977	28.925	165	165	46325	280.758	69.991	262.000	200	416	42.897	91.552	1.000	1.329	0.609	1.276	42.776	91.884	1.000	36	80	1	16	21	1
0.241	2.593	10	10	2632	263.200	62.189	232.500	203	370	454.200	108.500	1.000	0.298	0.109	0.323	454.238	108.481	1.000	453	107	1	3	4	1
0.265	2.911	11	11	2914	264.909	51.669	263.000	203	346	459.818	109.455	1.000	0.318	0.121	0.324	459.846	109.460	1.000	458	108	1	4	4	1
0.313	3.158	13	13	3391	260.846	46.886	258.000	200	348	449.615	112.615	1.000	0.335	0.115	0.377	449.566	112.682	1.000	448	111	1	4	4	1
10.436	71.356	433	433	138054	318.831	132.168	277.000	200	1044	469.441	130.804	1.000	2.281	1.015	2.247	468.208	131.932	1.000	456	112	1	29	35	1
0.337	3.282	14	14	3915	279.643	61.189	265.500	208	401	459.500	123.286	1.000	0.347	0.120	0.380	459.472	123.276	1.000	458	122	1	4	4	1
0.265	2.717	11	11	3112	282.909	65.561	264.000	202	396	481.909	139.636	1.000	0.311	0.116	0.314	481.901	139.624	1.000	481	138	1	3	4	1
36.538	245.544	1516	1516	430887	284.226	90.659	257.000	200	985	341.190	169.400	1.000	4.399	1.957	4.326	342.061	169.440	1.000	304	146	1	68	50	1
0.434	4.164	18	18	6192	344.000	119.608	306.500	202	615	390.278	151.167	1.000	0.404	0.155	0.430	390.456	151.187	1.000	388	149	1	5	5	1
0.458	4.481	19	19	4344	228.632	28.576	218.000	200	288	456.105	151.316	1.000	0.468	0.209	0.501	456.206	151.233	1.000	454	149	1	5	6	1
3.133	24.405	130	130	35584	273.723	65.726	256.500	201	455	403.162	159.731	1.000	1.355	0.653	1.362	402.945	159.053	1.000	395	153	1	16	19	1
78.859	496.707	3272	3272	1080124	330.111	134.273	297.000	200	2022	256.821	208.221	1.000	7.030	3.235	7.019	258.670	206.880	1.000	197	167	1	119	81	1
0.627	5.928	26	26	5461	210.038	8.478	208.000	200	230	417.846	171.808	1.000	0.554	0.255	0.559	417.874	171.832	1.000	416	168	1	5	8	1
7.351	51.658	305	305	88972	291.711	75.831	274.000	200	601	396.331	188.711	1.000	2.275	1.083	2.350	396.088	188.959	1.000	382	175	1	30	28	1
0.988	8.364	41	41	10343	252.268	55.653	222.000	200	392	414.659	183.610	1.000	0.695	0.315	0.677	414.635	183.915	1.000	412	179	1	6	10	1
1.085	8.664	45	45	14914	331.422	121.231	289.000	205	666	201.622	184.911	1.000	0.668	0.279	0.652	201.752	185.088	1.000	199	180	1	6	10	1
0.289	3.228	12	12	3060	255.000	33.960	260.500	211	314	455.667	181.833	1.000	0.342	0.142	0.334	455.724	181.877	1.000	454	180	1	5	4	1
0.530	4.852	22	22	5782	262.818	49.111	251.500	202	354	143.682	185.500	1.000	0.459	0.182	0.436	143.680	185.554	1.000	142	183	1	5	6	1
0.289	3.034	12	12	2775	231.250	19.923	229.500	206	263	383.833	186.917	1.000	0.331	0.138	0.324	383.836	186.893	1.000	382	186	1	5	3	1
18.389	128.237	763	763	263970	345.963	173.529	282.000	200	1428	341.126	207.104	1.000	3.731	1.591	3.694	342.826	208.184	1.000	311	190	1	60	38	1
0.337	3.669	14	14	2956	211.143	8.734	210.500	200	227	375.071	192.143	1.000	0.425	0.236	0.378	375.068	192.126	1.000	374	190	1	3	7	1
0.313	3.546	13	13	2765	212.692	11.764	211.000	200	242	197.231	196.231	1.000	0.400	0.190	0.361	197.196	196.251	1.000	195	195	1	6	4	1
0.940	8.117	39	39	12143	311.359	86.308	279.000	210	493	298.949	199.410	1.000	0.644	0.273	0.644	298.716	199.251	1.000	295	196	1	9	8	1
0.265	2.911	11	11	2526	229.636	21.768	228.000	202	266	375.455	199.636	1.000	0.312	0.109	0.365	375.443	199.635	1.000	374	198	1	4	4	1
0.313	3.158	13	13	4360	335.385	128.375	298.000	214	561	338.385	203.385	1.000	0.335	0.115	0.377	338.327	203.383	1.000	337	202	1	4	4	1
5.616	38.105	233	233	77102	330.910	120.329	290.000	200	662	154.622	212.914	1.000	1.507	0.589	1.552	154.984	212.577	1.000	145	204	1	20	18	1
0.434	3.970	18	18	7950	441.667	168.258	384.500	207	776	360.000	221.500	1.000	0.400	0.148	0.448	359.988	221.525	1.000	358	220	1	5	4	1
2.410	17.401	100	100	29523	295.230	63.388	290.000	202	438	373.630	227.200	1.000	1.020	0.425	1.016	373.639	227.293	1.000	370	220	1	9	15	1
4.001	28.855	166	166	56805	342.199	150.449	279.500	201	924	322.699	233.193	1.000	1.360	0.567	1.415	322.979	232.151	1.000	315	223	1	14	19	1
1.133	9.687	47	47	12417	264.191	57.664	250.000	200	449	341.957	231.511	1.000	0.727	0.331	0.676	342.010	231.291	1.000	337	227	1	11	8	1
0.410	3.846	17	17	5880	345.882	104.246	323.000	217	534	311.882	239.588	1.000	0.385	0.139	0.414	311.815	239.568	1.000	310	238	1	5	4	1
3.013	22.430	125	125	32244	257.952	43.756	244.000	200	380	297.712	245.792	1.000	1.280	0.597	1.272	297.904	245.550	1.000	289	239	1	19	14	1
0.313	3.352	13	13	2983	229.462	22.452	229.000	203	266	333.923	241.615	1.000	0.343	0.130	0.345	333.955	241.627	1.000	332	240	1	5	4	1
844.244	2636.156	35029	20252	12815848	365.864	196.305	302.000	200	2390	54.744	65.543	23.263	14.718	10.952	11.739	53.161	61.520	24.012	7	0	3	173	227	28
9.616	67.542	399	399	119810	300.276	92.542	274.000	200	665	470.551	132.870	3.794	2.152	0.865	2.148	469.763	133.449	3.776	457	118	3	28	29	2
0.362	3.599	15	15	4085	272.333	52.234	262.000	212	370	489.333	141.467	3.000	0.368	0.137	0.390	489.330	141.526	3.000	487	140	3	5	4	1
0.530	5.628	22	22	4791	217.773	13.904	216.000	200	250	455.955	150.091	3.000	0.558	0.266	0.538	455.998	150.076	3.000	453	146	3	6	8	1
35.622	218.548	1478	1478	444329	300.629	95.646	274.000	200	917	343.599	168.231	3.000	3.926	1.509	4.034	344.171	168.596	3.000	318	147	3	54	44	1
19.546	137.660	811	811	237274	292.570	84.066	266.000	200	623	401.401	176.125	3.000	4.081	1.808	4.071	401.440	175.810	3.000	378	147	3	45	57	1
87.632	534.132	3636	3636	1235714	339.855	133.578	304.000	200	1566	255.357	210.909	3.000	7.113	3.272	7.035	256.326	209.188	3.000	195	167	3	122	82	1
0.337	3.282	14	14	3729	266.357	44.554	260.500	202	352	248.500	172.500	3.000	0.350	0.124	0.393	248.497	172.525	3.000	247	171	3	4	4	1
0.458	4.481	19	19	4960	261.053	50.222	256.000	207	368	279.789	175.842	3.000	0.440	0.188	0.447	279.857	175.804	3.000	277	174	3	6	5	1
3.663	25.767	152	152	39680	261.053	66.041	243.500	200	622	309.829	186.257	3.000	1.319	0.582	1.321	309.632	185.861	3.000	303	179	3	16	17	1
0.313	3.352	13	13	2963	227.923	20.147	225.000	200	268	455.462	180.846	3.000	0.365	0.160	0.365	455.443	180.854	3.000	454	179	3	4	5	1
3.760	25.486	156	156	49278	315.885	151.909	268.000	200	1063	199.788	188.635	3.000	1.272	0.532	1.282	200.291	188.054	3.000	194	180	3	11	19	1
0.892	7.869	37	37	9981	269.757	65.063	241.000	200	441	143.757	185.514	3.000	0.658	0.318	0.628	143.809	185.590	3.000	141	181	3	6	11	1
0.819	7.886	34	34	7694	226.294	16.712	221.500	200	273	374.853	195.294	3.000	0.860	0.441	0.934	374.861	195.310	3.000	373	189	3	4	13	1
16.389	112.743	680	680	218290	321.015	156.558	275.000	200	1480	324.703	216.968	3.000	3.578	1.339	3.450	324.854	218.944	3.000	310	191	3	34	52	1
9.520	60.067	395	395	153657	389.005	160.805	353.000	200	1169	354.124	205.395	3.000	2.026	0.867	1.996	353.130	205.686	3.000	341	195	3	31	21	1
0.940	7.923	39	39	12123	310.846	91.641	293.000	201	555	299.538	199.564	3.000	0.646	0.272	0.646	299.368	199.401	3.000	295	197	3	9	7	1
6.170	39.978	256	256	85291	333.168	116.197	298.500	200	674	155.699	212.086	3.000	1.529	0.576	1.580	155.855	212.015	3.000	146	202	3	19	20	1
0.265	2.911	11	11	3102	282.000	61.555	267.000	209	399	378.636	205.545	3.000	0.336	0.139	0.365	378.716	205.484	3.000	377	204	3	4	4	1
0.434	4.939	18	18	4735	263.056	52.448	250.500	202	369	138.333	214.278	3.000	0.530	0.305	0.455	138.486	214.375	3.000	134	213	3	9	5	1
0.458	4.287	19	19	11047	581.421	316.947	511.000	205	1254	360.000	221.211	3.000	0.406	0.149	0.445	359.978	221.314	3.000	358	219	3	5	5	1
2.675	19.536	111	111	33977	306.099	79.042	298.000	200	502	374.081	227.189	3.000	1.080	0.455	1.076	374.066	227.093	3.000	370	219	3	11	16	1
0.337	3.475	14	14	3632	259.429	44.130	247.500	204	335	251.214	227.357	3.000	0.352	0.129	0.366	251.251	227.344	3.000	249	226	3	5	4	1
0.916	7.799	38	38	12191	320.816	115.364	281.500	202	577	341.026	230.658	3.000	0.633	0.287	0.617	341.398	230.391	3.000	336	227	3	9	7	1
3.471	25.360	144	144	41789	290.201	68.076	273.000	202	536	296.389	245.861	3.000	1.337	0.582	1.353	296.752	245.701	3.000	287	239	3	19	14	1
0.723	7.586	30	30	7169	238.967	24.913	235.500	200	290	337.400	241.433	3.000	0.891	0.492	0.879	337.370	241.462	3.000	331	240	3	15	5	1
0.362	3.793	15	15	3223	214.867	11.495	220.000	200	234	265.733	246.800	3.000	0.403	0.187	0.434	265.761	246.823	3.000	264	245	3	5	5	1
5.206	34.647	216	216	62328	288.556	57.727	288.500	201	423	63.866	82.736	4.000	1.557	0.652	1.560	64.207	82.932	4.000	54	74	4	18	20	1
5.350	35.194	222	222	64395	290.068	70.692	270.500	201	481	40.802	87.869	4.000	1.510	0.613	1.530	40.835	88.455	4.000	34	78	4	14	21	1
0.603	5.805	25	25	6477	259.080	71.212	230.000	203	453	461.880	122.120	4.000	0.588	0.284	0.596	461.521	122.278	4.000	458	120	4	9	5	1
4.893	32.846	203	203	60688	298.956	69.098	285.000	200	469	64.645	83.010	6.000	1.576	0.683	1.544	65.020	83.359	6.000	54	74	6	18	21	1
5.061	32.742	210	210	62068	295.562	65.318	284.000	200	462	40.162	87.743	6.000	1.452	0.592	1.455	40.186	88.206	6.000	34	78	6	13	21	1
7.182	51.568	298	298	86830	291.376	83.668	271.000	200	660	474.685	131.550	6.000	1.910	0.781	1.925	473.891	131.943	6.000	462	119	6	25	26	1
0.265	2.911	11	11	2506	227.818	22.973	229.000	203	279	463.727	122.000	6.000	0.326	0.142	0.307	463.684	122.011	6.000	462	121	6	5	3	1
1.976	15.176	82	82	20773	253.329	57.180	236.500	200	460	493.451	137.744	6.000	0.923	0.398	0.914	493.182	138.141	6.000	488	132	6	13	12	1
0.362	3.599	15	15	3531	235.400	27.443	240.000	201	286	471.133	142.400	6.000	0.377	0.147	0.399	471.131	142.373	6.000	469	141	6	5	4	1
1.711	16.531	71	71	15436	217.408	18.086	214.000	200	284	456.366	152.225	6.000	1.099	0.507	1.104	456.361	152.138	6.000	452	144	6	11	17	1
34.393	207.009	1427	1427	469874	329.274	91.918	317.000	200	820	345.363	168.118	6.000	3.861	1.451	3.990	345.063	168.586	6.000	320	146	6	52	46	1
25.644	169.318	1064	1064	346416	325.579	144.773	285.000	200	1571	402.630	176.848	6.000	4.021	1.849	3.995	403.324	176.332	6.000	377	146	6	49	58	1
0.723	7.198	30	30	6983	232.767	30.347	224.500	203	320	469.400	149.400	6.000	0.770	0.341	0.759	469.591	149.511	6.000	464	147	6	11	7	1
4.627	32.844	192	192	83794	436.427	248.310	368.000	202	1597	237.984	178.760	6.000	1.512	0.717	1.420	238.394	179.417	6.000	228	169	6	19	22	1
0.241	2.787	10	10	2105	210.500	8.073	208.000	201	221	390.200	172.100	6.000	0.311	0.141	0.299	390.181	172.108	6.000	389	170	6	3	5	1
0.482	4.411	20	20	7607	380.350	155.782	312.000	213	733	280.050	176.100	6.000	0.415	0.152	0.479	280.087	176.103	6.000	278	174	6	5	5	1
87.006	534.021	3610	3610	1266433	350.812	139.513	316.000	200	1397	255.734	216.738	6.000	7.733	4.252	6.885	256.191	215.701	6.000	185	175	6	146	74	1
6.821	45.061	283	283	106857	377.587	143.833	350.000	201	1056	195.208	187.134	6.000	1.763	0.785	1.769	196.165	186.948	6.000	179	178	6	26	21	1
14.605	97.586	606	606	188208	310.574	103.384	284.000	200	747	318.513	199.538	6.000	3.040	1.093	2.928	318.674	200.431	6.000	303	178	6	31	41	1
0.362	3.599	15	15	3526	235.067	24.697	227.000	205	279	454.867	180.067	6.000	0.371	0.151	0.365	454.859	180.085	6.000	453	178	6	4	5	1
1.446	12.263	60	60	15782	263.033	44.963	256.500	200	365	144.183	185.767	6.000	0.991	0.498	0.970	144.178	185.763	6.000	139	179	6	11	14	1
0.362	3.599	15	15	3532	235.467	30.341	227.000	201	293	448.267	186.333	6.000	0.364	0.134	0.378	448.314	186.385	6.000	447	184	6	4	5	1
0.313	3.158	13	13	2908	223.692	16.194	220.000	204	252	424.000	193.000	6.000	0.347	0.156	0.352	423.990	192.978	6.000	423	191	6	3	5	1
8.942	57.488	371	371	130699	352.288	127.355	335.000	200	999	356.814	205.221	6.000	1.970	0.843	1.937	356.844	205.030	6.000	342	192	6	30	24	1
11.231	72.720	466	466	134407	288.427	68.882	274.500	200	496	159.202	210.315	6.000	2.125	0.833	2.178	158.939	210.415	6.000	145	198	6	28	26	1
