Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
33299.977	38227.133	1381669	273306	829814912	600.589	429.353	475.000	200	4081	321.210	253.247	16.076	36.437	17.322	34.971	327.832	250.784	15.297	153	0	1	298	512	30
0.289	3.139	12	12	2866	238.833	36.022	220.000	204	301	307.417	107.167	1.750	0.334	0.113	0.326	307.408	107.144	1.740	307	106	1	2	3	3
0.651	5.238	27	26	7557	279.889	59.488	279.000	200	425	384.259	203.111	1.815	0.427	0.104	0.438	384.217	203.098	1.815	383	202	1	4	3	3
0.675	5.184	28	26	8635	308.393	80.933	301.500	200	509	361.071	226.964	2.107	0.453	0.133	0.460	361.107	226.944	2.017	360	226	1	3	3	4
1.759	10.245	73	57	33539	459.438	237.785	377.000	201	1104	329.205	232.603	2.726	0.670	0.155	0.675	329.234	232.588	2.510	327	231	1	5	4	5
0.578	5.749	24	22	5854	243.917	42.910	239.000	200	346	301.500	378.917	2.000	0.459	0.138	0.464	301.504	378.868	1.930	300	377	1	4	4	4
2.169	12.872	90	62	37222	413.578	208.748	327.000	203	1092	261.000	403.867	3.767	0.764	0.200	0.734	260.981	403.860	3.688	259	402	1	5	5	6
0.362	3.563	15	15	4316	287.733	76.975	261.000	202	430	250.600	407.267	1.333	0.334	0.085	0.351	250.575	407.277	1.307	249	406	1	4	3	2
0.434	4.445	18	18	4458	247.667	40.144	234.500	201	334	245.167	444.500	1.222	0.374	0.121	0.385	245.150	444.524	1.188	243	443	1	5	4	2
0.241	3.139	10	10	2429	242.900	47.391	226.500	204	349	201.000	499.100	1.600	0.317	0.100	0.309	201.008	499.098	1.555	200	498	1	3	3	3
0.844	5.873	35	32	14719	420.543	192.852	355.000	205	969	215.657	507.886	1.886	0.471	0.090	0.475	215.689	507.940	1.737	214	506	1	4	4	3
1.157	8.410	48	42	14947	311.396	87.418	291.500	204	574	374.875	188.083	5.812	0.645	0.258	0.583	374.847	188.072	5.834	373	187	3	4	3	6
0.699	7.160	29	29	6585	227.069	18.634	223.000	201	270	294.345	278.034	4.586	0.624	0.214	0.651	294.382	278.031	4.582	291	277	3	8	3	4
2.025	13.701	84	67	27280	324.762	104.958	299.500	200	693	324.940	336.571	5.798	0.767	0.261	0.753	325.006	336.580	5.770	323	334	3	5	6	7
3.736	21.423	155	110	71122	458.852	267.235	372.000	200	1421	321.394	400.297	8.071	1.122	0.470	1.025	321.151	400.213	8.297	318	398	3	8	5	10
0.337	4.038	14	13	3050	217.857	16.811	212.500	202	254	359.929	168.857	5.071	0.399	0.144	0.420	359.938	168.863	5.073	359	168	4	3	3	4
0.362	3.774	15	14	3688	245.867	37.215	236.000	201	318	386.667	210.000	5.133	0.365	0.096	0.362	386.652	210.037	5.167	386	209	4	3	3	3
0.410	4.743	17	17	3652	214.824	8.784	214.000	202	228	342.235	212.118	5.588	0.428	0.166	0.407	342.237	212.120	5.581	341	211	4	4	3	4
3.350	19.096	139	95	53994	388.446	175.769	338.000	200	1040	356.165	58.986	8.518	0.916	0.295	0.936	356.249	59.155	8.533	354	55	5	6	8	8
1.494	10.262	62	47	24786	399.774	184.626	333.000	200	953	313.468	396.177	10.048	0.661	0.228	0.597	313.402	396.142	10.050	312	395	7	4	4	7
0.241	2.874	10	10	2091	209.100	10.429	205.500	201	229	319.500	203.000	9.000	0.300	0.111	0.278	319.501	203.003	8.998	319	202	8	2	3	3
0.506	4.867	21	19	5227	248.905	44.303	240.000	200	369	293.857	371.857	10.095	0.417	0.125	0.430	293.859	371.864	10.104	293	371	9	3	3	4
0.362	4.479	15	15	3145	209.667	7.979	209.000	200	224	294.933	1.400	11.000	0.394	0.142	0.418	294.934	1.403	10.990	294	0	10	3	4	3
2.410	13.437	100	66	29173	291.730	68.997	274.000	200	457	298.440	102.860	12.690	0.762	0.173	0.746	298.426	102.863	12.673	296	101	10	6	5	6
0.554	5.255	23	20	6563	285.348	67.348	271.000	208	473	305.826	383.087	12.043	0.440	0.151	0.459	305.829	383.103	12.030	305	382	10	3	3	5
0.386	4.038	16	15	3946	246.625	35.381	239.000	208	338	262.188	19.125	12.125	0.384	0.099	0.407	262.170	19.136	12.125	261	18	11	3	3	3
0.819	6.912	34	28	9263	272.441	54.735	263.500	202	389	362.088	277.735	12.882	0.526	0.177	0.500	362.114	277.718	12.894	361	276	11	4	4	5
0.434	4.162	18	17	4870	270.556	57.473	255.000	201	386	374.611	354.111	15.222	0.399	0.128	0.388	374.592	354.140	15.189	374	353	14	3	3	4
0.627	5.960	26	24	6186	237.923	33.264	229.000	200	326	274.115	404.962	15.346	0.491	0.187	0.430	274.122	404.949	15.355	273	404	14	3	4	5
1.133	11.355	47	44	10652	226.638	20.983	224.000	200	278	336.170	192.085	18.809	1.026	0.561	0.998	336.163	192.098	18.800	335	190	15	4	5	11
0.940	6.929	39	36	12835	329.103	105.472	299.000	202	647	314.949	396.000	17.103	0.558	0.202	0.503	314.942	395.998	17.148	314	395	15	3	3	5
3.904	18.393	162	100	41416	255.654	39.477	253.500	200	346	278.253	13.722	18.636	0.879	0.139	0.871	278.270	13.715	18.644	275	11	16	8	7	6
0.265	3.527	11	11	2395	217.727	14.444	216.000	200	241	336.091	217.545	16.818	0.366	0.149	0.347	336.075	217.531	16.800	335	217	16	4	3	3
0.771	6.983	32	29	7526	235.188	29.516	227.500	200	289	245.062	474.562	18.375	0.547	0.206	0.551	245.086	474.550	18.396	243	473	16	5	4	5
6.218	31.847	258	169	81702	316.674	130.359	274.000	200	977	28.236	502.791	20.612	1.185	0.397	1.174	28.021	502.688	20.407	21	500	16	14	8	9
0.289	3.720	12	11	2915	242.917	40.585	229.000	205	333	359.000	190.833	18.667	0.380	0.135	0.332	358.982	190.833	18.685	358	190	17	3	3	4
1.205	8.393	50	42	15599	311.980	86.131	294.000	204	559	389.600	216.120	19.320	0.600	0.197	0.599	389.581	216.131	19.299	388	215	17	5	3	6
0.410	5.255	17	17	3599	211.706	11.296	207.000	201	237	245.765	503.118	19.118	0.756	0.334	0.799	245.730	503.130	19.142	243	502	17	6	3	6
10.870	49.914	451	322	159435	353.514	120.412	320.000	200	733	127.182	509.996	23.661	1.566	0.559	1.560	127.052	510.119	23.478	119	507	17	16	5	14
0.699	6.665	29	26	6528	225.103	19.371	223.000	200	267	336.724	92.069	20.586	0.547	0.223	0.514	336.725	92.072	20.588	335	91	18	4	4	6
0.313	3.527	13	13	2984	229.538	22.846	225.000	201	263	341.462	185.231	21.462	0.379	0.159	0.306	341.463	185.214	21.465	341	184	20	2	3	4
0.603	5.378	25	23	7138	285.520	60.010	277.000	203	406	325.640	312.200	21.720	0.456	0.143	0.442	325.620	312.189	21.760	325	311	20	3	4	4
0.265	3.333	11	11	2257	205.182	5.419	202.000	200	215	247.364	499.636	21.000	0.371	0.145	0.410	247.360	499.631	20.998	247	498	20	2	4	3
1.012	7.758	42	35	12782	304.333	91.695	284.000	202	530	371.619	46.000	24.238	0.576	0.205	0.551	371.600	46.010	24.245	370	45	22	4	3	6
1.253	9.399	52	44	12960	249.231	38.907	243.000	200	335	131.327	503.673	24.019	0.591	0.159	0.589	131.383	503.674	23.988	129	502	22	6	4	5
0.337	3.456	14	14	4136	295.429	78.111	276.500	201	435	34.500	510.571	23.000	0.350	0.115	0.423	34.512	510.644	23.013	33	510	22	4	2	3
2.482	20.735	103	97	28862	280.214	83.386	249.000	200	574	24.175	510.165	26.612	1.108	0.486	1.080	24.493	510.237	26.790	17	507	22	12	5	9
0.506	5.977	21	21	4721	224.810	17.311	225.000	201	255	327.238	35.762	25.952	0.702	0.402	0.766	327.256	35.744	25.839	326	35	23	3	3	8
1.109	8.323	46	40	12342	268.304	62.107	260.500	200	419	323.196	305.000	25.000	0.617	0.223	0.550	323.155	305.040	25.074	322	303	23	4	5	5
5.254	25.236	218	147	83792	384.367	160.926	335.000	201	885	4.844	506.491	27.789	1.040	0.278	1.023	4.630	506.606	28.087	1	502	23	9	9	8
0.337	3.774	14	13	2962	211.571	8.993	209.500	202	226	314.429	185.929	25.571	0.360	0.117	0.338	314.437	185.922	25.570	313	185	24	3	3	4
0.458	4.814	19	19	4502	236.947	23.794	242.000	203	283	338.632	218.316	27.000	0.461	0.213	0.435	338.620	218.314	27.004	338	217	25	3	3	5
1.181	9.380	49	49	17380	354.694	127.507	323.000	201	667	41.449	510.633	28.000	0.640	0.252	0.616	41.455	510.711	28.004	39	510	25	6	2	6
0.289	3.139	12	12	2814	234.500	33.641	217.500	201	294	321.333	311.500	27.083	0.337	0.121	0.387	321.312	311.516	27.120	320	311	26	3	2	3
0.241	3.209	10	10	2146	214.600	11.296	211.500	202	233	300.500	318.100	27.200	0.389	0.177	0.385	300.493	318.096	27.214	300	317	26	2	3	4
1.422	11.869	59	56	12793	216.831	15.623	210.000	200	261	219.593	470.288	28.644	0.755	0.316	0.701	219.557	470.214	28.700	218	466	26	5	9	5
0.410	4.479	17	17	3944	232.000	22.875	229.000	200	268	333.412	67.353	29.000	0.448	0.206	0.426	333.421	67.349	29.021	332	66	27	3	4	4
0.747	6.578	31	29	6854	221.097	16.499	222.000	200	254	256.903	355.355	29.129	0.483	0.143	0.469	256.897	355.353	29.144	255	354	27	5	4	4
0.241	2.627	10	10	2211	221.100	10.898	217.500	205	239	236.500	475.400	28.200	0.320	0.121	0.350	236.498	475.391	28.212	236	475	27	2	2	3
3.446	22.790	143	130	35467	248.021	32.655	243.000	201	344	290.112	484.580	29.266	1.092	0.472	1.111	290.001	484.633	29.282	285	477	27	12	15	4
0.289	2.821	12	12	2993	249.417	20.456	253.000	204	275	336.500	185.500	29.000	0.344	0.124	0.428	336.500	185.484	29.045	336	185	28	2	2	3
0.386	3.897	16	16	3904	244.000	42.371	234.500	201	350	403.062	185.750	29.312	0.371	0.119	0.371	403.050	185.745	29.373	402	185	28	3	3	3
0.434	4.144	18	17	4199	233.278	24.652	230.500	201	293	237.000	496.889	29.500	0.367	0.089	0.338	237.010	496.906	29.518	236	495	28	3	4	3
0.458	4.198	19	19	4308	226.737	22.236	222.000	202	281	215.053	456.895	29.632	0.364	0.100	0.360	215.046	456.896	29.644	214	455	29	3	5	2
