Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
203.535	1132.842	8445	7623	4282957	507.159	290.856	424.000	200	2477	153.784	227.723	7.806	15.610	10.393	13.300	154.166	226.387	7.945	68	76	1	127	306	9
141.571	417.152	5874	3153	3027883	515.472	309.200	422.000	200	2202	176.641	226.570	4.945	5.046	2.710	4.662	176.192	226.750	5.202	162	186	1	35	93	7
7.230	37.524	300	228	106482	354.940	160.375	306.000	200	1046	193.117	248.073	4.463	1.269	0.419	1.231	193.428	248.069	4.387	189	241	1	7	16	7
11.038	46.365	458	299	207933	454.002	214.321	392.500	200	1352	192.234	268.526	5.148	1.476	0.540	1.397	192.476	268.083	5.325	188	258	1	8	21	7
133.256	548.459	5529	3798	2512990	454.511	277.614	360.000	200	2495	176.837	316.241	5.262	5.561	2.280	5.595	177.086	315.434	5.279	151	280	1	44	82	7
0.386	4.426	16	14	4209	263.062	51.849	259.000	203	389	189.938	318.875	2.812	0.409	0.133	0.404	189.930	318.879	2.773	189	318	1	3	3	4
2.025	13.774	84	69	33023	393.131	178.314	341.500	201	936	179.464	364.905	3.940	0.730	0.225	0.701	179.455	364.630	4.052	177	361	1	6	10	5
1.012	7.036	42	37	13972	332.667	115.294	304.000	201	655	176.048	374.786	2.429	0.536	0.136	0.560	176.039	374.847	2.270	175	373	1	3	5	4
91.657	353.121	3803	2607	1977518	519.989	381.077	399.000	200	3000	138.417	420.090	3.612	5.140	2.587	5.016	140.175	419.469	3.640	99	393	1	71	57	5
5.206	32.617	216	186	70161	324.819	128.948	285.000	202	941	79.954	438.986	3.986	1.224	0.498	1.190	79.463	439.319	3.786	74	430	1	17	13	5
1.398	8.623	58	46	30330	522.931	309.506	436.000	203	1429	82.897	452.552	2.207	0.594	0.110	0.578	82.894	452.551	1.924	81	451	1	5	4	4
7.086	37.303	294	227	113558	386.252	168.020	336.500	200	976	56.027	452.347	3.755	1.322	0.548	1.287	56.403	452.602	3.910	44	446	1	19	11	5
13.690	72.588	568	468	237837	418.727	219.573	344.000	200	1383	86.901	74.092	5.121	2.158	1.126	1.969	86.590	73.510	5.208	71	62	2	33	25	5
0.651	5.378	27	25	6879	254.778	41.956	240.000	202	362	185.000	275.926	3.741	0.458	0.140	0.445	185.003	275.925	3.719	184	275	2	3	3	4
0.434	4.232	18	18	4721	262.278	48.730	254.500	204	361	68.444	445.222	3.444	0.421	0.163	0.378	68.438	445.225	3.438	68	444	2	2	3	4
1.808	14.074	75	68	30151	402.013	214.809	318.000	200	1136	37.920	449.667	4.333	0.822	0.374	0.804	38.357	449.227	4.381	31	446	2	11	8	4
2.338	15.945	97	88	32961	339.804	109.165	309.000	200	610	2.866	447.072	4.278	0.802	0.313	0.761	2.892	447.397	4.364	0	441	2	8	10	4
0.506	5.696	21	21	9111	433.857	222.109	364.000	203	975	28.619	38.762	5.190	0.476	0.178	0.478	28.628	38.676	5.319	26	38	3	6	3	4
10.580	66.070	439	423	152080	346.424	139.511	310.000	200	1002	19.499	45.877	5.558	2.258	1.215	1.894	20.265	46.334	5.618	2	32	3	36	24	4
27.138	143.815	1126	966	413231	366.990	169.487	309.000	200	1268	101.463	108.909	5.309	4.796	2.678	4.529	101.565	109.026	5.388	71	77	3	57	60	4
3.446	17.867	143	111	49328	344.951	97.198	338.000	201	592	109.385	94.392	4.979	0.845	0.246	0.853	109.302	94.191	5.052	105	90	3	10	10	4
1.085	8.042	45	41	12806	284.578	59.955	278.000	200	452	113.978	104.311	5.000	0.555	0.172	0.508	114.006	104.393	4.996	112	101	3	4	7	4
2.844	16.774	118	100	36033	305.364	73.724	300.000	200	539	123.873	113.831	5.144	0.768	0.228	0.773	123.812	113.883	5.192	121	108	3	9	10	4
0.289	2.821	12	12	3047	253.917	39.142	259.000	204	323	158.500	189.500	4.000	0.344	0.124	0.428	158.500	189.448	4.007	158	189	3	2	2	3
0.289	3.386	12	11	2610	217.500	13.635	216.500	201	248	185.833	248.917	4.333	0.341	0.079	0.333	185.828	248.920	4.341	185	248	3	3	3	3
1.012	8.376	42	36	11629	276.881	74.987	259.000	200	482	185.952	254.929	4.405	0.577	0.178	0.590	185.912	254.814	4.454	184	253	3	5	6	4
