Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
16439.041	28954.211	682082	192666	313296480	459.324	275.780	370.000	200	3291	265.501	342.412	16.170	30.111	10.295	29.348	262.618	338.540	15.502	113	178	1	399	334	27
4.218	22.024	175	124	97352	556.297	353.262	428.000	200	1783	223.851	216.909	3.549	0.997	0.308	1.021	223.620	216.854	3.494	221	214	1	9	7	7
1.494	9.171	62	51	35350	570.161	378.536	452.500	200	1658	233.532	221.516	1.855	0.580	0.100	0.596	233.480	221.544	1.639	231	219	1	6	6	3
0.940	6.719	39	35	12393	317.769	91.444	301.000	210	557	363.538	283.949	2.590	0.519	0.132	0.503	363.562	283.963	2.551	362	283	1	4	3	4
0.410	4.355	17	16	4355	256.176	49.350	251.000	201	359	391.647	303.529	2.765	0.417	0.154	0.377	391.644	303.544	2.740	391	302	1	3	4	4
0.651	5.766	27	25	6932	256.741	54.084	231.000	200	406	360.037	306.963	2.519	0.463	0.140	0.406	360.030	306.964	2.546	359	306	1	3	3	4
0.723	5.361	30	28	10875	362.500	144.217	329.000	202	743	371.600	317.967	1.833	0.447	0.094	0.453	371.602	317.973	1.705	370	317	1	4	3	3
18.341	84.087	761	519	324791	426.795	295.673	314.000	200	2088	157.043	361.635	2.933	1.907	0.654	1.976	158.062	361.959	2.634	149	349	1	20	24	8
0.241	2.681	10	10	2982	298.200	58.324	293.000	218	403	148.300	359.300	1.400	0.290	0.058	0.296	148.321	359.314	1.392	147	358	1	3	3	2
1.639	10.087	68	53	37957	558.191	350.097	467.500	206	1593	173.632	365.824	2.221	0.625	0.103	0.627	173.596	365.819	1.949	171	364	1	6	5	4
4.724	22.676	196	123	104126	531.255	338.511	410.000	200	1798	143.673	377.872	5.031	1.018	0.297	1.001	143.631	378.112	4.938	141	373	1	6	9	8
73.485	283.921	3049	1589	1064595	349.162	151.198	299.000	200	1190	378.997	300.579	12.150	3.698	1.293	3.702	378.773	301.025	11.833	366	284	2	27	42	26
7.230	29.218	300	167	216868	722.893	587.690	485.000	200	2894	181.007	386.203	7.547	1.223	0.359	1.230	180.982	386.194	7.278	178	383	2	7	8	11
3.205	18.621	133	90	57669	433.602	247.004	330.000	200	1289	168.338	389.609	5.286	0.867	0.241	0.871	168.095	389.555	5.228	165	388	2	9	5	7
1.615	11.021	67	49	28815	430.075	212.097	368.000	202	1090	212.224	459.239	5.149	0.683	0.206	0.632	212.172	459.188	5.111	210	457	2	5	5	7
2.723	17.174	113	87	41530	367.522	189.334	286.000	200	1048	367.292	324.876	6.088	0.878	0.298	0.848	367.530	324.852	6.292	363	323	3	8	5	7
1.398	11.215	58	50	18949	326.707	110.875	296.500	201	694	142.190	388.603	5.241	0.650	0.224	0.655	142.314	388.676	5.209	139	386	3	6	6	5
0.699	5.572	29	26	7982	275.241	63.469	262.000	200	460	321.069	252.034	5.966	0.467	0.152	0.467	321.082	252.042	5.956	320	251	4	3	3	5
1.109	8.006	46	41	13766	299.261	95.043	278.500	200	589	356.978	314.457	6.109	0.602	0.205	0.563	356.993	314.356	6.225	356	313	4	3	5	5
0.265	3.068	11	11	2459	223.545	15.795	219.000	204	258	255.091	435.545	4.909	0.315	0.114	0.305	255.084	435.548	4.911	254	435	4	3	2	3
1.542	9.680	64	48	27546	430.406	213.568	353.000	203	1032	228.453	206.688	7.422	0.666	0.209	0.681	228.436	206.741	7.364	227	205	5	4	4	6
1.205	8.517	50	42	18955	379.100	150.165	344.000	208	836	230.040	433.360	7.000	0.599	0.173	0.564	230.028	433.313	6.974	228	432	5	5	4	5
4.579	21.918	190	116	95511	502.689	321.552	380.000	200	1657	210.258	213.311	10.174	1.037	0.326	0.984	210.504	213.072	9.826	207	210	6	7	7	9
0.795	6.665	33	27	9901	300.030	86.906	270.000	206	503	316.455	229.848	8.152	0.519	0.170	0.508	316.469	229.834	8.160	315	229	6	4	3	5
0.723	5.572	30	28	8056	268.533	47.068	265.000	203	376	238.933	432.967	7.667	0.484	0.149	0.442	238.913	432.987	7.659	238	432	6	3	3	4
0.289	3.456	12	11	2886	240.500	36.448	232.500	202	320	274.750	481.250	7.000	0.349	0.096	0.400	274.751	481.230	6.992	274	480	6	3	3	3
0.313	3.720	13	13	3002	230.923	28.212	218.000	202	283	206.077	253.615	8.462	0.409	0.168	0.353	206.080	253.617	8.467	205	253	7	3	2	4
0.265	2.945	11	11	2361	214.636	12.793	214.000	201	236	385.364	282.818	8.364	0.316	0.098	0.298	385.374	282.817	8.373	385	282	7	2	3	3
2.362	12.678	98	68	44393	452.990	225.919	376.500	203	1110	212.694	204.469	10.418	0.762	0.197	0.742	212.733	204.522	10.378	210	203	8	6	4	6
2.121	14.019	88	74	28287	321.443	108.642	285.000	204	743	386.670	308.898	9.989	0.756	0.232	0.802	386.816	308.800	9.979	384	306	8	6	7	5
0.265	3.262	11	10	2655	241.364	33.927	230.000	203	313	209.273	471.182	8.909	0.338	0.093	0.343	209.271	471.179	8.882	208	470	8	3	3	3
14.654	70.850	608	390	205560	338.092	147.550	288.500	200	1037	4.036	6.342	18.623	2.158	0.951	2.097	3.732	6.273	18.347	0	0	9	14	14	19
0.771	6.154	32	28	10927	341.469	108.843	316.000	215	598	177.312	458.938	10.500	0.509	0.138	0.527	177.346	458.904	10.484	176	458	9	4	3	4
0.506	4.726	21	19	4825	229.762	24.599	217.000	200	276	253.524	486.000	10.238	0.405	0.086	0.405	253.523	485.997	10.256	252	485	9	4	3	3
0.386	4.162	16	15	4143	258.938	39.046	266.500	202	327	213.500	220.375	11.812	0.402	0.143	0.374	213.490	220.391	11.829	212	219	10	4	3	4
2.675	15.252	111	78	56278	507.009	314.027	410.000	201	1500	124.541	372.378	13.225	0.860	0.294	0.806	124.441	372.361	13.000	122	370	10	7	5	8
0.434	3.968	18	17	4391	243.944	29.327	244.500	201	310	264.944	484.389	11.056	0.388	0.101	0.423	264.960	484.395	11.037	264	483	10	3	3	3
6.483	29.838	269	157	98793	367.260	165.459	304.000	200	904	204.944	179.903	14.186	1.134	0.300	1.123	205.338	179.615	14.224	199	177	11	11	9	8
0.916	7.177	38	32	12624	332.211	115.584	317.000	203	617	243.053	212.368	12.842	0.548	0.179	0.525	243.029	212.393	12.814	242	211	11	3	4	5
1.133	7.741	47	41	14719	313.170	101.343	273.000	201	592	162.106	215.830	12.511	0.560	0.138	0.591	162.050	215.716	12.508	161	214	11	3	5	4
0.699	6.154	29	25	7161	246.931	37.978	235.000	205	335	314.276	233.897	13.103	0.499	0.170	0.473	314.306	233.881	13.117	313	233	11	4	3	5
0.410	4.355	17	15	3834	225.529	23.775	216.000	201	279	390.941	298.941	12.412	0.398	0.117	0.349	390.935	298.955	12.416	390	298	11	3	3	4
60.542	210.854	2512	1225	962908	383.323	223.443	300.000	200	1805	501.212	475.332	17.743	2.600	0.826	2.539	501.194	474.730	17.467	488	464	11	24	28	17
0.434	4.091	18	17	4226	234.778	28.546	238.500	201	284	492.889	506.111	11.778	0.380	0.091	0.376	492.862	506.080	11.748	492	505	11	3	3	3
0.241	3.068	10	10	2162	216.200	12.985	213.500	200	241	220.900	187.600	12.600	0.320	0.104	0.310	220.882	187.614	12.598	220	187	12	3	2	3
0.747	6.207	31	28	9499	306.419	90.842	285.000	203	538	153.548	214.000	13.323	0.489	0.134	0.493	153.608	213.926	13.318	152	213	12	4	4	4
0.434	4.355	18	18	4387	243.722	36.748	237.500	201	327	510.556	469.056	13.389	0.398	0.152	0.357	510.588	469.071	13.381	509	468	12	3	3	4
8.219	40.307	341	218	106025	310.924	96.836	280.000	200	628	500.692	509.053	18.056	1.485	0.619	1.358	500.698	509.094	17.895	496	506	12	11	6	14
