Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
4235	2580	4235	1462	8470	2	0	2	2	2	274.022	185.120	5.717	10.345	2.916	10.826	274.022	185.120	5.717	260	171	1	27	28	14
11628	3998	11628	2100	69768	6	0	6	6	6	258.361	228.298	15.672	13.793	1.721	13.908	258.361	228.298	15.672	245	214	1	27	32	31
10779	3736	10779	1987	43116	4	0	4	4	4	269.852	146.864	14.291	13.261	1.536	13.464	269.852	146.864	14.291	256	132	3	30	32	23
12009	3832	12009	2122	108081	9	0	9	9	9	231.596	418.918	19.897	13.796	0.839	13.816	231.580	418.917	19.897	218	404	5	28	30	27
6708	3128	6708	1849	33540	5	0	5	5	5	266.892	203.652	20.316	11.635	2.800	11.721	266.892	203.652	20.316	251	187	7	27	28	25
13001	4010	13001	2398	130010	10	0	10	10	10	247.831	332.726	21.581	14.241	1.487	14.344	247.831	332.726	21.581	234	317	8	30	32	24
10045	3816	10045	2224	80360	8	0	8	8	8	236.343	47.643	21.972	12.592	2.279	12.905	236.343	47.643	21.972	221	35	9	31	26	23
3548	1866	3548	1109	24836	7	0	7	7	7	258.090	195.222	21.153	9.416	1.866	9.433	258.090	195.222	21.153	250	185	9	16	19	23
8703	3166	8703	1851	104436	12	0	12	12	12	255.621	71.379	23.331	12.565	1.780	12.729	255.621	71.379	23.331	242	57	10	27	30	22
5323	2194	5323	1434	58553	11	0	11	11	11	197.624	5.712	23.321	10.835	2.257	10.561	197.624	5.712	23.321	183	0	12	29	15	20
5553	2536	5553	1524	72189	13	0	13	13	13	244.429	119.110	26.029	11.202	2.633	11.076	244.427	119.110	26.029	231	106	17	29	28	15
3595	2052	3595	1269	50330	14	0	14	14	14	252.104	147.887	27.942	10.004	2.671	10.332	252.104	147.887	27.942	238	135	22	29	26	10
