Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
43805.473	25026.816	1817558	235853	159993248	88.026	109.604	43	1	1512	280.552	161.137	16.187	34.904	15.039	33.970	319.064	169.250	17.921	44	0	1	468	297	29
0.386	3.757	16	16	16	1.000	0.000	1	1	1	152.188	0.938	1.375	0.335	0.078	0.341	152.188	0.938	1.375	151	0	1	4	3	2
4.338	25.662	180	153	180	1.000	0.000	1	1	1	165.311	3.150	3.028	0.974	0.302	0.954	165.311	3.150	3.028	160	0	1	12	8	5
0.434	4.709	18	18	19	1.056	0.236	1	1	2	201.000	12.000	1.278	0.360	0.106	0.368	201.000	12.000	1.263	199	10	1	5	5	2
0.313	3.068	13	13	13	1.000	0.000	1	1	1	194.000	16.462	2.385	0.324	0.091	0.320	194.000	16.462	2.385	193	16	1	3	2	3
0.265	2.911	11	11	11	1.000	0.000	1	1	1	140.818	76.545	1.000	0.318	0.121	0.324	140.818	76.545	1.000	139	75	1	4	4	1
0.313	3.158	13	13	13	1.000	0.000	1	1	1	200.615	93.385	1.000	0.335	0.115	0.377	200.615	93.385	1.000	199	92	1	4	4	1
0.289	3.034	12	12	12	1.000	0.000	1	1	1	486.500	106.500	1.000	0.321	0.107	0.393	486.500	106.500	1.000	485	105	1	4	4	1
0.578	4.762	24	24	24	1.000	0.000	1	1	1	235.000	140.125	1.375	0.403	0.122	0.386	235.000	140.125	1.375	234	138	1	3	5	2
0.313	3.158	13	13	13	1.000	0.000	1	1	1	441.231	144.154	1.000	0.360	0.155	0.345	441.231	144.154	1.000	439	143	1	5	3	1
0.265	3.105	11	11	11	1.000	0.000	1	1	1	167.909	150.455	1.000	0.364	0.158	0.385	167.909	150.455	1.000	166	149	1	5	4	1
0.241	2.787	10	10	10	1.000	0.000	1	1	1	414.100	150.900	1.000	0.305	0.137	0.295	414.100	150.900	1.000	412	150	1	5	3	1
0.337	3.475	14	14	14	1.000	0.000	1	1	1	368.214	172.000	1.000	0.393	0.187	0.354	368.214	172.000	1.000	367	170	1	3	6	1
0.265	2.717	11	11	11	1.000	0.000	1	1	1	304.091	175.364	1.000	0.311	0.116	0.314	304.091	175.364	1.000	303	174	1	3	4	1
0.313	3.492	13	13	13	1.000	0.000	1	1	1	276.231	188.000	1.154	0.337	0.117	0.319	276.231	188.000	1.154	275	186	1	4	4	2
0.362	3.599	15	15	15	1.000	0.000	1	1	1	267.400	204.200	1.000	0.400	0.179	0.401	267.400	204.200	1.000	265	203	1	6	3	1
1.567	11.127	65	56	65	1.000	0.000	1	1	1	273.600	206.615	4.046	0.776	0.285	0.787	273.600	206.615	4.046	271	205	1	5	5	6
0.362	3.793	15	15	15	1.000	0.000	1	1	1	372.467	216.800	1.000	0.437	0.207	0.467	372.467	216.800	1.000	371	214	1	4	6	1
3.784	24.518	157	143	157	1.000	0.000	1	1	1	309.357	217.962	3.051	1.127	0.440	1.113	309.357	217.962	3.051	300	213	1	15	11	5
0.434	4.164	18	18	18	1.000	0.000	1	1	1	276.778	218.222	1.000	0.410	0.163	0.438	276.778	218.222	1.000	274	217	1	6	4	1
