Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
105483.609	53315.465	4376683	514071	1801751296	411.671	510.052	225.000	1	4015	233.624	266.789	15.443	44.931	18.720	46.051	247.268	248.297	16.302	0	0	1	512	475	29
0.337	3.546	14	14	14	1.000	0.000	1.000	1	1	167.857	12.286	1.071	0.365	0.149	0.361	167.857	12.286	1.071	167	10	1	3	5	2
0.313	3.633	13	13	13	1.000	0.000	1.000	1	1	176.000	67.538	1.615	0.399	0.192	0.364	176.000	67.538	1.615	175	66	1	3	5	3
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	180.000	72.000	1.100	0.281	0.099	0.301	180.000	72.000	1.100	179	71	1	3	3	2
0.482	5.327	20	20	20	1.000	0.000	1.000	1	1	80.350	81.750	1.100	0.470	0.223	0.438	80.350	81.750	1.100	79	78	1	5	7	2
0.723	6.861	30	30	31	1.033	0.183	1.000	1	2	82.200	96.200	1.400	0.466	0.171	0.439	82.161	96.194	1.387	80	94	1	6	6	3
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	506.000	107.000	1.100	0.281	0.099	0.301	506.000	107.000	1.100	505	106	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	181.000	136.000	1.100	0.281	0.099	0.301	181.000	136.000	1.100	180	135	1	3	3	2
0.578	5.715	24	24	24	1.000	0.000	1.000	1	1	487.083	140.542	1.292	0.451	0.164	0.450	487.083	140.542	1.292	486	138	1	3	6	3
0.458	4.709	19	19	23	1.211	0.535	1.000	1	3	87.947	144.053	1.316	0.365	0.103	0.373	87.913	144.087	1.261	86	142	1	5	5	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	103.000	144.000	1.100	0.281	0.099	0.301	103.000	144.000	1.100	102	143	1	3	3	2
0.434	4.198	18	18	18	1.000	0.000	1.000	1	1	88.833	153.333	1.333	0.373	0.117	0.358	88.833	153.333	1.333	87	152	1	4	4	2
0.747	7.407	31	30	31	1.000	0.000	1.000	1	1	185.000	156.129	2.452	0.559	0.198	0.569	185.000	156.129	2.452	184	154	1	4	6	4
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	92.000	158.000	1.357	0.318	0.068	0.353	92.000	158.000	1.333	91	157	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	192.000	160.000	1.100	0.281	0.099	0.301	192.000	160.000	1.100	191	159	1	3	3	2
0.289	3.228	12	12	12	1.000	0.000	1.000	1	1	470.500	165.000	1.000	0.336	0.133	0.325	470.500	165.000	1.000	469	163	1	4	5	1
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	418.000	171.000	1.357	0.318	0.068	0.353	418.000	171.000	1.333	417	170	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	114.000	172.000	1.100	0.281	0.099	0.301	114.000	172.000	1.100	113	171	1	3	3	2
0.362	3.633	15	15	16	1.067	0.258	1.000	1	2	198.200	173.267	1.533	0.367	0.127	0.341	198.188	173.250	1.500	197	172	1	3	3	3
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	331.000	179.000	1.100	0.281	0.099	0.301	331.000	179.000	1.100	330	178	1	3	3	2
0.362	3.793	15	15	15	1.000	0.000	1.000	1	1	107.667	182.133	1.000	0.412	0.186	0.435	107.667	182.133	1.000	106	180	1	4	6	1
0.434	4.709	18	18	20	1.111	0.471	1.000	1	3	111.000	186.000	1.278	0.360	0.106	0.368	111.000	186.000	1.250	109	184	1	5	5	2
0.482	4.215	20	19	20	1.000	0.000	1.000	1	1	211.000	187.950	2.500	0.377	0.099	0.394	211.000	187.950	2.500	210	187	1	3	3	4
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	429.000	188.000	1.100	0.281	0.099	0.301	429.000	188.000	1.100	428	187	1	3	3	2
0.458	5.468	19	19	19	1.000	0.000	1.000	1	1	384.895	195.158	1.263	0.482	0.194	0.470	384.895	195.158	1.263	383	193	1	5	6	3
0.458	5.114	19	19	20	1.053	0.229	1.000	1	2	410.316	193.789	1.789	0.420	0.188	0.403	410.300	193.800	1.750	409	193	1	4	3	4
0.458	4.869	19	19	19	1.000	0.000	1.000	1	1	107.421	199.895	1.000	0.515	0.255	0.483	107.421	199.895	1.000	105	197	1	6	7	1
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	235.000	198.000	1.100	0.281	0.099	0.301	235.000	198.000	1.100	234	197	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	246.000	199.000	1.100	0.281	0.099	0.301	246.000	199.000	1.100	245	198	1	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	264.000	204.000	1.357	0.318	0.068	0.353	264.000	204.000	1.333	263	203	1	3	3	2
1.036	9.452	43	39	44	1.023	0.152	1.000	1	2	509.093	202.744	2.535	0.640	0.242	0.643	509.091	202.750	2.500	507	200	1	5	6	5
0.265	3.262	11	11	11	1.000	0.000	1.000	1	1	111.818	206.000	1.545	0.312	0.079	0.309	111.818	206.000	1.545	110	205	1	4	3	2
0.603	6.297	25	25	25	1.000	0.000	1.000	1	1	118.440	211.960	1.360	0.520	0.188	0.537	118.440	211.960	1.360	117	209	1	4	6	3
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	510.000	211.000	1.100	0.281	0.099	0.301	510.000	211.000	1.100	509	210	1	3	3	2
0.458	4.956	19	19	19	1.000	0.000	1.000	1	1	220.316	216.421	1.263	0.394	0.143	0.376	220.316	216.421	1.263	218	214	1	5	5	2
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	227.000	217.000	1.357	0.318	0.068	0.353	227.000	217.000	1.333	226	216	1	3	3	2
0.241	2.593	10	10	10	1.000	0.000	1.000	1	1	306.800	222.000	1.000	0.291	0.113	0.308	306.800	222.000	1.000	305	221	1	4	3	1
0.506	6.190	21	20	21	1.000	0.000	1.000	1	1	244.667	224.143	1.952	0.627	0.225	0.589	244.667	224.143	1.952	241	223	1	7	3	4
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	294.000	238.000	1.100	0.281	0.099	0.301	294.000	238.000	1.100	293	237	1	3	3	2
1.012	9.576	42	40	45	1.071	0.342	1.000	1	3	130.929	263.976	2.000	0.641	0.235	0.627	130.867	264.022	1.933	129	261	1	6	6	5
0.458	4.973	19	19	20	1.053	0.229	1.000	1	2	149.158	279.421	1.684	0.472	0.180	0.486	149.200	279.450	1.650	147	278	1	5	4	3
0.265	3.051	11	11	11	1.000	0.000	1.000	1	1	161.909	284.909	1.182	0.302	0.099	0.321	161.909	284.909	1.182	161	284	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	414.000	456.000	1.100	0.281	0.099	0.301	414.000	456.000	1.100	413	455	1	3	3	2
0.289	3.650	12	12	12	1.000	0.000	1.000	1	1	179.000	83.667	3.083	0.370	0.169	0.381	179.000	83.667	3.083	178	83	2	4	3	3
0.434	4.620	18	16	18	1.000	0.000	1.000	1	1	486.111	120.889	3.833	0.419	0.129	0.427	486.111	120.889	3.833	485	120	2	3	3	4
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	287.000	210.000	3.000	0.382	0.086	0.390	287.000	210.000	3.000	286	209	2	3	3	3
0.337	3.844	14	13	14	1.000	0.000	1.000	1	1	95.643	177.643	4.214	0.386	0.146	0.359	95.643	177.643	4.214	95	177	3	3	3	4
0.434	5.572	18	17	18	1.000	0.000	1.000	1	1	206.611	187.000	4.500	0.569	0.307	0.510	206.611	187.000	4.500	205	185	3	5	4	5
0.458	4.726	19	18	19	1.000	0.000	1.000	1	1	310.211	217.526	4.421	0.401	0.135	0.381	310.211	217.526	4.421	309	216	3	4	4	4
0.410	4.797	17	17	17	1.000	0.000	1.000	1	1	283.471	238.941	4.059	0.435	0.165	0.451	283.471	238.941	4.059	282	238	3	5	3	3
0.434	4.285	18	17	19	1.056	0.236	1.000	1	2	184.611	139.111	5.167	0.393	0.112	0.405	184.632	139.105	5.158	184	138	4	3	4	3
0.313	3.985	13	13	13	1.000	0.000	1.000	1	1	197.462	167.308	6.692	0.475	0.273	0.347	197.462	167.308	6.692	197	167	4	2	2	6
0.410	4.797	17	17	17	1.000	0.000	1.000	1	1	113.000	178.588	4.765	0.434	0.194	0.402	113.000	178.588	4.765	111	176	4	5	5	3
0.241	3.650	10	9	11	1.100	0.316	1.000	1	2	395.100	189.600	5.500	0.413	0.188	0.350	395.091	189.636	5.455	394	188	4	3	4	4
0.530	5.555	22	22	22	1.000	0.000	1.000	1	1	347.955	211.409	5.818	0.497	0.217	0.505	347.955	211.409	5.818	345	210	4	6	4	4
0.723	8.587	30	29	30	1.000	0.000	1.000	1	1	260.467	227.767	6.600	0.643	0.251	0.637	260.467	227.767	6.600	259	226	4	5	4	6
0.699	7.247	29	29	29	1.000	0.000	1.000	1	1	272.828	234.517	7.103	0.688	0.315	0.637	272.828	234.517	7.103	271	233	4	4	4	7
0.241	3.333	10	9	10	1.000	0.000	1.000	1	1	466.800	135.000	6.500	0.394	0.158	0.320	466.800	135.000	6.500	466	134	5	3	3	4
0.313	3.333	13	13	13	1.000	0.000	1.000	1	1	110.615	194.231	6.000	0.351	0.127	0.406	110.615	194.231	6.000	110	193	5	2	3	3
0.482	4.285	20	18	22	1.100	0.308	1.000	1	2	81.000	83.500	7.000	0.407	0.081	0.409	81.000	83.500	7.000	80	82	6	3	4	3
0.386	4.496	16	14	16	1.000	0.000	1.000	1	1	474.000	118.000	7.125	0.421	0.135	0.422	474.000	118.000	7.125	473	117	6	3	3	4
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	468.000	155.000	7.000	0.382	0.086	0.390	468.000	155.000	7.000	467	154	6	3	3	3
0.313	3.720	13	13	13	1.000	0.000	1.000	1	1	210.846	193.923	8.077	0.371	0.138	0.422	210.846	193.923	8.077	210	193	7	3	3	3
0.337	3.456	14	14	14	1.000	0.000	1.000	1	1	474.500	132.000	9.500	0.346	0.118	0.340	474.500	132.000	9.500	474	131	8	2	3	4
0.362	4.920	15	14	15	1.000	0.000	1.000	1	1	93.600	162.067	10.067	0.531	0.208	0.551	93.600	162.067	10.067	92	160	8	4	5	5
0.434	4.285	18	17	18	1.000	0.000	1.000	1	1	117.944	192.111	8.889	0.384	0.093	0.411	117.944	192.111	8.889	117	191	8	3	3	3
0.337	3.914	14	14	14	1.000	0.000	1.000	1	1	106.357	194.071	9.786	0.395	0.157	0.405	106.357	194.071	9.786	106	193	8	2	3	4
0.289	3.209	12	12	12	1.000	0.000	1.000	1	1	80.417	67.500	10.250	0.369	0.163	0.342	80.417	67.500	10.250	80	67	9	2	2	4
0.603	7.053	25	24	25	1.000	0.000	1.000	1	1	110.280	203.480	11.400	0.643	0.395	0.576	110.280	203.480	11.400	109	202	9	4	4	8
0.337	3.774	14	13	14	1.000	0.000	1.000	1	1	165.286	3.786	11.429	0.353	0.097	0.345	165.286	3.786	11.429	164	3	10	4	3	3
0.699	5.114	29	28	37	1.276	0.528	1.000	1	3	454.862	168.931	11.034	0.438	0.106	0.464	454.892	168.946	11.027	453	168	10	4	3	3
0.289	3.650	12	12	12	1.000	0.000	1.000	1	1	179.417	81.917	11.833	0.389	0.187	0.349	179.417	81.917	11.833	179	81	11	2	3	4
1.952	10.739	81	54	325	4.012	4.020	2.000	1	21	306.000	121.000	13.000	0.691	0.114	0.679	306.000	121.000	13.000	304	119	11	5	5	5
0.265	3.703	11	10	11	1.000	0.000	1.000	1	1	393.818	188.091	12.091	0.414	0.189	0.432	393.818	188.091	12.091	392	187	11	6	3	3
0.265	3.262	11	10	11	1.000	0.000	1.000	1	1	466.091	136.000	15.273	0.335	0.076	0.322	466.091	136.000	15.273	465	135	14	3	3	3
0.651	6.665	27	25	27	1.000	0.000	1.000	1	1	75.519	81.444	16.370	0.472	0.149	0.464	75.519	81.444	16.370	74	80	15	4	4	4
0.530	5.395	22	20	23	1.045	0.213	1.000	1	2	192.136	145.773	16.636	0.491	0.197	0.473	192.130	145.783	16.696	191	145	15	3	3	5
0.578	6.542	24	22	24	1.000	0.000	1.000	1	1	109.667	181.000	18.167	0.532	0.225	0.495	109.667	181.000	18.167	108	180	16	5	3	5
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	179.000	446.000	18.000	0.382	0.086	0.390	179.000	446.000	18.000	178	445	17	3	3	3
0.289	2.681	12	12	12	1.000	0.000	1.000	1	1	215.000	195.500	18.500	0.303	0.053	0.340	215.000	195.500	18.500	214	195	18	3	2	2
0.241	2.874	10	10	10	1.000	0.000	1.000	1	1	463.000	432.500	19.000	0.300	0.111	0.278	463.000	432.500	19.000	462	432	18	3	2	3
0.241	2.821	10	10	10	1.000	0.000	1.000	1	1	269.500	228.500	20.500	0.332	0.147	0.263	269.500	228.500	20.500	269	228	19	2	2	4
1.952	10.739	81	54	318	3.926	3.804	2.000	1	20	379.000	480.000	21.000	0.691	0.114	0.679	379.000	480.000	21.000	377	478	19	5	5	5
0.241	3.085	10	10	10	1.000	0.000	1.000	1	1	21.300	371.700	21.800	0.380	0.175	0.365	21.300	371.700	21.800	21	371	20	2	2	4
0.265	3.209	11	11	11	1.000	0.000	1.000	1	1	163.455	441.545	22.364	0.355	0.159	0.305	163.455	441.545	22.364	163	441	21	2	2	4
0.241	2.874	10	10	10	1.000	0.000	1.000	1	1	408.500	460.000	22.000	0.300	0.111	0.278	408.500	460.000	22.000	408	459	21	2	3	3
0.289	3.720	12	12	12	1.000	0.000	1.000	1	1	267.917	465.917	22.750	0.393	0.169	0.385	267.917	465.917	22.750	267	465	21	3	3	4
4.820	21.500	200	134	2474	12.370	21.039	3.500	1	134	412.215	138.845	27.570	0.933	0.177	0.923	411.685	138.983	28.329	408	135	24	9	9	6
3.013	17.055	125	102	487	3.896	4.252	2.000	1	20	509.248	21.088	27.920	0.805	0.225	0.798	509.575	20.754	28.448	506	17	25	6	10	5
4.170	28.170	173	155	221	1.277	0.659	1.000	1	5	481.457	9.653	28.364	1.139	0.495	1.093	481.389	9.538	28.452	473	5	26	18	11	4
0.313	3.580	13	12	13	1.000	0.000	1.000	1	1	179.000	33.538	27.154	0.347	0.096	0.353	179.000	33.538	27.154	178	33	26	3	3	3
1.687	10.989	70	60	144	2.057	1.676	1.000	1	8	192.443	67.943	28.286	0.617	0.145	0.617	192.486	68.167	28.507	190	65	26	6	7	4
1.518	9.930	63	53	173	2.746	2.627	2.000	1	13	471.317	92.397	28.143	0.590	0.123	0.587	471.249	92.364	28.457	469	90	26	6	6	4
1.229	10.107	51	47	75	1.471	0.924	1.000	1	5	256.078	117.686	28.353	0.601	0.254	0.567	256.173	117.707	28.480	251	116	26	9	5	4
0.651	4.603	27	26	35	1.296	0.542	1.000	1	3	95.000	157.000	27.000	0.426	0.098	0.462	95.000	157.000	27.000	94	156	26	3	3	3
1.326	9.067	55	53	79	1.436	0.811	1.000	1	4	311.091	2.036	28.473	0.551	0.189	0.569	310.899	1.975	28.582	308	0	27	8	5	3
1.326	9.067	55	51	126	2.291	1.892	1.000	1	8	502.800	8.273	28.491	0.552	0.143	0.583	502.738	8.238	28.675	500	6	27	7	6	3
2.603	16.616	108	94	312	2.889	3.495	1.000	1	20	375.315	14.981	28.389	0.880	0.353	0.855	374.375	15.058	28.603	371	12	27	12	7	3
0.627	5.749	26	26	43	1.654	0.936	1.000	1	4	510.462	33.692	28.231	0.468	0.178	0.470	510.605	33.558	28.349	509	32	27	3	6	3
1.976	12.189	82	70	205	2.500	2.496	1.000	1	13	408.317	34.549	28.293	0.658	0.166	0.665	408.556	34.371	28.556	405	32	27	8	7	3
