Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
18.100	47.793	751	342	34203	45.543	87.393	8	1	512	177.129	3.850	4.350	1.533	0.206	1.533	177.278	3.622	2.859	171	0	1	13	10	9
0.554	5.044	23	23	26	1.130	0.344	1	1	2	304.478	0.652	1.652	0.409	0.133	0.424	304.538	0.577	1.577	303	0	1	5	3	3
35852.004	17034.520	1487556	163827	367522368	247.065	278.502	147	1	2807	235.052	236.741	17.581	37.526	17.901	35.634	248.200	222.522	17.497	0	0	1	445	475	32
1.350	8.553	56	47	72	1.286	0.456	1	1	2	135.304	4.000	2.018	0.564	0.096	0.570	135.306	4.000	1.944	133	2	1	5	5	4
1.277	8.500	53	39	57	1.075	0.267	1	1	2	37.000	14.264	2.528	0.589	0.082	0.592	37.000	14.281	2.526	35	12	1	5	5	4
0.651	4.603	27	26	27	1.000	0.000	1	1	1	31.000	21.000	2.000	0.426	0.098	0.462	31.000	21.000	2.000	30	20	1	3	3	3
1.735	9.576	72	54	88	1.222	0.451	1	1	3	74.000	25.000	2.250	0.635	0.085	0.628	74.000	25.000	2.205	72	23	1	5	5	4
2.482	13.015	103	71	167	1.621	0.865	1	1	4	12.689	28.728	2.524	0.732	0.098	0.722	12.713	28.713	2.377	10	26	1	6	6	5
1.735	9.576	72	54	98	1.361	0.564	1	1	3	57.000	31.000	2.250	0.635	0.085	0.628	57.000	31.000	2.224	55	29	1	5	5	4
1.253	8.025	52	42	65	1.250	0.519	1	1	3	67.000	42.000	1.808	0.549	0.092	0.561	67.000	42.000	1.769	65	40	1	5	5	4
0.530	5.167	22	22	22	1.000	0.000	1	1	1	295.636	40.545	1.727	0.453	0.180	0.452	295.636	40.545	1.727	294	39	1	5	4	3
1.735	9.576	72	54	110	1.528	0.750	1	1	3	312.000	49.000	2.250	0.635	0.085	0.628	312.000	49.000	2.127	310	47	1	5	5	4
