Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
69258.031	34202.664	2873626	319045	1043928064	363.279	397.397	245	1	4040	289.124	249.630	16.222	44.647	17.206	44.071	287.277	239.167	17.262	110	0	1	402	512	30
0.362	3.757	15	15	17	1.133	0.516	1	1	3	226.000	27.133	1.333	0.330	0.081	0.354	226.000	27.118	1.294	225	26	1	3	4	2
0.578	5.380	24	24	24	1.000	0.000	1	1	1	252.083	30.333	1.167	0.430	0.159	0.425	252.083	30.333	1.167	249	29	1	7	4	2
2.699	14.729	112	90	480	4.286	5.107	2	1	26	17.652	40.000	1.830	0.737	0.173	0.747	17.648	39.881	1.496	14	37	1	8	8	4
0.241	2.593	10	10	10	1.000	0.000	1	1	1	31.000	51.200	1.000	0.291	0.113	0.308	31.000	51.200	1.000	30	50	1	3	4	1
0.458	4.004	19	19	21	1.105	0.315	1	1	2	267.579	60.000	1.368	0.357	0.088	0.365	267.571	60.000	1.333	266	59	1	4	3	2
0.313	3.563	13	13	13	1.000	0.000	1	1	1	258.308	64.846	1.385	0.355	0.151	0.333	258.308	64.846	1.385	257	64	1	4	3	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	16.000	66.000	1.100	0.281	0.099	0.301	16.000	66.000	1.100	15	65	1	3	3	2
0.265	3.051	11	11	11	1.000	0.000	1	1	1	296.091	65.909	1.182	0.302	0.099	0.321	296.091	65.909	1.182	295	65	1	3	3	2
0.554	6.066	23	23	23	1.000	0.000	1	1	1	230.609	77.000	2.261	0.558	0.194	0.571	230.609	77.000	2.261	229	75	1	4	5	4
1.542	13.175	64	57	71	1.109	0.315	1	1	2	4.734	81.109	1.734	0.850	0.406	0.770	4.592	81.183	1.746	1	76	1	11	9	3
0.265	2.874	11	11	11	1.000	0.000	1	1	1	493.273	79.818	1.455	0.300	0.057	0.302	493.273	79.818	1.455	492	79	1	3	3	2
