Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
21415.096	12618.115	888546	118754	156148768	175.735	213.186	95	1	2456	325.816	234.643	15.905	44.760	13.855	42.907	331.898	232.786	13.306	197	0	1	315	444	29
0.313	3.245	13	13	13	1.000	0.000	1	1	1	330.923	371.000	1.308	0.313	0.074	0.354	330.923	371.000	1.308	330	370	1	3	3	2
3.230	16.207	134	78	255	1.903	1.343	1	1	7	371.000	114.000	17.530	0.828	0.096	0.807	371.000	114.000	17.478	368	111	15	7	7	6
1.759	10.739	73	54	95	1.301	0.545	1	1	3	382.000	137.000	19.000	0.642	0.103	0.632	382.000	137.000	19.000	380	135	17	5	5	5
1.952	10.739	81	54	102	1.259	0.494	1	1	3	296.000	166.000	22.000	0.691	0.114	0.679	296.000	166.000	21.912	294	164	20	5	5	5
1.808	13.955	75	73	75	1.000	0.000	1	1	1	372.240	297.707	28.720	0.755	0.318	0.717	372.240	297.707	28.720	368	295	27	10	8	3
1.518	10.460	63	56	66	1.048	0.215	1	1	2	376.238	346.302	28.429	0.629	0.211	0.610	376.242	346.273	28.455	373	344	27	9	6	3
0.988	7.903	41	41	41	1.000	0.000	1	1	1	386.707	349.610	28.732	0.514	0.166	0.497	386.707	349.610	28.732	384	347	27	6	6	3
0.410	3.757	17	17	20	1.176	0.393	1	1	2	510.529	35.882	28.588	0.373	0.121	0.344	510.600	35.900	28.650	510	34	28	2	5	2
0.362	4.181	15	15	15	1.000	0.000	1	1	1	250.000	244.000	29.000	0.475	0.260	0.556	250.000	244.000	29.000	248	241	29	5	7	1
0.265	2.911	11	11	11	1.000	0.000	1	1	1	375.909	289.182	29.000	0.328	0.144	0.304	375.909	289.182	29.000	374	288	29	5	3	1
0.410	3.846	17	17	17	1.000	0.000	1	1	1	266.059	293.412	29.000	0.396	0.152	0.422	266.059	293.412	29.000	264	292	29	5	4	1
0.723	6.616	30	30	30	1.000	0.000	1	1	1	323.000	305.500	29.000	0.564	0.231	0.621	323.000	305.500	29.000	320	302	29	7	7	1
0.362	3.987	15	15	15	1.000	0.000	1	1	1	382.000	355.200	29.000	0.458	0.204	0.512	382.000	355.200	29.000	380	353	29	5	6	1
