Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
58792.875	28092.062	2439410	271769	599130816	245.605	273.570	158	1	3554	279.128	123.473	15.900	38.049	12.739	37.569	277.720	121.314	13.905	0	0	1	512	289	30
0.940	9.137	39	39	39	1.000	0.000	1	1	1	506.410	57.487	1.231	0.804	0.290	0.890	506.410	57.487	1.231	505	53	1	5	10	2
0.699	7.724	29	28	30	1.034	0.186	1	1	2	491.655	63.552	2.759	0.665	0.234	0.702	491.633	63.567	2.700	490	62	1	5	4	6
0.241	2.664	10	10	10	1.000	0.000	1	1	1	207.000	88.000	1.100	0.281	0.099	0.301	207.000	88.000	1.100	206	87	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	177.000	123.000	1.100	0.281	0.099	0.301	177.000	123.000	1.100	176	122	1	3	3	2
0.313	4.108	13	11	13	1.000	0.000	1	1	1	334.000	154.000	2.692	0.422	0.198	0.367	334.000	154.000	2.692	333	153	1	3	3	5
0.289	3.051	12	12	12	1.000	0.000	1	1	1	335.083	161.167	1.250	0.311	0.087	0.315	335.083	161.167	1.250	334	160	1	3	3	2
0.362	3.757	15	15	17	1.133	0.516	1	1	3	309.000	163.133	1.333	0.330	0.081	0.354	309.000	163.118	1.294	308	162	1	3	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	269.000	279.000	1.100	0.281	0.099	0.301	269.000	279.000	1.100	268	278	1	3	3	2
0.795	6.648	33	26	61	1.848	0.939	2	1	5	140.000	306.000	3.000	0.494	0.102	0.497	140.000	306.000	3.000	138	304	1	5	5	5
0.289	3.262	12	12	12	1.000	0.000	1	1	1	228.000	62.333	2.833	0.336	0.122	0.321	228.000	62.333	2.833	227	62	2	3	2	3
0.265	3.192	11	10	12	1.091	0.302	1	1	2	200.000	148.364	5.000	0.326	0.086	0.317	200.000	148.333	5.000	199	147	4	3	3	3
0.313	3.774	13	12	13	1.000	0.000	1	1	1	396.692	73.462	7.000	0.355	0.105	0.408	396.692	73.462	7.000	396	72	6	3	4	3
0.530	5.061	22	22	44	2.000	1.309	2	1	6	0.409	231.000	8.000	0.428	0.164	0.474	0.273	231.000	8.000	0	229	6	2	5	5
0.313	4.426	13	12	13	1.000	0.000	1	1	1	392.692	75.615	9.923	0.541	0.319	0.418	392.692	75.615	9.923	392	74	7	3	4	6
0.241	3.650	10	9	10	1.000	0.000	1	1	1	366.600	259.900	10.500	0.413	0.188	0.350	366.600	259.900	10.500	365	259	9	4	3	4
0.265	3.333	11	10	11	1.000	0.000	1	1	1	67.000	143.000	10.636	0.333	0.079	0.319	67.000	143.000	10.636	66	142	10	3	3	3
1.109	7.758	46	40	54	1.174	0.437	1	1	3	473.087	189.391	14.043	0.584	0.187	0.552	473.074	189.370	14.056	472	188	12	3	4	5
3.205	16.241	133	86	372	2.797	2.625	2	1	13	69.429	172.504	16.256	0.834	0.159	0.796	69.293	172.481	16.304	67	170	14	7	6	6
0.362	4.673	15	14	15	1.000	0.000	1	1	1	68.933	78.400	23.067	0.457	0.189	0.466	68.933	78.400	23.067	68	76	22	3	5	4
0.265	3.068	11	10	11	1.000	0.000	1	1	1	427.273	222.727	24.273	0.327	0.083	0.341	427.273	222.727	24.273	426	222	23	3	3	3
1.060	9.469	44	40	54	1.227	0.476	1	1	3	469.727	82.614	28.205	0.691	0.350	0.636	469.722	82.685	28.500	468	80	24	5	6	7
0.771	5.996	32	27	33	1.031	0.177	1	1	2	91.469	184.656	25.219	0.476	0.091	0.483	91.455	184.636	25.212	90	183	24	4	4	4
1.952	10.739	81	54	333	4.111	4.298	2	1	23	294.000	364.000	26.000	0.691	0.114	0.679	294.000	364.000	26.000	292	362	24	5	5	5
0.482	4.479	20	19	20	1.000	0.000	1	1	1	78.250	16.000	27.050	0.420	0.145	0.415	78.250	16.000	27.050	77	15	25	3	3	4
7.495	36.389	311	228	2697	8.672	18.564	2	1	144	271.855	115.145	28.871	1.280	0.484	1.156	271.454	114.950	29.369	268	106	26	9	19	5
0.675	5.238	28	26	30	1.071	0.262	1	1	2	268.107	167.393	27.036	0.439	0.090	0.452	268.067	167.367	27.033	267	166	26	3	4	3
0.458	4.586	19	19	19	1.000	0.000	1	1	1	367.211	135.842	29.526	0.395	0.133	0.366	367.211	135.842	29.526	366	135	28	4	3	3
0.506	4.603	21	20	22	1.048	0.218	1	1	2	291.095	157.905	29.000	0.395	0.091	0.421	291.091	157.909	29.000	290	157	28	3	3	3
0.747	5.856	31	29	36	1.161	0.374	1	1	2	475.742	188.516	29.452	0.442	0.107	0.448	475.694	188.472	29.528	474	187	28	4	5	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	54.000	19.000	29.900	0.281	0.099	0.301	54.000	19.000	29.900	53	18	29	3	3	2
0.313	4.656	13	13	13	1.000	0.000	1	1	1	34.000	37.462	29.769	0.506	0.160	0.518	34.000	37.462	29.769	31	36	29	7	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	3.000	48.000	29.900	0.281	0.099	0.301	3.000	48.000	29.900	2	47	29	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	326.000	78.000	29.900	0.281	0.099	0.301	326.000	78.000	29.900	325	77	29	3	3	2
0.530	4.709	22	22	28	1.273	0.550	1	1	3	228.000	83.000	29.591	0.375	0.096	0.386	228.000	83.000	29.679	226	81	29	5	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	211.000	102.000	29.900	0.281	0.099	0.301	211.000	102.000	29.900	210	101	29	3	3	2
0.603	5.080	25	25	32	1.280	0.542	1	1	3	222.200	109.200	29.640	0.401	0.115	0.392	222.156	109.156	29.688	220	107	29	5	5	2
0.289	3.051	12	12	12	1.000	0.000	1	1	1	278.083	113.917	29.750	0.306	0.082	0.315	278.083	113.917	29.750	277	113	29	3	3	2
0.362	3.757	15	15	16	1.067	0.258	1	1	2	385.133	114.000	29.667	0.330	0.081	0.354	385.125	114.000	29.688	384	113	29	4	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	308.000	158.000	29.900	0.281	0.099	0.301	308.000	158.000	29.900	307	157	29	3	3	2
0.699	5.574	29	29	36	1.241	0.511	1	1	3	304.034	272.069	29.690	0.422	0.120	0.428	304.028	272.056	29.722	302	270	29	5	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	190.000	272.000	29.900	0.281	0.099	0.301	190.000	272.000	29.900	189	271	29	3	3	2
0.530	5.080	22	22	23	1.045	0.213	1	1	2	133.591	324.591	29.727	0.406	0.141	0.394	133.565	324.565	29.739	132	323	29	5	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	5.000	331.000	29.900	0.281	0.099	0.301	5.000	331.000	29.900	4	330	29	3	3	2
0.603	5.257	25	25	26	1.040	0.200	1	1	2	10.120	380.640	29.760	0.417	0.137	0.416	10.115	380.615	29.769	8	379	29	6	4	2
0.265	3.299	11	11	11	1.000	0.000	1	1	1	295.000	273.000	30.000	0.356	0.182	0.352	295.000	273.000	30.000	293	271	30	5	5	1
