Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
15493.894	14263.823	642866	125855	547674496	851.926	594.762	673.000	200	3840	181.642	350.962	8.216	28.269	12.063	27.826	183.623	353.240	7.189	0	166	1	389	346	18
0.072	1.217	3	3	643	214.333	10.599	216.000	203	224	216.000	329.333	2.667	0.213	0.059	0.211	216.000	329.316	2.664	216	329	2	1	2	2
0.506	5.238	21	19	5019	239.000	28.834	239.000	201	291	260.857	366.667	2.714	0.420	0.114	0.431	260.869	366.684	2.710	259	365	2	5	4	3
0.121	1.728	5	5	1111	222.200	11.520	225.000	205	234	247.000	378.800	3.400	0.260	0.067	0.253	247.000	378.782	3.398	247	378	3	1	3	2
127.134	334.491	5275	2148	2015050	382.000	168.301	330.000	200	1143	121.892	439.887	9.838	3.201	1.006	3.259	122.529	439.393	9.635	103	420	3	35	37	15
0.265	3.279	11	11	2607	237.000	21.973	230.000	200	271	307.091	509.000	4.364	0.427	0.183	0.368	307.112	509.000	4.379	306	509	3	3	1	4
6.387	27.475	265	168	87617	330.630	111.014	301.000	201	726	157.279	508.774	12.985	1.075	0.223	1.059	157.503	508.986	12.949	153	505	9	10	7	8
0.169	2.169	7	7	1535	219.286	11.572	224.000	200	233	177.286	249.286	10.286	0.264	0.071	0.275	177.293	249.309	10.277	177	248	10	2	3	2
0.024	0.511	1	1	206	206.000	0.000	206.000	206	206	309.000	405.000	10.000	0.000	0.000	0.000	309.000	405.000	10.000	309	405	10	1	1	1
0.313	3.650	13	13	3174	244.154	34.419	245.000	200	308	261.462	510.846	12.077	0.380	0.137	0.386	261.454	510.869	12.085	260	510	11	4	2	3
0.651	5.696	27	26	7208	266.963	52.493	274.000	201	374	269.333	510.407	12.741	0.453	0.139	0.456	269.346	510.467	12.714	268	509	11	4	3	4
11.135	38.573	462	240	208696	451.723	205.581	416.500	200	1032	202.710	457.844	14.887	1.292	0.244	1.258	202.671	457.870	14.805	199	451	12	9	15	7
