Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
21.836	68.530	906	455	402698	444.479	290.545	361.000	200	2497	418.267	4.093	6.861	1.714	0.425	1.697	417.396	3.586	7.002	408	0	1	19	14	13
34118.070	41535.527	1415613	323556	878114944	620.307	411.216	498.000	200	3904	253.625	262.901	13.404	43.118	19.744	41.311	262.286	261.980	14.185	0	0	1	512	512	21
55.023	138.938	2283	871	1094017	479.201	227.824	433.000	200	1815	363.327	75.601	7.788	2.452	0.764	2.502	363.201	75.416	7.993	352	63	3	23	29	13
50.589	116.562	2099	782	1077865	513.514	242.009	465.000	200	1542	376.626	120.681	7.294	2.280	0.556	2.227	376.985	120.852	7.442	366	112	3	27	17	11
14.726	56.314	611	331	227537	372.401	151.448	322.000	200	879	322.876	136.599	6.169	1.666	0.626	1.527	323.005	136.532	6.212	316	126	3	14	24	7
11.328	37.686	470	222	241064	512.902	252.675	453.500	201	1237	346.528	141.864	6.534	1.313	0.191	1.344	346.505	141.705	6.649	341	138	3	12	10	8
12.484	40.757	518	254	241900	466.988	236.829	400.000	200	1286	333.948	145.442	6.388	1.344	0.222	1.348	334.414	145.246	6.474	328	141	3	12	11	8
2.940	16.084	122	86	40793	334.369	129.303	294.000	200	749	341.270	199.869	5.787	0.797	0.152	0.778	341.190	199.699	5.767	339	197	3	7	8	6
9.183	39.979	381	215	136447	358.129	163.003	299.000	200	1005	208.354	250.265	6.394	1.330	0.411	1.273	208.544	250.348	6.321	204	242	3	9	17	9
2.579	16.595	107	85	31045	290.140	75.407	267.000	200	493	413.673	253.720	5.411	0.866	0.347	0.771	413.829	253.949	5.380	409	248	3	8	11	5
0.771	6.542	32	27	10429	325.906	105.821	306.500	203	584	184.906	418.344	5.250	0.525	0.175	0.506	184.903	418.357	5.234	184	417	3	3	4	5
0.699	5.766	29	26	9741	335.897	104.144	321.000	208	631	118.138	481.000	5.069	0.477	0.167	0.478	118.161	481.011	5.069	117	480	3	3	3	5
7.423	31.830	308	170	147996	480.507	305.476	368.000	200	1569	281.526	490.396	6.526	1.153	0.252	1.086	281.127	490.285	6.774	278	487	3	10	8	9
0.723	6.137	30	23	9354	311.800	100.449	278.000	206	488	437.567	4.433	5.467	0.490	0.096	0.452	437.558	4.431	5.438	436	3	4	4	4	4
0.169	2.310	7	7	1739	248.429	40.224	235.000	214	315	238.714	17.286	5.286	0.297	0.117	0.296	238.734	17.258	5.296	238	17	4	2	2	3
0.819	6.331	34	26	11283	331.853	114.723	287.500	205	546	352.588	24.500	5.412	0.510	0.095	0.462	352.614	24.508	5.446	351	23	4	4	4	4
0.265	3.015	11	11	3028	275.273	44.531	266.000	215	343	228.545	48.364	5.364	0.354	0.157	0.297	228.553	48.348	5.370	228	48	4	2	2	4
1.976	12.608	82	61	26619	324.622	99.655	299.500	200	595	237.500	118.451	6.744	0.741	0.229	0.700	237.515	118.459	6.801	235	117	4	7	4	7
3.422	17.795	142	94	43955	309.542	82.850	293.500	201	518	141.268	163.289	6.387	0.826	0.146	0.815	141.329	163.310	6.408	137	160	4	9	8	6
2.121	13.015	88	66	24852	282.409	73.695	257.500	201	492	318.818	167.727	5.830	0.712	0.177	0.713	318.847	167.577	5.843	317	165	4	5	8	5
0.241	2.627	10	10	2580	258.000	39.774	246.000	203	315	449.500	172.400	5.200	0.320	0.121	0.350	449.493	172.371	5.248	449	172	4	2	2	3
0.410	3.844	17	17	4747	279.235	64.621	274.000	201	404	381.882	173.471	5.235	0.385	0.143	0.388	381.848	173.469	5.210	381	173	4	3	2	4
0.362	3.968	15	13	3917	261.133	46.011	250.000	201	362	356.067	187.200	5.533	0.372	0.101	0.350	356.072	187.201	5.535	355	186	4	3	3	4
2.121	12.240	88	64	24378	277.023	58.403	268.500	200	437	419.477	192.466	5.727	0.685	0.097	0.695	419.522	192.450	5.754	417	189	4	6	7	4
0.892	6.842	37	31	9757	263.703	53.817	257.000	200	394	399.946	195.973	5.622	0.512	0.121	0.541	399.904	195.976	5.619	398	195	4	5	3	4
1.085	8.641	45	37	11390	253.111	42.360	241.000	200	358	268.578	198.867	6.022	0.595	0.179	0.560	268.562	198.880	6.014	267	196	4	4	6	5
0.145	1.992	6	6	1354	225.667	24.055	216.000	203	257	287.500	233.000	5.000	0.314	0.147	0.409	287.501	233.000	5.016	287	233	4	2	1	3
0.675	5.625	28	24	7197	257.036	39.062	254.000	206	352	424.321	249.036	5.607	0.456	0.109	0.445	424.317	249.029	5.609	423	248	4	4	3	4
0.771	6.665	32	26	9259	289.344	68.641	269.000	200	453	8.250	267.281	6.125	0.508	0.144	0.488	8.244	267.283	6.147	7	266	4	4	4	5
0.699	5.766	29	25	9833	339.069	108.266	338.000	205	581	83.448	275.966	5.483	0.498	0.136	0.472	83.453	275.961	5.443	82	275	4	4	3	4
0.241	3.139	10	9	2603	260.300	49.971	248.000	208	366	71.000	352.100	5.300	0.331	0.080	0.297	70.985	352.115	5.289	70	351	4	3	3	3
5.085	23.035	211	137	66471	315.028	97.575	284.000	200	592	430.801	365.545	5.891	1.014	0.263	0.944	430.881	365.614	5.906	424	363	4	14	6	5
0.434	4.355	18	16	4993	277.389	61.231	257.500	214	410	105.333	381.000	5.500	0.401	0.124	0.357	105.338	381.030	5.486	104	380	4	3	3	4
0.289	3.456	12	11	3082	256.833	50.600	248.000	204	368	152.750	444.750	5.000	0.349	0.096	0.400	152.761	444.753	5.043	152	444	4	3	3	3
0.121	1.798	5	5	1143	228.600	29.628	231.000	202	274	189.400	456.000	5.200	0.289	0.143	0.327	189.381	456.000	5.202	189	456	4	2	1	3
0.169	2.310	7	7	1640	234.286	31.868	220.000	205	286	147.571	461.857	5.000	0.306	0.137	0.406	147.576	461.874	5.016	147	461	4	2	2	3
1.181	8.323	49	37	18166	370.735	127.496	318.000	203	681	320.592	466.429	6.041	0.595	0.160	0.555	320.588	466.437	6.025	319	465	4	4	4	5
0.241	2.945	10	10	2410	241.000	41.665	234.000	203	330	199.800	469.400	5.100	0.314	0.120	0.343	199.817	469.374	5.107	199	469	4	3	2	3
0.289	3.456	12	11	2952	246.000	48.296	233.000	201	353	36.750	472.250	5.000	0.349	0.096	0.400	36.746	472.220	5.014	36	471	4	3	3	3
0.603	5.642	25	23	6396	255.840	50.416	244.000	201	385	295.040	474.880	5.480	0.467	0.146	0.395	295.049	474.884	5.464	294	474	4	3	3	4
0.145	1.992	6	6	1386	231.000	28.657	218.500	204	273	164.500	480.000	5.000	0.314	0.147	0.409	164.512	480.000	5.006	164	480	4	2	1	3
0.169	2.310	7	7	1661	237.286	34.846	236.000	200	302	46.429	483.857	5.000	0.306	0.137	0.406	46.394	483.868	5.010	46	483	4	2	2	3
0.289	3.139	12	12	3212	267.667	48.127	261.500	207	367	61.417	484.333	5.083	0.337	0.120	0.388	61.408	484.311	5.083	61	483	4	2	3	3
1.301	9.998	54	41	20783	384.870	161.042	372.000	201	842	308.926	501.000	6.352	0.650	0.199	0.627	308.934	500.979	6.393	307	499	4	5	5	6
1.205	8.888	50	43	13877	277.540	60.825	263.500	205	410	431.540	510.240	6.320	0.588	0.175	0.615	431.572	510.262	6.303	428	509	4	7	3	5
0.096	1.411	4	4	1041	260.250	16.480	260.500	245	275	286.500	0.000	5.500	0.231	0.000	0.231	286.500	0.000	5.473	286	0	5	2	1	2
5.013	29.957	208	176	70480	338.846	106.116	313.000	201	623	509.240	3.538	8.466	1.151	0.410	1.136	509.416	3.630	8.597	503	0	5	9	10	10
5.543	35.803	230	183	56947	247.596	40.219	240.500	200	401	92.348	22.761	6.617	1.662	0.729	1.621	92.379	22.732	6.603	85	13	5	18	20	4
0.410	4.038	17	17	4185	246.176	32.556	245.000	204	305	117.529	60.059	6.412	0.392	0.148	0.348	117.518	60.069	6.401	117	59	5	2	3	4
0.048	0.899	2	2	410	205.000	4.243	205.000	202	208	414.000	77.000	5.500	0.195	0.000	0.195	414.000	77.000	5.507	414	77	5	1	1	2
0.024	0.511	1	1	206	206.000	0.000	206.000	206	206	342.000	96.000	5.000	0.000	0.000	0.000	342.000	96.000	5.000	342	96	5	1	1	1
0.072	1.217	3	3	703	234.333	29.956	243.000	201	259	10.333	102.000	5.667	0.213	0.059	0.211	10.286	102.000	5.654	10	102	5	2	1	2
0.169	2.433	7	7	1614	230.571	24.268	219.000	209	276	13.143	105.857	5.857	0.285	0.125	0.292	13.149	105.869	5.847	12	105	5	3	2	3
0.048	0.829	2	2	424	212.000	12.728	212.000	203	221	251.500	124.000	5.000	0.124	0.000	0.124	251.479	124.000	5.000	251	124	5	2	1	1
0.024	0.511	1	1	218	218.000	0.000	218.000	218	218	447.000	167.000	5.000	0.000	0.000	0.000	447.000	167.000	5.000	447	167	5	1	1	1
0.193	2.046	8	8	1760	220.000	12.928	221.500	201	237	312.500	178.500	5.500	0.263	0.000	0.263	312.525	178.491	5.494	312	178	5	2	2	2
0.386	3.897	16	15	3673	229.562	27.677	218.000	204	282	308.375	179.438	6.000	0.368	0.097	0.415	308.386	179.436	5.980	307	178	5	4	3	3
0.048	0.899	2	2	466	233.000	24.042	233.000	216	250	340.000	184.000	5.500	0.195	0.000	0.195	340.000	184.000	5.464	340	184	5	1	1	2
0.145	1.922	6	6	1264	210.667	6.623	213.500	201	218	359.333	187.667	5.500	0.255	0.021	0.269	359.338	187.680	5.499	359	187	5	2	2	2
0.072	1.217	3	3	634	211.333	10.693	209.000	202	223	9.000	206.667	5.333	0.213	0.059	0.211	9.000	206.681	5.330	9	206	5	1	2	2
0.747	6.648	31	25	7650	246.774	46.617	227.000	200	352	150.645	208.484	6.387	0.491	0.108	0.454	150.664	208.483	6.382	149	207	5	5	4	4
0.072	1.217	3	3	675	225.000	13.892	218.000	216	241	442.667	211.000	5.333	0.213	0.059	0.211	442.677	211.000	5.320	442	211	5	2	1	2
0.578	4.990	24	22	5787	241.125	31.901	231.500	204	324	201.083	216.083	6.833	0.424	0.116	0.423	201.093	216.076	6.817	200	215	5	3	3	4
0.048	0.899	2	2	451	225.500	16.263	225.500	214	237	32.000	218.000	5.500	0.195	0.000	0.195	32.000	218.000	5.475	32	218	5	1	1	2
1.663	11.798	69	58	16810	243.623	35.219	238.000	201	333	150.565	232.319	6.667	0.667	0.209	0.667	150.561	232.224	6.674	148	230	5	6	8	5
0.771	7.213	32	28	7415	231.719	27.601	227.000	201	307	209.969	234.219	6.750	0.543	0.227	0.502	209.971	234.300	6.707	209	230	5	3	8	4
0.482	4.656	20	19	4731	236.550	29.224	237.000	200	290	155.800	236.050	6.350	0.391	0.101	0.367	155.781	236.060	6.361	155	234	5	3	5	3
0.048	0.899	2	2	438	219.000	2.828	219.000	217	221	393.000	243.000	5.500	0.195	0.000	0.195	393.000	243.000	5.495	393	243	5	1	1	2
0.217	2.557	9	9	1885	209.444	5.175	209.000	202	217	388.667	245.111	5.444	0.287	0.055	0.293	388.672	245.111	5.439	388	244	5	2	3	2
0.096	1.411	4	4	931	232.750	12.010	232.500	219	247	392.500	246.000	5.500	0.231	0.000	0.231	392.490	246.000	5.480	392	246	5	2	1	2
0.795	8.112	33	31	7792	236.121	29.051	227.000	201	301	12.848	258.697	6.667	0.596	0.197	0.624	12.838	258.690	6.668	11	256	5	5	7	4
0.723	5.943	30	26	6928	230.933	26.062	221.000	200	280	178.867	285.767	6.600	0.465	0.112	0.456	178.865	285.765	6.594	178	284	5	3	5	4
1.060	8.236	44	35	10577	240.386	32.700	230.000	201	311	169.136	311.932	6.659	0.545	0.112	0.573	169.138	311.902	6.649	167	310	5	6	5	4
0.217	2.433	9	9	2263	251.444	49.130	224.000	202	319	111.444	315.444	5.667	0.297	0.104	0.303	111.437	315.377	5.638	111	315	5	2	2	3
0.024	0.511	1	1	208	208.000	0.000	208.000	208	208	9.000	336.000	5.000	0.000	0.000	0.000	9.000	336.000	5.000	9	336	5	1	1	1
0.145	1.852	6	6	1306	217.667	17.603	210.000	202	244	32.333	351.500	5.333	0.247	0.046	0.245	32.321	351.508	5.312	32	351	5	2	2	2
0.048	0.899	2	2	456	228.000	14.142	228.000	218	238	78.000	351.000	5.500	0.195	0.000	0.195	78.000	351.000	5.478	78	351	5	1	1	2
1.012	8.095	42	37	9679	230.452	26.140	225.000	200	307	359.833	353.833	6.690	0.559	0.167	0.554	359.895	353.848	6.668	356	352	5	7	4	4
