Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
7.616	62.428	316	316	134599	425.946	285.167	343.000	200	1930	510.810	79.766	13.051	2.738	1.323	2.586	510.836	79.908	11.818	510	62	1	2	30	23
6041.564	4599.775	250674	41172	367162560	1464.701	1008.009	1220.000	200	4092	436.186	281.022	12.153	26.279	11.318	25.654	436.735	283.656	11.043	374	95	1	138	404	23
22.607	72.000	938	594	608244	648.448	453.855	489.500	200	2740	476.338	329.284	21.729	1.760	0.553	1.773	475.932	329.209	22.057	467	320	18	21	21	6
11.786	48.552	489	380	207307	423.941	249.264	351.000	200	1702	435.037	209.540	22.137	1.449	0.523	1.426	435.156	209.077	22.326	426	199	20	18	20	4
7.544	28.635	313	246	145705	465.511	204.527	438.000	200	1043	506.952	253.502	22.153	1.127	0.355	1.146	507.104	253.563	22.361	501	246	21	11	14	3
6.821	31.335	283	236	93980	332.085	118.540	301.000	200	708	450.307	265.367	22.325	1.145	0.400	1.130	450.525	265.320	22.428	441	260	21	17	14	3
4.724	24.154	196	179	59290	302.500	84.392	282.500	200	532	448.582	282.092	22.454	1.006	0.362	0.992	448.535	282.213	22.533	444	275	21	10	15	3
0.723	6.861	30	30	6931	231.033	26.100	220.000	200	283	424.567	195.100	22.700	0.535	0.228	0.516	424.559	195.107	22.728	422	192	22	6	7	2
1.759	12.896	73	73	20114	275.534	64.438	269.000	200	470	417.233	256.068	22.699	0.773	0.353	0.766	417.127	255.983	22.740	414	251	22	9	11	2
1.181	8.345	49	49	13543	276.388	59.000	260.000	201	401	427.939	287.673	22.673	0.529	0.169	0.534	427.909	287.715	22.722	425	285	22	7	6	2
0.603	5.557	25	25	6166	246.640	34.056	249.000	202	311	433.560	296.280	22.920	0.457	0.169	0.442	433.584	296.307	22.934	431	294	22	6	5	2
0.241	3.068	10	10	2128	212.800	9.942	211.000	201	231	511.000	468.500	22.600	0.390	0.162	0.404	511.000	468.491	22.614	511	466	22	1	6	2
0.121	1.587	5	5	1067	213.400	13.372	214.000	200	229	405.600	237.200	23.000	0.211	0.079	0.222	405.625	237.178	23.000	405	236	23	2	3	1
